Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,347.96,328.23,68.72,227.90,413.44,20.94,50000000,1
read_performance,SEQUENTIAL,p50_latency_us,2524.00,2496.20,87.02,2363.00,2594.00,3.49,50000000,1
read_performance,SEQUENTIAL,p95_latency_us,3783.00,3718.20,618.81,2736.00,4455.00,16.64,50000000,1
read_performance,SEQUENTIAL,p99_latency_us,4076.00,16894.20,17977.04,3177.00,36900.00,106.41,50000000,1
read_performance,SEQUENTIAL,t_insert_s,945.49,943.65,6.60,932.96,948.97,0.70,50000000,1
read_performance,SEQUENTIAL,t_fetch_s,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,insert_failed,800.00,940.00,357.77,500.00,1400.00,38.06,50000000,1
read_performance,SEQUENTIAL,attempted,99998.00,99997.80,0.84,99997.00,99999.00,0.00,50000000,1
read_performance,SEQUENTIAL,succeeded,99998.00,99997.20,1.92,99994.00,99999.00,0.00,50000000,1
read_performance,SEQUENTIAL,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,not_found,0.00,0.60,1.34,0.00,3.00,223.61,50000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.13,0.13,0.01,0.12,0.14,5.62,50000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.13,0.13,0.01,0.12,0.14,5.62,50000000,1
read_performance,SEQUENTIAL,sstable_count,21.00,21.00,0.00,21.00,21.00,0.00,50000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,table_size_mb,11928.05,11927.63,1.43,11925.15,11928.81,0.01,50000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.21,0.47,0.00,1.05,223.61,50000000,1
read_performance,SEQUENTIAL,write_iops,0.67,0.70,0.15,0.52,0.93,21.90,50000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.03,0.06,0.00,0.13,223.61,50000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.12,0.17,0.09,0.09,0.28,51.81,50000000,1
read_performance,SEQUENTIAL,io_valid,1.00,1.00,0.00,1.00,1.00,0.00,50000000,1
read_performance,UUIDV4,read_throughput,223.35,247.14,54.43,213.94,343.59,22.03,50000000,1
read_performance,UUIDV4,p50_latency_us,2946.00,2975.00,195.69,2730.00,3277.00,6.58,50000000,1
read_performance,UUIDV4,p95_latency_us,5018.00,5185.20,1033.89,4115.00,6873.00,19.94,50000000,1
read_performance,UUIDV4,p99_latency_us,36273.00,29907.60,14214.12,4482.00,36414.00,47.53,50000000,1
read_performance,UUIDV4,t_insert_s,969.78,965.21,11.17,946.73,974.04,1.16,50000000,1
read_performance,UUIDV4,t_fetch_s,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,insert_failed,1400.00,1440.00,350.71,1100.00,2000.00,24.36,50000000,1
read_performance,UUIDV4,attempted,99997.00,99997.80,1.10,99997.00,99999.00,0.00,50000000,1
read_performance,UUIDV4,succeeded,99993.00,99991.20,6.53,99980.00,99997.00,0.01,50000000,1
read_performance,UUIDV4,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,not_found,4.00,6.60,7.37,0.00,19.00,111.65,50000000,1
read_performance,UUIDV4,cache_hit_ratio,0.23,0.23,0.01,0.23,0.24,3.43,50000000,1
read_performance,UUIDV4,index_hit_ratio,0.23,0.23,0.01,0.23,0.24,3.43,50000000,1
read_performance,UUIDV4,sstable_count,24.00,24.00,0.00,24.00,24.00,0.00,50000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.20,0.45,0.00,1.00,223.61,50000000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,table_size_mb,14158.90,14158.68,1.04,14156.94,14159.54,0.01,50000000,1
read_performance,UUIDV4,read_iops,1.63,1.75,1.32,0.01,3.73,75.32,50000000,1
read_performance,UUIDV4,write_iops,1.07,1.10,0.54,0.48,1.96,48.49,50000000,1
read_performance,UUIDV4,read_throughput_mb,0.20,0.22,0.16,0.00,0.46,75.25,50000000,1
read_performance,UUIDV4,write_throughput_mb,0.31,0.31,0.19,0.06,0.58,59.84,50000000,1
read_performance,UUIDV4,io_valid,1.00,1.00,0.00,1.00,1.00,0.00,50000000,1
read_performance,UUIDV7,read_throughput,238.62,241.61,6.17,235.90,251.54,2.55,50000000,1
read_performance,UUIDV7,p50_latency_us,2649.00,2677.00,78.94,2621.00,2811.00,2.95,50000000,1
read_performance,UUIDV7,p95_latency_us,5415.00,5622.20,1325.45,4164.00,6993.00,23.58,50000000,1
read_performance,UUIDV7,p99_latency_us,36710.00,36722.40,71.69,36662.00,36840.00,0.20,50000000,1
read_performance,UUIDV7,t_insert_s,966.30,960.56,10.61,943.90,969.77,1.10,50000000,1
read_performance,UUIDV7,t_fetch_s,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,insert_failed,1600.00,1580.00,601.66,800.00,2300.00,38.08,50000000,1
read_performance,UUIDV7,attempted,99997.00,99997.40,1.67,99996.00,100000.00,0.00,50000000,1
read_performance,UUIDV7,succeeded,99996.00,99996.60,1.95,99995.00,100000.00,0.00,50000000,1
read_performance,UUIDV7,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,not_found,1.00,0.80,0.84,0.00,2.00,104.58,50000000,1
read_performance,UUIDV7,cache_hit_ratio,0.12,0.12,0.00,0.12,0.13,2.83,50000000,1
read_performance,UUIDV7,index_hit_ratio,0.12,0.12,0.00,0.12,0.13,2.83,50000000,1
