Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,350.04,227.90,413.44,347.96,301.83,50000000,1
read_performance,SEQUENTIAL,p50_latency_us,2533.00,2594.00,2363.00,2524.00,2467.00,50000000,1
read_performance,SEQUENTIAL,p95_latency_us,3766.00,4455.00,2736.00,3783.00,3851.00,50000000,1
read_performance,SEQUENTIAL,p99_latency_us,4055.00,36900.00,3177.00,4076.00,36263.00,50000000,1
read_performance,SEQUENTIAL,t_insert_s,948.74,945.49,932.96,942.07,948.97,50000000,1
read_performance,SEQUENTIAL,t_fetch_s,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,insert_failed,800.00,1400.00,500.00,1200.00,800.00,50000000,1
read_performance,SEQUENTIAL,attempted,99998.00,99997.00,99999.00,99998.00,99997.00,50000000,1
read_performance,SEQUENTIAL,succeeded,99998.00,99997.00,99999.00,99998.00,99994.00,50000000,1
read_performance,SEQUENTIAL,failed,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,not_found,0.00,0.00,0.00,0.00,3.00,50000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.14,0.13,0.13,0.14,0.12,50000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.14,0.13,0.13,0.14,0.12,50000000,1
read_performance,SEQUENTIAL,sstable_count,21.00,21.00,21.00,21.00,21.00,50000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,table_size_mb,11928.05,11928.20,11927.96,11925.15,11928.81,50000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,1.05,50000000,1
read_performance,SEQUENTIAL,write_iops,0.67,0.52,0.75,0.64,0.93,50000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.13,50000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.09,0.12,0.23,0.11,0.28,50000000,1
read_performance,SEQUENTIAL,io_valid,1.00,1.00,1.00,1.00,1.00,50000000,1
read_performance,UUIDV4,read_throughput,220.26,223.35,234.54,343.59,213.94,50000000,1
read_performance,UUIDV4,p50_latency_us,2946.00,2980.00,3277.00,2730.00,2942.00,50000000,1
read_performance,UUIDV4,p95_latency_us,5236.00,6873.00,4684.00,4115.00,5018.00,50000000,1
read_performance,UUIDV4,p99_latency_us,36414.00,36273.00,36021.00,4482.00,36348.00,50000000,1
read_performance,UUIDV4,t_insert_s,974.04,969.78,946.73,972.53,962.95,50000000,1
read_performance,UUIDV4,t_fetch_s,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,insert_failed,1400.00,1200.00,1500.00,2000.00,1100.00,50000000,1
read_performance,UUIDV4,attempted,99997.00,99997.00,99997.00,99999.00,99999.00,50000000,1
read_performance,UUIDV4,succeeded,99997.00,99993.00,99994.00,99980.00,99992.00,50000000,1
read_performance,UUIDV4,failed,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,not_found,0.00,4.00,3.00,19.00,7.00,50000000,1
read_performance,UUIDV4,cache_hit_ratio,0.23,0.23,0.24,0.24,0.23,50000000,1
read_performance,UUIDV4,index_hit_ratio,0.23,0.23,0.24,0.24,0.23,50000000,1
read_performance,UUIDV4,sstable_count,24.00,24.00,24.00,24.00,24.00,50000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,1.00,0.00,50000000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,table_size_mb,14159.36,14159.54,14156.94,14158.90,14158.66,50000000,1
read_performance,UUIDV4,read_iops,0.01,1.61,1.63,3.73,1.79,50000000,1
read_performance,UUIDV4,write_iops,0.48,1.07,1.07,1.96,0.94,50000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.20,0.20,0.46,0.22,50000000,1
read_performance,UUIDV4,write_throughput_mb,0.06,0.31,0.31,0.58,0.30,50000000,1
read_performance,UUIDV4,io_valid,1.00,1.00,1.00,1.00,1.00,50000000,1
read_performance,UUIDV7,read_throughput,238.62,235.90,251.54,238.61,243.36,50000000,1
read_performance,UUIDV7,p50_latency_us,2682.00,2622.00,2621.00,2649.00,2811.00,50000000,1
read_performance,UUIDV7,p95_latency_us,5415.00,4558.00,4164.00,6981.00,6993.00,50000000,1
read_performance,UUIDV7,p99_latency_us,36731.00,36840.00,36669.00,36710.00,36662.00,50000000,1
read_performance,UUIDV7,t_insert_s,969.77,956.24,943.90,966.30,966.60,50000000,1
read_performance,UUIDV7,t_fetch_s,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,insert_failed,2300.00,800.00,1600.00,1200.00,2000.00,50000000,1
read_performance,UUIDV7,attempted,99996.00,99996.00,100000.00,99998.00,99997.00,50000000,1
read_performance,UUIDV7,succeeded,99995.00,99996.00,100000.00,99996.00,99996.00,50000000,1
read_performance,UUIDV7,failed,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,not_found,1.00,0.00,0.00,2.00,1.00,50000000,1
read_performance,UUIDV7,cache_hit_ratio,0.12,0.12,0.13,0.12,0.12,50000000,1
read_performance,UUIDV7,index_hit_ratio,0.12,0.12,0.13,0.12,0.12,50000000,1
read_performance,UUIDV7,sstable_count,24.00,24.00,24.00,24.00,24.00,50000000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,table_size_mb,13409.54,13407.86,13406.53,13407.04,13406.74,50000000,1
read_performance,UUIDV7,read_iops,3.20,0.69,0.00,1.72,1.03,50000000,1
read_performance,UUIDV7,write_iops,1.66,0.76,0.61,1.33,0.88,50000000,1
read_performance,UUIDV7,read_throughput_mb,0.39,0.08,0.00,0.21,0.13,50000000,1
read_performance,UUIDV7,write_throughput_mb,0.49,0.20,0.10,0.38,0.22,50000000,1
read_performance,UUIDV7,io_valid,1.00,1.00,1.00,1.00,1.00,50000000,1
