Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,75.96,74.71,4.60,66.83,78.30,6.15,50000000,1
read_performance,SEQUENTIAL,p50_latency_us,13281.00,13407.40,610.37,12749.00,14402.00,4.55,50000000,1
read_performance,SEQUENTIAL,p95_latency_us,22133.00,23584.20,3544.77,21526.00,29887.00,15.03,50000000,1
read_performance,SEQUENTIAL,p99_latency_us,30645.00,30699.60,3912.33,25631.00,36598.00,12.74,50000000,1
read_performance,SEQUENTIAL,t_insert_s,914.63,910.60,7.40,900.37,917.30,0.81,50000000,1
read_performance,SEQUENTIAL,t_fetch_s,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,insert_failed,7900.00,8380.00,1251.80,7200.00,10400.00,14.94,50000000,1
read_performance,SEQUENTIAL,attempted,99983.00,99983.80,3.77,99980.00,99990.00,0.00,50000000,1
read_performance,SEQUENTIAL,succeeded,99983.00,99983.80,3.77,99980.00,99990.00,0.00,50000000,1
read_performance,SEQUENTIAL,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,not_found,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.20,0.20,0.01,0.18,0.21,6.99,50000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.20,0.20,0.01,0.18,0.21,6.99,50000000,1
read_performance,SEQUENTIAL,sstable_count,21.00,20.60,8.38,12.00,32.00,40.70,50000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,fragmentation,2.80,1.92,1.32,0.00,2.90,68.70,50000000,1
read_performance,SEQUENTIAL,table_size_mb,4021.72,4021.13,10.22,4010.06,4034.10,0.25,50000000,1
read_performance,SEQUENTIAL,read_iops,119.29,120.51,3.48,116.91,126.16,2.89,50000000,1
read_performance,SEQUENTIAL,write_iops,1.16,1.22,1.13,0.08,2.66,92.61,50000000,1
read_performance,SEQUENTIAL,read_throughput_mb,1.14,1.32,0.25,1.13,1.61,18.90,50000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.18,0.25,0.00,0.50,136.02,50000000,1
read_performance,SEQUENTIAL,io_valid,1.00,1.00,0.00,1.00,1.00,0.00,50000000,1
read_performance,UUIDV4,read_throughput,21.32,23.02,3.31,20.50,28.54,14.38,50000000,1
read_performance,UUIDV4,p50_latency_us,48156.00,44090.40,6441.31,34648.00,49219.00,14.61,50000000,1
read_performance,UUIDV4,p95_latency_us,86412.00,82855.40,10326.73,64558.00,89776.00,12.46,50000000,1
read_performance,UUIDV4,p99_latency_us,102821.00,99081.80,11504.46,78981.00,107752.00,11.61,50000000,1
read_performance,UUIDV4,t_insert_s,939.94,942.93,11.02,933.61,959.93,1.17,50000000,1
read_performance,UUIDV4,t_fetch_s,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,insert_failed,12600.00,11420.00,2865.66,6400.00,13400.00,25.09,50000000,1
read_performance,UUIDV4,attempted,99979.00,99980.20,7.73,99971.00,99992.00,0.01,50000000,1
read_performance,UUIDV4,succeeded,99979.00,99980.20,7.73,99971.00,99992.00,0.01,50000000,1
read_performance,UUIDV4,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,not_found,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,cache_hit_ratio,0.46,0.45,0.02,0.42,0.47,4.02,50000000,1
read_performance,UUIDV4,index_hit_ratio,0.46,0.45,0.02,0.42,0.47,4.02,50000000,1
read_performance,UUIDV4,sstable_count,26.00,25.60,8.38,15.00,38.00,32.75,50000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,35.60,49.89,0.00,104.00,140.13,50000000,1
