Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,77.54,66.83,74.92,75.96,78.30,50000000,1
read_performance,SEQUENTIAL,p50_latency_us,13281.00,14402.00,13424.00,13181.00,12749.00,50000000,1
read_performance,SEQUENTIAL,p95_latency_us,21526.00,29887.00,22570.00,22133.00,21805.00,50000000,1
read_performance,SEQUENTIAL,p99_latency_us,25631.00,36598.00,30781.00,29843.00,30645.00,50000000,1
read_performance,SEQUENTIAL,t_insert_s,914.63,900.37,915.49,905.21,917.30,50000000,1
read_performance,SEQUENTIAL,t_fetch_s,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,insert_failed,8700.00,7900.00,10400.00,7200.00,7700.00,50000000,1
read_performance,SEQUENTIAL,attempted,99982.00,99984.00,99980.00,99983.00,99990.00,50000000,1
read_performance,SEQUENTIAL,succeeded,99982.00,99984.00,99980.00,99983.00,99990.00,50000000,1
read_performance,SEQUENTIAL,failed,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,not_found,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.18,0.20,0.21,0.18,0.21,50000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.18,0.20,0.21,0.18,0.21,50000000,1
read_performance,SEQUENTIAL,sstable_count,12.00,21.00,25.00,13.00,32.00,50000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,fragmentation,2.90,2.82,2.80,1.07,0.00,50000000,1
read_performance,SEQUENTIAL,table_size_mb,4010.06,4021.72,4027.76,4012.02,4034.10,50000000,1
read_performance,SEQUENTIAL,read_iops,116.91,119.16,121.03,119.29,126.16,50000000,1
read_performance,SEQUENTIAL,write_iops,0.18,0.08,2.66,1.16,2.04,50000000,1
read_performance,SEQUENTIAL,read_throughput_mb,1.13,1.13,1.61,1.14,1.56,50000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.50,0.01,0.42,50000000,1
read_performance,SEQUENTIAL,io_valid,1.00,1.00,1.00,1.00,1.00,50000000,1
read_performance,UUIDV4,read_throughput,28.54,21.10,21.32,20.50,23.64,50000000,1
read_performance,UUIDV4,p50_latency_us,34648.00,49219.00,48156.00,48334.00,40095.00,50000000,1
