Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,146.48,159.33,25.61,142.69,188.82,16.07,50000000,1
read_performance,SEQUENTIAL,p50_latency_us,3843.00,4463.67,1227.00,3671.00,5877.00,27.49,50000000,1
read_performance,SEQUENTIAL,p95_latency_us,14085.00,14978.67,2751.59,12785.00,18066.00,18.37,50000000,1
read_performance,SEQUENTIAL,p99_latency_us,19547.00,20656.67,2585.71,18811.00,23612.00,12.52,50000000,1
read_performance,SEQUENTIAL,t_insert_s,1162.76,1157.32,9.49,1146.36,1162.85,0.82,50000000,1
read_performance,SEQUENTIAL,t_fetch_s,530.16,547.73,53.81,504.89,608.12,9.82,50000000,1
read_performance,SEQUENTIAL,insert_failed,500.00,500.00,100.00,400.00,600.00,20.00,50000000,1
read_performance,SEQUENTIAL,attempted,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,SEQUENTIAL,succeeded,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,SEQUENTIAL,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,not_found,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.26,0.25,0.02,0.23,0.26,6.56,50000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.26,0.25,0.02,0.23,0.26,6.56,50000000,1
read_performance,SEQUENTIAL,sstable_count,51.00,51.67,12.01,40.00,64.00,23.25,50000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,fragmentation,1.63,3.93,4.74,0.79,9.38,120.43,50000000,1
read_performance,SEQUENTIAL,table_size_mb,12052.83,12054.08,16.02,12038.72,12070.68,0.13,50000000,1
read_performance,SEQUENTIAL,read_iops,99.36,95.31,8.36,85.70,100.88,8.77,50000000,1
read_performance,SEQUENTIAL,write_iops,0.90,1.16,0.83,0.49,2.08,71.36,50000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.66,0.88,0.43,0.59,1.38,49.54,50000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.31,0.46,0.48,0.07,1.00,105.25,50000000,1
read_performance,SEQUENTIAL,io_valid,1.00,1.00,0.00,1.00,1.00,0.00,50000000,1
read_performance,UUIDV4,read_throughput,32.45,36.99,10.66,29.35,49.17,28.83,50000000,1
read_performance,UUIDV4,p50_latency_us,31120.00,27212.33,7385.46,18694.00,31823.00,27.14,50000000,1
read_performance,UUIDV4,p95_latency_us,64662.00,63461.00,15732.92,47162.00,78559.00,24.79,50000000,1
read_performance,UUIDV4,p99_latency_us,85222.00,83020.67,16549.17,65481.00,98359.00,19.93,50000000,1
read_performance,UUIDV4,t_insert_s,1210.08,1208.59,9.47,1198.46,1217.23,0.78,50000000,1
read_performance,UUIDV4,t_fetch_s,2845.31,2995.66,312.59,2786.65,3355.01,10.43,50000000,1
read_performance,UUIDV4,insert_failed,1900.00,1866.67,351.19,1500.00,2200.00,18.81,50000000,1
read_performance,UUIDV4,attempted,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,UUIDV4,succeeded,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,UUIDV4,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,not_found,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,cache_hit_ratio,0.18,0.18,0.02,0.17,0.20,8.25,50000000,1
read_performance,UUIDV4,index_hit_ratio,0.18,0.18,0.02,0.17,0.20,8.25,50000000,1
read_performance,UUIDV4,sstable_count,28.00,32.67,8.96,27.00,43.00,27.44,50000000,1
read_performance,UUIDV4,bloom_filter_fp,72.00,85.33,57.18,36.00,148.00,67.01,50000000,1
read_performance,UUIDV4,fragmentation,0.26,0.23,0.22,0.00,0.44,94.29,50000000,1
read_performance,UUIDV4,table_size_mb,14234.08,14234.92,10.56,14224.81,14245.88,0.07,50000000,1
read_performance,UUIDV4,read_iops,136.26,132.92,7.91,123.90,138.62,5.95,50000000,1
read_performance,UUIDV4,write_iops,0.69,0.71,0.14,0.57,0.86,20.06,50000000,1
read_performance,UUIDV4,read_throughput_mb,0.86,0.86,0.09,0.76,0.95,10.96,50000000,1
read_performance,UUIDV4,write_throughput_mb,0.03,0.07,0.08,0.01,0.15,119.42,50000000,1
read_performance,UUIDV4,io_valid,1.00,1.00,0.00,1.00,1.00,0.00,50000000,1
read_performance,UUIDV7,read_throughput,129.73,132.38,4.65,129.65,137.75,3.52,50000000,1
read_performance,UUIDV7,p50_latency_us,5916.00,5539.00,1453.64,3934.00,6767.00,26.24,50000000,1
read_performance,UUIDV7,p95_latency_us,16767.00,17460.33,1648.26,16272.00,19342.00,9.44,50000000,1
read_performance,UUIDV7,p99_latency_us,22056.00,22565.33,971.86,21954.00,23686.00,4.31,50000000,1
read_performance,UUIDV7,t_insert_s,1170.71,1176.75,15.72,1164.94,1194.59,1.34,50000000,1
read_performance,UUIDV7,t_fetch_s,591.01,580.67,21.62,555.82,595.19,3.72,50000000,1
read_performance,UUIDV7,insert_failed,1600.00,1933.33,945.16,1200.00,3000.00,48.89,50000000,1
read_performance,UUIDV7,attempted,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,UUIDV7,succeeded,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,UUIDV7,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,not_found,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,cache_hit_ratio,0.24,0.24,0.02,0.22,0.27,9.70,50000000,1
read_performance,UUIDV7,index_hit_ratio,0.24,0.24,0.02,0.22,0.27,9.70,50000000,1
read_performance,UUIDV7,sstable_count,39.00,38.00,9.54,28.00,47.00,25.10,50000000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,fragmentation,0.33,0.81,1.13,0.00,2.11,139.18,50000000,1
read_performance,UUIDV7,table_size_mb,13471.57,13471.43,4.55,13466.81,13475.91,0.03,50000000,1
read_performance,UUIDV7,read_iops,98.18,96.39,4.57,91.20,99.78,4.74,50000000,1
read_performance,UUIDV7,write_iops,2.41,2.06,0.88,1.05,2.70,42.98,50000000,1
read_performance,UUIDV7,read_throughput_mb,0.72,0.75,0.13,0.65,0.90,16.98,50000000,1
read_performance,UUIDV7,write_throughput_mb,0.22,0.30,0.25,0.11,0.58,80.92,50000000,1
read_performance,UUIDV7,io_valid,1.00,1.00,0.00,1.00,1.00,0.00,50000000,1
read_performance,ULID,read_throughput,171.37,163.19,22.02,138.26,179.96,13.49,50000000,1
read_performance,ULID,p50_latency_us,3601.00,3726.33,241.74,3573.00,4005.00,6.49,50000000,1
read_performance,ULID,p95_latency_us,17582.00,16967.00,2516.51,14200.00,19119.00,14.83,50000000,1
read_performance,ULID,p99_latency_us,24954.00,24008.00,1666.31,22084.00,24986.00,6.94,50000000,1
read_performance,ULID,t_insert_s,1187.23,1182.14,16.20,1164.01,1195.19,1.37,50000000,1
read_performance,ULID,t_fetch_s,641.54,631.45,30.49,597.20,655.62,4.83,50000000,1
read_performance,ULID,insert_failed,2000.00,2000.00,500.00,1500.00,2500.00,25.00,50000000,1
read_performance,ULID,attempted,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,ULID,succeeded,100000.00,100000.00,0.00,100000.00,100000.00,0.00,50000000,1
read_performance,ULID,failed,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,ULID,not_found,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,ULID,cache_hit_ratio,0.24,0.23,0.02,0.21,0.25,8.60,50000000,1
read_performance,ULID,index_hit_ratio,0.24,0.23,0.02,0.21,0.25,8.60,50000000,1
read_performance,ULID,sstable_count,42.00,45.00,13.75,33.00,60.00,30.55,50000000,1
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,50000000,1
read_performance,ULID,fragmentation,0.60,1.27,1.30,0.44,2.77,102.50,50000000,1
read_performance,ULID,table_size_mb,13505.38,13512.15,19.55,13496.89,13534.19,0.14,50000000,1
read_performance,ULID,read_iops,85.49,85.16,5.28,79.73,90.27,6.20,50000000,1
read_performance,ULID,write_iops,1.01,1.48,1.07,0.72,2.70,72.48,50000000,1
read_performance,ULID,read_throughput_mb,0.73,1.00,0.56,0.62,1.64,56.24,50000000,1
