Scenario,KeyType,Metric,Run1,Run2,Run3,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,142.69,188.82,146.48,50000000,1
read_performance,SEQUENTIAL,p50_latency_us,3843.00,3671.00,5877.00,50000000,1
read_performance,SEQUENTIAL,p95_latency_us,18066.00,12785.00,14085.00,50000000,1
read_performance,SEQUENTIAL,p99_latency_us,23612.00,19547.00,18811.00,50000000,1
read_performance,SEQUENTIAL,t_insert_s,1162.76,1146.36,1162.85,50000000,1
read_performance,SEQUENTIAL,t_fetch_s,608.12,530.16,504.89,50000000,1
read_performance,SEQUENTIAL,insert_failed,400.00,500.00,600.00,50000000,1
read_performance,SEQUENTIAL,attempted,100000.00,100000.00,100000.00,50000000,1
read_performance,SEQUENTIAL,succeeded,100000.00,100000.00,100000.00,50000000,1
read_performance,SEQUENTIAL,failed,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,not_found,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.23,0.26,0.26,50000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.23,0.26,0.26,50000000,1
read_performance,SEQUENTIAL,sstable_count,64.00,51.00,40.00,50000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,50000000,1
read_performance,SEQUENTIAL,fragmentation,1.63,9.38,0.79,50000000,1
read_performance,SEQUENTIAL,table_size_mb,12070.68,12052.83,12038.72,50000000,1
read_performance,SEQUENTIAL,read_iops,85.70,99.36,100.88,50000000,1
read_performance,SEQUENTIAL,write_iops,0.90,2.08,0.49,50000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.66,1.38,0.59,50000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.31,1.00,0.07,50000000,1
read_performance,SEQUENTIAL,io_valid,1.00,1.00,1.00,50000000,1
read_performance,UUIDV4,read_throughput,29.35,32.45,49.17,50000000,1
read_performance,UUIDV4,p50_latency_us,31823.00,31120.00,18694.00,50000000,1
read_performance,UUIDV4,p95_latency_us,78559.00,64662.00,47162.00,50000000,1
read_performance,UUIDV4,p99_latency_us,98359.00,85222.00,65481.00,50000000,1
read_performance,UUIDV4,t_insert_s,1198.46,1217.23,1210.08,50000000,1
read_performance,UUIDV4,t_fetch_s,3355.01,2845.31,2786.65,50000000,1
read_performance,UUIDV4,insert_failed,2200.00,1500.00,1900.00,50000000,1
read_performance,UUIDV4,attempted,100000.00,100000.00,100000.00,50000000,1
read_performance,UUIDV4,succeeded,100000.00,100000.00,100000.00,50000000,1
read_performance,UUIDV4,failed,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,not_found,0.00,0.00,0.00,50000000,1
read_performance,UUIDV4,cache_hit_ratio,0.18,0.17,0.20,50000000,1
read_performance,UUIDV4,index_hit_ratio,0.18,0.17,0.20,50000000,1
read_performance,UUIDV4,sstable_count,43.00,27.00,28.00,50000000,1
read_performance,UUIDV4,bloom_filter_fp,148.00,72.00,36.00,50000000,1
read_performance,UUIDV4,fragmentation,0.44,0.00,0.26,50000000,1
read_performance,UUIDV4,table_size_mb,14245.88,14224.81,14234.08,50000000,1
read_performance,UUIDV4,read_iops,123.90,138.62,136.26,50000000,1
read_performance,UUIDV4,write_iops,0.86,0.57,0.69,50000000,1
read_performance,UUIDV4,read_throughput_mb,0.76,0.86,0.95,50000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.03,0.15,50000000,1
read_performance,UUIDV4,io_valid,1.00,1.00,1.00,50000000,1
read_performance,UUIDV7,read_throughput,137.75,129.73,129.65,50000000,1
read_performance,UUIDV7,p50_latency_us,5916.00,6767.00,3934.00,50000000,1
read_performance,UUIDV7,p95_latency_us,16272.00,16767.00,19342.00,50000000,1
read_performance,UUIDV7,p99_latency_us,21954.00,22056.00,23686.00,50000000,1
read_performance,UUIDV7,t_insert_s,1164.94,1194.59,1170.71,50000000,1
read_performance,UUIDV7,t_fetch_s,591.01,555.82,595.19,50000000,1
read_performance,UUIDV7,insert_failed,1200.00,1600.00,3000.00,50000000,1
read_performance,UUIDV7,attempted,100000.00,100000.00,100000.00,50000000,1
read_performance,UUIDV7,succeeded,100000.00,100000.00,100000.00,50000000,1
read_performance,UUIDV7,failed,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,not_found,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,cache_hit_ratio,0.24,0.27,0.22,50000000,1
read_performance,UUIDV7,index_hit_ratio,0.24,0.27,0.22,50000000,1
read_performance,UUIDV7,sstable_count,47.00,28.00,39.00,50000000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,50000000,1
read_performance,UUIDV7,fragmentation,2.11,0.00,0.33,50000000,1
read_performance,UUIDV7,table_size_mb,13475.91,13466.81,13471.57,50000000,1
read_performance,UUIDV7,read_iops,98.18,99.78,91.20,50000000,1
read_performance,UUIDV7,write_iops,2.70,2.41,1.05,50000000,1
read_performance,UUIDV7,read_throughput_mb,0.90,0.65,0.72,50000000,1
read_performance,UUIDV7,write_throughput_mb,0.58,0.11,0.22,50000000,1
read_performance,UUIDV7,io_valid,1.00,1.00,1.00,50000000,1
read_performance,ULID,read_throughput,179.96,171.37,138.26,50000000,1
read_performance,ULID,p50_latency_us,3601.00,3573.00,4005.00,50000000,1
read_performance,ULID,p95_latency_us,14200.00,17582.00,19119.00,50000000,1
read_performance,ULID,p99_latency_us,22084.00,24986.00,24954.00,50000000,1
read_performance,ULID,t_insert_s,1164.01,1187.23,1195.19,50000000,1
read_performance,ULID,t_fetch_s,641.54,655.62,597.20,50000000,1
read_performance,ULID,insert_failed,2000.00,1500.00,2500.00,50000000,1
read_performance,ULID,attempted,100000.00,100000.00,100000.00,50000000,1
read_performance,ULID,succeeded,100000.00,100000.00,100000.00,50000000,1
read_performance,ULID,failed,0.00,0.00,0.00,50000000,1
read_performance,ULID,not_found,0.00,0.00,0.00,50000000,1
read_performance,ULID,cache_hit_ratio,0.21,0.25,0.24,50000000,1
read_performance,ULID,index_hit_ratio,0.21,0.25,0.24,50000000,1
read_performance,ULID,sstable_count,60.00,33.00,42.00,50000000,1
