Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,17763.33,17522.43,643.59,16793.14,18010.81,3.67,100000,4
insert_performance,SEQUENTIAL,p50_latency_us,9917.00,10136.33,536.73,9744.00,10748.00,5.30,100000,4
insert_performance,SEQUENTIAL,p95_latency_us,69571.00,70023.67,929.69,69407.00,71093.00,1.33,100000,4
insert_performance,SEQUENTIAL,p99_latency_us,83028.00,83299.00,1765.17,81685.00,85184.00,2.12,100000,4
insert_performance,SEQUENTIAL,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,4
insert_performance,SEQUENTIAL,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,read_iops,0.00,0.11,0.19,0.00,0.33,173.21,100000,4
insert_performance,SEQUENTIAL,write_iops,23.40,23.63,1.57,22.19,25.30,6.63,100000,4
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.01,0.00,0.01,173.21,100000,4
insert_performance,SEQUENTIAL,write_throughput_mb,17.57,17.23,0.95,16.16,17.97,5.52,100000,4
insert_performance,UUIDV4,throughput,16738.40,16202.28,997.96,15050.84,16817.61,6.16,100000,4
insert_performance,UUIDV4,p50_latency_us,10688.00,11202.33,946.82,10624.00,12295.00,8.45,100000,4
insert_performance,UUIDV4,p95_latency_us,70635.00,70702.33,2059.83,68677.00,72795.00,2.91,100000,4
insert_performance,UUIDV4,p99_latency_us,81525.00,82784.33,2976.97,80644.00,86184.00,3.60,100000,4
insert_performance,UUIDV4,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,4
insert_performance,UUIDV4,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,write_iops,22.90,22.47,0.85,21.49,23.03,3.80,100000,4
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,write_throughput_mb,16.74,16.30,0.99,15.17,16.99,6.04,100000,4
insert_performance,UUIDV7,throughput,16356.21,16486.02,287.53,16286.28,16815.57,1.74,100000,4
insert_performance,UUIDV7,p50_latency_us,11090.00,10933.67,317.78,10568.00,11143.00,2.91,100000,4
insert_performance,UUIDV7,p95_latency_us,71904.00,71365.00,2026.98,69123.00,73068.00,2.84,100000,4
insert_performance,UUIDV7,p99_latency_us,82858.00,83241.67,1781.75,81683.00,85184.00,2.14,100000,4
insert_performance,UUIDV7,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,4
