Scenario,KeyType,Metric,Run1,Run2,Run3,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,16793.14,17763.33,18010.81,100000,4
insert_performance,SEQUENTIAL,p50_latency_us,10748.00,9917.00,9744.00,100000,4
insert_performance,SEQUENTIAL,p95_latency_us,71093.00,69407.00,69571.00,100000,4
insert_performance,SEQUENTIAL,p99_latency_us,83028.00,85184.00,81685.00,100000,4
insert_performance,SEQUENTIAL,sstable_count,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,100000,4
insert_performance,SEQUENTIAL,table_size_mb,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,read_iops,0.33,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,write_iops,22.19,23.40,25.30,100000,4
insert_performance,SEQUENTIAL,read_throughput_mb,0.01,0.00,0.00,100000,4
insert_performance,SEQUENTIAL,write_throughput_mb,16.16,17.57,17.97,100000,4
insert_performance,UUIDV4,throughput,15050.84,16817.61,16738.40,100000,4
insert_performance,UUIDV4,p50_latency_us,12295.00,10688.00,10624.00,100000,4
insert_performance,UUIDV4,p95_latency_us,72795.00,68677.00,70635.00,100000,4
insert_performance,UUIDV4,p99_latency_us,86184.00,80644.00,81525.00,100000,4
insert_performance,UUIDV4,sstable_count,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,100000,4
insert_performance,UUIDV4,table_size_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,write_iops,21.49,23.03,22.90,100000,4
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV4,write_throughput_mb,15.17,16.99,16.74,100000,4
insert_performance,UUIDV7,throughput,16815.57,16286.28,16356.21,100000,4
insert_performance,UUIDV7,p50_latency_us,10568.00,11143.00,11090.00,100000,4
insert_performance,UUIDV7,p95_latency_us,69123.00,71904.00,73068.00,100000,4
insert_performance,UUIDV7,p99_latency_us,82858.00,81683.00,85184.00,100000,4
insert_performance,UUIDV7,sstable_count,0.00,0.00,0.00,100000,4
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,100000,4
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,100000,4
insert_performance,UUIDV7,table_size_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,100000,4
insert_performance,UUIDV7,write_iops,22.21,19.77,18.28,100000,4
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV7,write_throughput_mb,16.99,15.83,16.41,100000,4
insert_performance,ULID,throughput,15169.82,15649.78,17054.57,100000,4
insert_performance,ULID,p50_latency_us,11649.00,11708.00,10227.00,100000,4
insert_performance,ULID,p95_latency_us,72490.00,71086.00,71622.00,100000,4
insert_performance,ULID,p99_latency_us,84952.00,85055.00,82910.00,100000,4
insert_performance,ULID,sstable_count,0.00,0.00,0.00,100000,4
insert_performance,ULID,fragmentation,0.00,0.00,0.00,100000,4
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,100000,4
insert_performance,ULID,table_size_mb,0.00,0.00,0.00,100000,4
insert_performance,ULID,index_size_mb,0.00,0.00,0.00,100000,4
insert_performance,ULID,read_iops,0.00,0.00,0.00,100000,4
insert_performance,ULID,write_iops,17.03,24.38,22.89,100000,4
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,100000,4
insert_performance,ULID,write_throughput_mb,15.16,15.87,17.03,100000,4
insert_performance,ULID_MONOTONIC,throughput,16288.83,18216.94,16867.71,100000,4
insert_performance,ULID_MONOTONIC,p50_latency_us,11054.00,9568.00,10593.00,100000,4
insert_performance,ULID_MONOTONIC,p95_latency_us,71363.00,69735.00,69457.00,100000,4
insert_performance,ULID_MONOTONIC,p99_latency_us,82458.00,82791.00,79710.00,100000,4
insert_performance,ULID_MONOTONIC,sstable_count,0.00,0.00,0.00,100000,4
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,100000,4
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,100000,4
insert_performance,ULID_MONOTONIC,table_size_mb,0.00,0.00,0.00,100000,4
insert_performance,ULID_MONOTONIC,index_size_mb,0.00,0.00,0.00,100000,4
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,100000,4
insert_performance,ULID_MONOTONIC,write_iops,20.22,24.20,22.24,100000,4
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,100000,4
insert_performance,ULID_MONOTONIC,write_throughput_mb,16.33,17.94,17.12,100000,4
insert_performance,UUIDV1,throughput,17425.43,16537.67,16859.26,100000,4
insert_performance,UUIDV1,p50_latency_us,10089.00,10910.00,10772.00,100000,4
insert_performance,UUIDV1,p95_latency_us,70690.00,72239.00,70824.00,100000,4
insert_performance,UUIDV1,p99_latency_us,83172.00,83585.00,81951.00,100000,4
insert_performance,UUIDV1,sstable_count,0.00,0.00,0.00,100000,4
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,100000,4
