Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,49420.01,49279.95,831.52,48043.02,50355.18,1.69,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,1563.00,1560.20,7.19,1549.00,1568.00,0.46,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,3390.00,3390.40,51.29,3323.00,3446.00,1.51,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,5837.00,5905.60,709.14,4967.00,6874.00,12.01,100000,1
insert_performance,SEQUENTIAL,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,290.00,288.53,5.25,279.50,292.66,1.82,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,36.07,35.89,0.65,34.78,36.40,1.80,100000,1
insert_performance,UUIDV4,throughput,41753.86,41422.69,790.14,40073.79,42052.23,1.91,100000,1
insert_performance,UUIDV4,p50_latency_us,1867.00,1872.20,8.35,1865.00,1884.00,0.45,100000,1
insert_performance,UUIDV4,p95_latency_us,3742.00,3766.20,139.82,3643.00,3985.00,3.71,100000,1
insert_performance,UUIDV4,p99_latency_us,6465.00,6646.20,970.38,5757.00,8168.00,14.60,100000,1
insert_performance,UUIDV4,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV4,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,253.66,253.10,4.83,245.32,257.75,1.91,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,31.55,31.48,0.60,30.51,32.06,1.91,100000,1
insert_performance,UUIDV7,throughput,48581.19,47603.63,2010.87,44160.12,48985.11,4.22,100000,1
insert_performance,UUIDV7,p50_latency_us,1570.00,1578.80,36.87,1552.00,1643.00,2.34,100000,1
insert_performance,UUIDV7,p95_latency_us,3419.00,3443.60,91.25,3321.00,3561.00,2.65,100000,1
insert_performance,UUIDV7,p99_latency_us,5487.00,5528.40,602.99,4771.00,6459.00,10.91,100000,1
insert_performance,UUIDV7,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV7,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,286.38,281.10,13.04,260.66,293.24,4.64,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,35.62,34.96,1.62,32.42,36.47,4.64,100000,1
insert_performance,ULID,throughput,45693.02,46194.45,1514.70,44904.00,48561.46,3.28,100000,1
insert_performance,ULID,p50_latency_us,1644.00,1637.80,27.36,1593.00,1665.00,1.67,100000,1
insert_performance,ULID,p95_latency_us,3559.00,3579.40,92.06,3462.00,3676.00,2.57,100000,1
insert_performance,ULID,p99_latency_us,6800.00,6242.40,930.18,5124.00,7049.00,14.90,100000,1
insert_performance,ULID,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,ULID,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_iops,270.16,269.55,7.41,261.64,281.00,2.75,100000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_throughput_mb,33.60,33.53,0.92,32.54,34.95,2.75,100000,1
insert_performance,ULID_MONOTONIC,throughput,47729.38,48531.80,1341.82,47549.99,50691.94,2.76,100000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,1558.00,1558.80,12.58,1545.00,1579.00,0.81,100000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,3474.00,3453.60,67.04,3336.00,3502.00,1.94,100000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,5872.00,6142.60,614.20,5484.00,6877.00,10.00,100000,1
insert_performance,ULID_MONOTONIC,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_iops,284.14,287.07,5.67,282.49,296.26,1.97,100000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,35.34,35.70,0.70,35.14,36.85,1.97,100000,1
insert_performance,UUIDV1,throughput,47080.77,47047.57,1045.03,45417.48,48210.48,2.22,100000,1
insert_performance,UUIDV1,p50_latency_us,1626.00,1615.00,32.93,1557.00,1639.00,2.04,100000,1
insert_performance,UUIDV1,p95_latency_us,3528.00,3558.00,92.58,3439.00,3656.00,2.60,100000,1
insert_performance,UUIDV1,p99_latency_us,5972.00,5770.40,596.87,5116.00,6498.00,10.34,100000,1
insert_performance,UUIDV1,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV1,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,write_iops,276.71,274.67,6.73,265.75,282.88,2.45,100000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,write_throughput_mb,34.42,34.16,0.84,33.05,35.18,2.45,100000,1
