Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,18309.57,19836.01,20232.53,19071.18,20916.79,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,4710.00,4236.00,4095.00,4584.00,4089.00,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,7766.00,9033.00,8698.00,8054.00,8400.00,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,15614.00,12820.00,12312.00,12670.00,12438.00,100000,1
insert_performance,SEQUENTIAL,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,13.02,18.43,16.98,15.96,17.82,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,13.29,14.14,14.15,13.69,14.36,100000,1
insert_performance,UUIDV4,throughput,14695.89,13612.53,15349.87,15489.88,14236.02,100000,1
insert_performance,UUIDV4,p50_latency_us,5866.00,6460.00,5487.00,5456.00,6092.00,100000,1
insert_performance,UUIDV4,p95_latency_us,9409.00,10560.00,9090.00,9720.00,10275.00,100000,1
insert_performance,UUIDV4,p99_latency_us,13873.00,15630.00,14844.00,14081.00,14128.00,100000,1
insert_performance,UUIDV4,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV4,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,13.06,12.29,13.14,18.20,18.98,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,11.46,10.43,12.00,12.29,11.35,100000,1
insert_performance,UUIDV7,throughput,18692.90,19319.05,17387.24,18768.21,19564.65,100000,1
insert_performance,UUIDV7,p50_latency_us,4282.00,4115.00,4694.00,4257.00,4092.00,100000,1
insert_performance,UUIDV7,p95_latency_us,8444.00,8268.00,9597.00,8293.00,8362.00,100000,1
insert_performance,UUIDV7,p99_latency_us,14242.00,13152.00,15588.00,10963.00,11403.00,100000,1
insert_performance,UUIDV7,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV7,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,17.23,13.44,16.57,23.66,13.51,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,13.23,13.50,12.66,13.81,13.79,100000,1
insert_performance,ULID,throughput,18134.26,18757.53,19277.60,18584.20,18008.55,100000,1
insert_performance,ULID,p50_latency_us,4661.00,4290.00,4201.00,4270.00,4488.00,100000,1
insert_performance,ULID,p95_latency_us,8639.00,8674.00,8303.00,7978.00,8621.00,100000,1
insert_performance,ULID,p99_latency_us,12159.00,13073.00,12983.00,15446.00,14196.00,100000,1
insert_performance,ULID,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,ULID,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_iops,19.75,23.50,21.80,17.99,16.42,100000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_throughput_mb,13.29,13.56,13.71,13.59,13.11,100000,1
insert_performance,ULID_MONOTONIC,throughput,19604.51,20066.87,20091.68,20518.06,19376.64,100000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,4362.00,4136.00,4107.00,4104.00,4216.00,100000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,7777.00,8204.00,8182.00,7902.00,8127.00,100000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,10402.00,13131.00,12953.00,12464.00,12922.00,100000,1
insert_performance,ULID_MONOTONIC,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,ULID_MONOTONIC,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_iops,23.26,15.37,16.11,22.36,17.81,100000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,14.61,13.92,14.61,14.73,13.59,100000,1
insert_performance,UUIDV1,throughput,20420.03,20114.80,21522.98,20263.12,18836.28,100000,1
insert_performance,UUIDV1,p50_latency_us,4083.00,4137.00,3921.00,4005.00,4485.00,100000,1
insert_performance,UUIDV1,p95_latency_us,8113.00,7910.00,7614.00,8428.00,9192.00,100000,1
insert_performance,UUIDV1,p99_latency_us,10898.00,12733.00,12503.00,11514.00,13838.00,100000,1
insert_performance,UUIDV1,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV1,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,write_iops,16.19,20.59,27.64,17.70,15.43,100000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,write_throughput_mb,14.47,14.03,15.40,14.15,13.84,100000,1
