Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,549.48,549.96,4.73,543.81,556.55,0.86,100000,1
read_performance,SEQUENTIAL,p50_latency_us,1814.00,1812.40,12.58,1795.00,1828.00,0.69,100000,1
read_performance,SEQUENTIAL,p95_latency_us,2005.00,2008.60,22.52,1987.00,2045.00,1.12,100000,1
read_performance,SEQUENTIAL,p99_latency_us,2301.00,2287.00,34.26,2239.00,2320.00,1.50,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.87,0.86,0.02,0.83,0.88,1.97,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.87,0.86,0.02,0.83,0.88,1.97,100000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.26,0.28,0.08,0.21,0.41,27.52,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,49.92,100000,1
read_performance,UUIDV4,read_throughput,546.77,547.69,2.96,544.48,551.73,0.54,100000,1
read_performance,UUIDV4,p50_latency_us,1820.00,1819.80,8.04,1808.00,1829.00,0.44,100000,1
read_performance,UUIDV4,p95_latency_us,2018.00,2021.00,9.95,2014.00,2038.00,0.49,100000,1
read_performance,UUIDV4,p99_latency_us,2269.00,2264.20,36.81,2213.00,2313.00,1.63,100000,1
read_performance,UUIDV4,cache_hit_ratio,0.87,0.85,0.02,0.83,0.88,2.26,100000,1
read_performance,UUIDV4,index_hit_ratio,0.87,0.85,0.02,0.83,0.88,2.26,100000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.29,0.30,0.11,0.18,0.42,37.18,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.00,0.01,0.00,0.00,0.01,70.68,100000,1
read_performance,UUIDV7,read_throughput,546.25,550.43,8.18,543.69,562.59,1.49,100000,1
read_performance,UUIDV7,p50_latency_us,1820.00,1808.20,24.65,1769.00,1827.00,1.36,100000,1
read_performance,UUIDV7,p95_latency_us,2029.00,2027.20,15.06,2002.00,2041.00,0.74,100000,1
read_performance,UUIDV7,p99_latency_us,2305.00,2302.80,10.89,2286.00,2316.00,0.47,100000,1
read_performance,UUIDV7,cache_hit_ratio,0.85,0.85,0.02,0.82,0.88,2.93,100000,1
read_performance,UUIDV7,index_hit_ratio,0.85,0.85,0.02,0.82,0.88,2.93,100000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,0.39,0.41,0.04,0.37,0.45,10.33,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,2.51,100000,1
read_performance,ULID,read_throughput,545.84,545.93,1.16,544.28,547.25,0.21,100000,1
read_performance,ULID,p50_latency_us,1822.00,1821.40,2.70,1817.00,1824.00,0.15,100000,1
read_performance,ULID,p95_latency_us,2015.00,2024.40,17.18,2008.00,2044.00,0.85,100000,1
read_performance,ULID,p99_latency_us,2281.00,2274.80,18.86,2246.00,2294.00,0.83,100000,1
read_performance,ULID,cache_hit_ratio,0.87,0.86,0.02,0.83,0.88,2.21,100000,1
read_performance,ULID,index_hit_ratio,0.87,0.86,0.02,0.83,0.88,2.21,100000,1
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_iops,0.44,0.42,0.04,0.35,0.46,10.33,100000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_throughput_mb,0.01,0.01,0.00,0.00,0.01,33.44,100000,1
read_performance,ULID_MONOTONIC,read_throughput,545.18,545.04,2.64,542.09,547.86,0.48,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,1828.00,1826.40,5.86,1818.00,1832.00,0.32,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,2031.00,2025.80,12.46,2006.00,2038.00,0.61,100000,1
read_performance,ULID_MONOTONIC,p99_latency_us,2295.00,2306.80,65.74,2243.00,2394.00,2.85,100000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,0.86,0.85,0.02,0.83,0.88,2.19,100000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,0.86,0.85,0.02,0.83,0.88,2.19,100000,1
read_performance,ULID_MONOTONIC,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_iops,0.43,0.44,0.02,0.41,0.46,4.69,100000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,26.34,100000,1
read_performance,UUIDV1,read_throughput,548.59,549.49,2.59,546.66,552.65,0.47,100000,1
read_performance,UUIDV1,p50_latency_us,1815.00,1813.80,6.91,1803.00,1821.00,0.38,100000,1
read_performance,UUIDV1,p95_latency_us,2009.00,2010.60,20.02,1983.00,2039.00,1.00,100000,1
read_performance,UUIDV1,p99_latency_us,2287.00,2285.00,13.47,2264.00,2297.00,0.59,100000,1
read_performance,UUIDV1,cache_hit_ratio,0.87,0.86,0.02,0.83,0.88,2.47,100000,1
read_performance,UUIDV1,index_hit_ratio,0.87,0.86,0.02,0.83,0.88,2.47,100000,1
read_performance,UUIDV1,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,write_iops,0.37,0.34,0.13,0.20,0.47,38.49,100000,1
read_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,write_throughput_mb,0.01,0.01,0.00,0.00,0.01,69.11,100000,1
