Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,819.40,813.68,822.14,824.93,817.02,100000,1
read_performance,SEQUENTIAL,p50_latency_us,1209.00,1215.00,1203.00,1199.00,1211.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,1308.00,1328.00,1309.00,1306.00,1317.00,100000,1
read_performance,SEQUENTIAL,p99_latency_us,1401.00,1439.00,1422.00,1425.00,1416.00,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.51,0.54,0.54,0.56,0.52,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.02,0.03,0.03,0.03,0.02,100000,1
read_performance,UUIDV4,read_throughput,831.85,819.64,833.45,832.65,833.41,100000,1
read_performance,UUIDV4,p50_latency_us,1195.00,1207.00,1194.00,1195.00,1194.00,100000,1
read_performance,UUIDV4,p95_latency_us,1279.00,1309.00,1274.00,1274.00,1274.00,100000,1
read_performance,UUIDV4,p99_latency_us,1351.00,1404.00,1337.00,1337.00,1338.00,100000,1
read_performance,UUIDV4,cache_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,UUIDV4,index_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.57,0.59,0.63,0.60,0.62,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.03,0.03,0.04,0.03,0.03,100000,1
read_performance,UUIDV7,read_throughput,825.88,829.89,830.15,829.55,829.22,100000,1
read_performance,UUIDV7,p50_latency_us,1201.00,1197.00,1197.00,1198.00,1198.00,100000,1
read_performance,UUIDV7,p95_latency_us,1292.00,1281.00,1280.00,1280.00,1281.00,100000,1
read_performance,UUIDV7,p99_latency_us,1372.00,1347.00,1341.00,1346.00,1345.00,100000,1
read_performance,UUIDV7,cache_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,UUIDV7,index_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,0.46,0.56,0.60,0.60,0.60,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,0.02,0.03,0.03,0.03,0.03,100000,1
read_performance,ULID,read_throughput,829.93,829.77,830.78,829.34,830.00,100000,1
read_performance,ULID,p50_latency_us,1197.00,1198.00,1196.00,1198.00,1197.00,100000,1
read_performance,ULID,p95_latency_us,1279.00,1279.00,1279.00,1280.00,1279.00,100000,1
read_performance,ULID,p99_latency_us,1345.00,1342.00,1341.00,1343.00,1341.00,100000,1
read_performance,ULID,cache_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,ULID,index_hit_ratio,0.93,0.93,0.93,0.93,0.93,100000,1
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_iops,0.60,0.60,0.60,0.60,0.62,100000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_throughput_mb,0.03,0.03,0.03,0.03,0.03,100000,1
read_performance,ULID_MONOTONIC,read_throughput,830.25,830.40,829.43,830.36,830.52,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,1197.00,1197.00,1197.00,1197.00,1197.00,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,1279.00,1280.00,1282.00,1280.00,1279.00,100000,1
