Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,830.24,831.52,2.29,829.62,834.30,0.28,100000,1
update_performance,SEQUENTIAL,p50_latency_us,1198.00,1197.00,2.35,1194.00,1199.00,0.20,100000,1
update_performance,SEQUENTIAL,p95_latency_us,1275.00,1273.00,3.24,1269.00,1276.00,0.25,100000,1
update_performance,SEQUENTIAL,p99_latency_us,1325.00,1324.80,2.86,1320.00,1327.00,0.22,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,7.54,7.55,0.04,7.52,7.60,0.50,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.89,0.89,0.00,0.89,0.89,0.48,100000,1
update_performance,UUIDV4,update_throughput,834.22,834.31,0.67,833.65,835.40,0.08,100000,1
update_performance,UUIDV4,p50_latency_us,1194.00,1194.00,0.71,1193.00,1195.00,0.06,100000,1
update_performance,UUIDV4,p95_latency_us,1268.00,1268.20,0.84,1267.00,1269.00,0.07,100000,1
update_performance,UUIDV4,p99_latency_us,1318.00,1318.00,2.24,1315.00,1321.00,0.17,100000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,7.61,7.61,0.02,7.58,7.64,0.26,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,0.90,0.90,0.00,0.89,0.90,0.16,100000,1
update_performance,UUIDV7,update_throughput,831.76,830.28,3.78,825.54,833.69,0.46,100000,1
update_performance,UUIDV7,p50_latency_us,1196.00,1197.40,2.88,1195.00,1201.00,0.24,100000,1
update_performance,UUIDV7,p95_latency_us,1273.00,1277.00,9.51,1269.00,1290.00,0.74,100000,1
update_performance,UUIDV7,p99_latency_us,1329.00,1348.40,43.11,1316.00,1420.00,3.20,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,7.57,7.57,0.04,7.53,7.62,0.48,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,0.89,0.89,0.00,0.89,0.89,0.46,100000,1
update_performance,ULID,update_throughput,833.52,833.54,0.38,832.95,833.89,0.05,100000,1
update_performance,ULID,p50_latency_us,1194.00,1194.20,0.45,1194.00,1195.00,0.04,100000,1
update_performance,ULID,p95_latency_us,1270.00,1270.40,0.89,1270.00,1272.00,0.07,100000,1
update_performance,ULID,p99_latency_us,1330.00,1330.00,3.00,1327.00,1333.00,0.23,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,7.57,7.58,0.03,7.56,7.62,0.35,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,0.89,0.89,0.00,0.89,0.90,0.35,100000,1
update_performance,ULID_MONOTONIC,update_throughput,833.01,833.01,1.07,831.42,834.26,0.13,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1195.00,1194.80,0.84,1194.00,1196.00,0.07,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1271.00,1271.00,1.22,1270.00,1273.00,0.10,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,1331.00,1331.40,3.21,1327.00,1336.00,0.24,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,7.58,7.57,0.03,7.52,7.59,0.38,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,0.89,0.89,0.00,0.89,0.89,0.41,100000,1
update_performance,UUIDV1,update_throughput,833.24,833.10,0.61,832.10,833.65,0.07,100000,1
update_performance,UUIDV1,p50_latency_us,1195.00,1195.00,0.71,1194.00,1196.00,0.06,100000,1
update_performance,UUIDV1,p95_latency_us,1271.00,1271.00,1.22,1270.00,1273.00,0.10,100000,1
update_performance,UUIDV1,p99_latency_us,1328.00,1329.80,3.63,1327.00,1336.00,0.27,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,7.58,7.58,0.02,7.55,7.60,0.26,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,0.89,0.89,0.00,0.89,0.89,0.24,100000,1
