Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,541.96,557.13,562.49,561.96,545.52,100000,1
update_performance,SEQUENTIAL,p50_latency_us,1834.00,1798.00,1783.00,1791.00,1826.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,1976.00,1957.00,1947.00,1951.00,1982.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,2123.00,2118.00,2134.00,2102.00,2155.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,1.38,1.46,1.46,1.34,1.48,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.54,0.56,0.56,0.56,0.57,100000,1
update_performance,UUIDV4,update_throughput,548.69,543.70,551.24,554.51,550.68,100000,1
update_performance,UUIDV4,p50_latency_us,1817.00,1832.00,1810.00,1800.00,1811.00,100000,1
update_performance,UUIDV4,p95_latency_us,1963.00,1986.00,1988.00,1974.00,1981.00,100000,1
update_performance,UUIDV4,p99_latency_us,2134.00,2163.00,2169.00,2202.00,2166.00,100000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,1.51,1.44,1.25,1.47,1.27,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,0.58,0.57,0.57,0.58,0.57,100000,1
update_performance,UUIDV7,update_throughput,559.68,546.12,559.91,552.83,546.43,100000,1
update_performance,UUIDV7,p50_latency_us,1782.00,1820.00,1793.00,1807.00,1822.00,100000,1
update_performance,UUIDV7,p95_latency_us,1969.00,1978.00,1962.00,1985.00,1987.00,100000,1
update_performance,UUIDV7,p99_latency_us,2139.00,2142.00,2135.00,2167.00,2174.00,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,1.47,1.43,1.21,1.51,1.65,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,0.59,0.57,0.58,0.58,0.57,100000,1
update_performance,ULID,update_throughput,548.69,545.63,551.69,547.80,550.88,100000,1
update_performance,ULID,p50_latency_us,1821.00,1822.00,1810.00,1818.00,1810.00,100000,1
update_performance,ULID,p95_latency_us,1988.00,1989.00,1982.00,1981.00,1999.00,100000,1
update_performance,ULID,p99_latency_us,2177.00,2134.00,2155.00,2172.00,2185.00,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,1.43,1.44,1.51,1.31,1.55,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,0.57,0.57,0.58,0.57,0.58,100000,1
update_performance,ULID_MONOTONIC,update_throughput,544.71,548.83,550.82,549.43,550.56,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1827.00,1816.00,1813.00,1814.00,1809.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1995.00,1983.00,1971.00,1996.00,1994.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,2158.00,2158.00,2133.00,2171.00,2183.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,1.47,1.39,1.57,1.51,1.51,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,0.57,0.57,0.58,0.57,0.58,100000,1
update_performance,UUIDV1,update_throughput,538.77,566.33,555.89,559.43,554.69,100000,1
update_performance,UUIDV1,p50_latency_us,1839.00,1767.00,1800.00,1795.00,1806.00,100000,1
update_performance,UUIDV1,p95_latency_us,1994.00,1956.00,1963.00,1975.00,1975.00,100000,1
update_performance,UUIDV1,p99_latency_us,2156.00,2132.00,2140.00,2144.00,2136.00,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,1.56,1.44,1.48,1.50,1.50,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,0.57,0.59,0.58,0.59,0.58,100000,1
