Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,73886.57,74179.94,1157.31,72753.14,75668.42,1.56,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,1415.00,1416.40,9.37,1407.00,1430.00,0.66,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,1646.00,1666.40,67.12,1605.00,1761.00,4.03,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,2142.00,2235.20,200.47,2058.00,2493.00,8.97,10000000,1
insert_performance,SEQUENTIAL,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,738.97,738.91,0.16,738.64,739.01,0.02,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,2.06,4.53,0.00,10.17,220.67,10000000,1
insert_performance,SEQUENTIAL,write_iops,712.01,714.84,10.83,701.52,728.88,1.51,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.04,0.09,0.00,0.19,220.25,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,88.38,88.79,1.39,87.11,90.59,1.57,10000000,1
insert_performance,UUIDV4,throughput,57247.59,56746.58,905.71,55706.77,57610.90,1.60,10000000,1
insert_performance,UUIDV4,p50_latency_us,1771.00,1781.80,17.85,1766.00,1805.00,1.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,2123.00,2161.40,100.55,2068.00,2277.00,4.65,10000000,1
insert_performance,UUIDV4,p99_latency_us,2768.00,2877.40,163.93,2754.00,3084.00,5.70,10000000,1
insert_performance,UUIDV4,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,10000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV4,table_size_mb,911.58,911.56,0.02,911.53,911.59,0.00,10000000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.01,0.00,0.02,223.61,10000000,1
insert_performance,UUIDV4,write_iops,579.34,574.23,9.28,563.78,583.13,1.62,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
