Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,73886.57,72753.14,73591.07,75000.51,75668.42,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,1421.00,1430.00,1415.00,1409.00,1407.00,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,1646.00,1761.00,1709.00,1611.00,1605.00,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,2142.00,2493.00,2406.00,2058.00,2077.00,10000000,1
insert_performance,SEQUENTIAL,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,738.64,739.01,738.97,738.97,738.99,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,read_iops,10.17,0.11,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_iops,712.01,701.52,709.41,722.37,728.88,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.19,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,88.38,87.11,88.09,89.79,90.59,10000000,1
insert_performance,UUIDV4,throughput,57610.90,57341.77,57247.59,55825.86,55706.77,10000000,1
insert_performance,UUIDV4,p50_latency_us,1766.00,1770.00,1771.00,1797.00,1805.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,2068.00,2078.00,2123.00,2277.00,2261.00,10000000,1
insert_performance,UUIDV4,p99_latency_us,3084.00,3027.00,2754.00,2754.00,2768.00,10000000,1
insert_performance,UUIDV4,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV4,table_size_mb,911.54,911.53,911.58,911.59,911.58,10000000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,read_iops,0.02,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_iops,583.13,580.30,579.34,564.59,563.78,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_throughput_mb,72.51,72.16,72.06,70.24,70.12,10000000,1
insert_performance,UUIDV7,throughput,71899.18,72079.32,71537.57,72433.34,73593.91,10000000,1
insert_performance,UUIDV7,p50_latency_us,1433.00,1433.00,1438.00,1419.00,1416.00,10000000,1
insert_performance,UUIDV7,p95_latency_us,1710.00,1721.00,1740.00,1701.00,1650.00,10000000,1
insert_performance,UUIDV7,p99_latency_us,2090.00,2081.00,2123.00,2221.00,2054.00,10000000,1
insert_performance,UUIDV7,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV7,table_size_mb,817.78,817.77,817.81,817.78,817.80,10000000,1
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_iops,711.63,713.18,707.71,716.72,728.31,10000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_throughput_mb,88.49,88.74,88.04,89.14,90.57,10000000,1
insert_performance,ULID,throughput,71063.78,71451.89,71734.17,71350.30,72212.98,10000000,1
insert_performance,ULID,p50_latency_us,1449.00,1443.00,1440.00,1440.00,1437.00,10000000,1
insert_performance,ULID,p95_latency_us,1759.00,1719.00,1723.00,1718.00,1708.00,10000000,1
insert_performance,ULID,p99_latency_us,2206.00,2067.00,2081.00,2063.00,2055.00,10000000,1
insert_performance,ULID,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,ULID,table_size_mb,827.42,827.52,827.53,827.49,827.57,10000000,1
insert_performance,ULID,index_size_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_iops,705.37,708.79,711.72,707.99,716.16,10000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_throughput_mb,87.67,88.14,88.49,88.04,89.06,10000000,1
insert_performance,ULID_MONOTONIC,throughput,73263.96,73137.19,73051.83,72764.03,73022.85,10000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,1420.00,1417.00,1418.00,1417.00,1419.00,10000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,1684.00,1689.00,1689.00,1688.00,1691.00,10000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,2021.00,2050.00,2029.00,2041.00,2043.00,10000000,1
insert_performance,ULID_MONOTONIC,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,779.99,779.99,780.01,780.01,780.02,10000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_iops,718.90,717.19,716.48,713.68,716.59,10000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,89.41,89.23,89.10,88.77,89.12,10000000,1
insert_performance,UUIDV1,throughput,73267.50,73339.55,73301.76,72913.62,74031.43,10000000,1
insert_performance,UUIDV1,p50_latency_us,1422.00,1423.00,1421.00,1426.00,1417.00,10000000,1
insert_performance,UUIDV1,p95_latency_us,1696.00,1692.00,1689.00,1696.00,1632.00,10000000,1
insert_performance,UUIDV1,p99_latency_us,2029.00,2026.00,2038.00,2043.00,2010.00,10000000,1
insert_performance,UUIDV1,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV1,table_size_mb,747.67,747.66,747.69,747.69,747.69,10000000,1
insert_performance,UUIDV1,index_size_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,write_iops,713.59,714.01,713.91,710.35,721.33,10000000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,write_throughput_mb,88.74,88.80,88.79,88.32,89.67,10000000,1
