Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,810.39,810.34,0.35,809.85,810.82,0.04,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,1226.00,1225.60,1.14,1224.00,1227.00,0.09,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,1308.00,1307.80,1.92,1305.00,1310.00,0.15,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,1362.00,1362.80,2.59,1360.00,1367.00,0.19,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
read_performance,SEQUENTIAL,write_iops,0.32,0.30,0.04,0.23,0.33,14.59,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.03,0.03,0.01,0.02,0.03,18.43,10000000,1
read_performance,UUIDV4,read_throughput,788.58,786.56,5.75,779.64,793.63,0.73,10000000,1
read_performance,UUIDV4,p50_latency_us,1260.00,1261.20,7.95,1251.00,1271.00,0.63,10000000,1
read_performance,UUIDV4,p95_latency_us,1357.00,1363.40,19.32,1339.00,1386.00,1.42,10000000,1
read_performance,UUIDV4,p99_latency_us,1453.00,1461.20,42.20,1416.00,1507.00,2.89,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.03,0.06,0.00,0.14,223.61,10000000,1
read_performance,UUIDV4,write_iops,0.29,0.29,0.01,0.28,0.30,2.80,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.01,0.00,0.02,223.61,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.03,0.03,0.00,0.03,0.03,2.48,10000000,1
read_performance,UUIDV7,read_throughput,811.97,810.73,2.65,806.22,812.55,0.33,10000000,1
read_performance,UUIDV7,p50_latency_us,1224.00,1223.20,3.03,1220.00,1226.00,0.25,10000000,1
read_performance,UUIDV7,p95_latency_us,1306.00,1310.20,10.31,1303.00,1328.00,0.79,10000000,1
read_performance,UUIDV7,p99_latency_us,1365.00,1382.60,45.32,1354.00,1463.00,3.28,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_iops,0.28,0.28,0.01,0.27,0.29,1.96,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.03,0.03,0.00,0.03,0.03,1.82,10000000,1
read_performance,ULID,read_throughput,812.14,812.10,0.10,811.95,812.21,0.01,10000000,1
read_performance,ULID,p50_latency_us,1220.00,1220.00,0.00,1220.00,1220.00,0.00,10000000,1
read_performance,ULID,p95_latency_us,1303.00,1303.40,0.55,1303.00,1304.00,0.04,10000000,1
read_performance,ULID,p99_latency_us,1368.00,1367.40,1.95,1364.00,1369.00,0.14,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_iops,0.28,0.29,0.01,0.28,0.30,2.31,10000000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_throughput_mb,0.03,0.03,0.00,0.03,0.03,2.79,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,812.51,811.04,3.18,805.37,812.70,0.39,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,1219.00,1220.80,3.49,1219.00,1227.00,0.29,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,1303.00,1308.40,11.52,1303.00,1329.00,0.88,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,1368.00,1388.00,45.85,1366.00,1470.00,3.30,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_iops,0.28,0.28,0.01,0.28,0.30,3.28,10000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.03,0.03,0.00,0.03,0.03,3.44,10000000,1
read_performance,UUIDV1,read_throughput,802.58,803.45,4.86,797.10,810.19,0.60,10000000,1
read_performance,UUIDV1,p50_latency_us,1236.00,1233.60,7.30,1224.00,1243.00,0.59,10000000,1
read_performance,UUIDV1,p95_latency_us,1335.00,1335.00,17.89,1311.00,1359.00,1.34,10000000,1
read_performance,UUIDV1,p99_latency_us,1428.00,1428.80,30.60,1381.00,1461.00,2.14,10000000,1
read_performance,UUIDV1,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV1,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV1,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,write_iops,0.28,0.28,0.00,0.28,0.29,0.96,10000000,1
read_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,write_throughput_mb,0.03,0.03,0.00,0.03,0.03,1.10,10000000,1
