Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,135043.93,135206.41,6967.83,127448.80,146231.94,5.15,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,1490.00,1480.80,64.49,1382.00,1561.00,4.35,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,59003.00,58161.40,6809.12,47445.00,66315.00,11.71,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,75627.00,75620.60,404.82,75196.00,76203.00,0.54,1000000,8
insert_performance,SEQUENTIAL,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,63.63,63.44,1.51,60.96,64.95,2.38,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_iops,1027.90,1030.96,49.90,979.46,1112.62,4.84,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,127.34,127.70,6.19,121.29,137.82,4.85,1000000,8
insert_performance,UUIDV4,throughput,81131.26,81301.64,2230.46,78682.37,84195.45,2.74,1000000,8
insert_performance,UUIDV4,p50_latency_us,2437.00,2431.00,64.25,2362.00,2522.00,2.64,1000000,8
insert_performance,UUIDV4,p95_latency_us,72934.00,72782.40,841.95,71423.00,73598.00,1.16,1000000,8
insert_performance,UUIDV4,p99_latency_us,80280.00,80113.20,783.97,79141.00,81011.00,0.98,1000000,8
insert_performance,UUIDV4,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,1000000,8
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV4,table_size_mb,89.35,89.42,1.33,87.90,91.14,1.49,1000000,8
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_iops,699.06,699.43,18.69,677.18,720.94,2.67,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,86.15,86.26,2.29,83.55,88.88,2.65,1000000,8
insert_performance,UUIDV7,throughput,130733.21,130327.93,4941.97,123816.75,135474.20,3.79,1000000,8
insert_performance,UUIDV7,p50_latency_us,1478.00,1493.60,53.21,1443.00,1563.00,3.56,1000000,8
insert_performance,UUIDV7,p95_latency_us,60288.00,61569.20,3703.21,56931.00,65783.00,6.01,1000000,8
insert_performance,UUIDV7,p99_latency_us,75586.00,75645.80,158.89,75456.00,75839.00,0.21,1000000,8
insert_performance,UUIDV7,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,1000000,8
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV7,table_size_mb,70.39,70.29,0.64,69.58,71.00,0.91,1000000,8
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_iops,1040.24,1032.70,38.63,984.81,1073.45,3.74,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,128.81,127.88,4.78,121.91,133.02,3.74,1000000,8
insert_performance,ULID,throughput,119412.94,120638.25,3721.29,117792.17,127020.06,3.08,1000000,8
insert_performance,ULID,p50_latency_us,1607.00,1598.00,33.29,1543.00,1632.00,2.08,1000000,8
insert_performance,ULID,p95_latency_us,67107.00,66824.00,1445.58,64475.00,68218.00,2.16,1000000,8
insert_performance,ULID,p99_latency_us,76482.00,76387.40,262.61,76066.00,76652.00,0.34,1000000,8
insert_performance,ULID,sstable_count,5.00,4.40,1.34,2.00,5.00,30.49,1000000,8
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,ULID,table_size_mb,79.42,79.65,2.00,77.42,82.19,2.51,1000000,8
insert_performance,ULID,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_iops,954.07,958.05,28.14,929.03,1004.29,2.94,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_throughput_mb,118.12,118.68,3.51,115.18,124.51,2.95,1000000,8
insert_performance,ULID_MONOTONIC,throughput,129186.72,129157.15,4318.36,123292.93,135182.89,3.34,1000000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,1549.00,1530.20,63.56,1429.00,1600.00,4.15,1000000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,60838.00,61667.20,4541.90,55874.00,67918.00,7.37,1000000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,76035.00,76005.60,345.04,75573.00,76512.00,0.45,1000000,8
insert_performance,ULID_MONOTONIC,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,table_size_mb,65.35,65.45,1.06,63.85,66.66,1.62,1000000,8
insert_performance,ULID_MONOTONIC,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,write_iops,1022.07,1021.35,26.87,983.69,1057.33,2.63,1000000,8
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,write_throughput_mb,126.50,126.43,3.41,121.71,131.11,2.70,1000000,8
insert_performance,UUIDV1,throughput,130645.94,130382.69,2549.99,127372.17,134227.61,1.96,1000000,8
insert_performance,UUIDV1,p50_latency_us,1500.00,1505.40,32.43,1464.00,1538.00,2.15,1000000,8
insert_performance,UUIDV1,p95_latency_us,64451.00,63364.20,2811.66,59460.00,65791.00,4.44,1000000,8
insert_performance,UUIDV1,p99_latency_us,75815.00,75605.20,332.49,75144.00,75860.00,0.44,1000000,8
insert_performance,UUIDV1,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,1000000,8
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV1,table_size_mb,63.57,63.64,0.62,63.13,64.69,0.98,1000000,8
insert_performance,UUIDV1,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV1,write_iops,1025.34,1026.46,16.98,1002.66,1049.78,1.65,1000000,8
