Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,48043.02,50355.18,49463.63,49117.93,49420.01,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,1563.00,1568.00,1563.00,1549.00,1558.00,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,3446.00,3323.00,3359.00,3390.00,3434.00,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,6874.00,6231.00,5837.00,5619.00,4967.00,100000,1
insert_performance,SEQUENTIAL,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,279.50,292.66,290.00,288.90,291.58,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,34.78,36.40,36.07,35.93,36.27,100000,1
insert_performance,UUIDV4,throughput,40073.79,41836.39,41397.17,41753.86,42052.23,100000,1
insert_performance,UUIDV4,p50_latency_us,1867.00,1884.00,1878.00,1867.00,1865.00,100000,1
insert_performance,UUIDV4,p95_latency_us,3985.00,3643.00,3808.00,3742.00,3653.00,100000,1
insert_performance,UUIDV4,p99_latency_us,6933.00,5757.00,6465.00,5908.00,8168.00,100000,1
insert_performance,UUIDV4,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV4,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,245.32,256.33,252.41,257.75,253.66,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,30.51,31.88,31.39,32.06,31.55,100000,1
insert_performance,UUIDV7,throughput,48803.29,48581.19,48985.11,47488.45,44160.12,100000,1
insert_performance,UUIDV7,p50_latency_us,1552.00,1572.00,1557.00,1570.00,1643.00,100000,1
insert_performance,UUIDV7,p95_latency_us,3417.00,3419.00,3321.00,3500.00,3561.00,100000,1
insert_performance,UUIDV7,p99_latency_us,5509.00,4771.00,5487.00,5416.00,6459.00,100000,1
insert_performance,UUIDV7,sstable_count,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV7,table_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,289.05,286.38,293.24,276.15,260.66,100000,1
