Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,819.40,819.43,4.37,813.68,824.93,0.53,100000,1
read_performance,SEQUENTIAL,p50_latency_us,1209.00,1207.40,6.39,1199.00,1215.00,0.53,100000,1
read_performance,SEQUENTIAL,p95_latency_us,1309.00,1313.60,9.07,1306.00,1328.00,0.69,100000,1
read_performance,SEQUENTIAL,p99_latency_us,1422.00,1420.60,13.83,1401.00,1439.00,0.97,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.54,0.54,0.02,0.51,0.56,3.34,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.03,0.02,0.00,0.02,0.03,8.56,100000,1
read_performance,UUIDV4,read_throughput,832.65,830.20,5.94,819.64,833.45,0.72,100000,1
read_performance,UUIDV4,p50_latency_us,1195.00,1197.00,5.61,1194.00,1207.00,0.47,100000,1
read_performance,UUIDV4,p95_latency_us,1274.00,1282.00,15.25,1274.00,1309.00,1.19,100000,1
read_performance,UUIDV4,p99_latency_us,1338.00,1353.40,28.90,1337.00,1404.00,2.14,100000,1
read_performance,UUIDV4,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,UUIDV4,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.60,0.60,0.02,0.57,0.63,4.06,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.03,0.03,0.00,0.03,0.04,7.61,100000,1
read_performance,UUIDV7,read_throughput,829.55,828.94,1.74,825.88,830.15,0.21,100000,1
read_performance,UUIDV7,p50_latency_us,1198.00,1198.20,1.64,1197.00,1201.00,0.14,100000,1
read_performance,UUIDV7,p95_latency_us,1281.00,1282.80,5.17,1280.00,1292.00,0.40,100000,1
read_performance,UUIDV7,p99_latency_us,1346.00,1350.20,12.40,1341.00,1372.00,0.92,100000,1
read_performance,UUIDV7,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,UUIDV7,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,0.60,0.57,0.06,0.46,0.60,10.73,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,0.03,0.03,0.01,0.02,0.03,25.97,100000,1
read_performance,ULID,read_throughput,829.93,829.97,0.52,829.34,830.78,0.06,100000,1
read_performance,ULID,p50_latency_us,1197.00,1197.20,0.84,1196.00,1198.00,0.07,100000,1
read_performance,ULID,p95_latency_us,1279.00,1279.20,0.45,1279.00,1280.00,0.03,100000,1
read_performance,ULID,p99_latency_us,1342.00,1342.40,1.67,1341.00,1345.00,0.12,100000,1
read_performance,ULID,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,ULID,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_iops,0.60,0.61,0.01,0.60,0.62,1.23,100000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_throughput_mb,0.03,0.03,0.00,0.03,0.03,1.45,100000,1
read_performance,ULID_MONOTONIC,read_throughput,830.36,830.19,0.44,829.43,830.52,0.05,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,1197.00,1197.00,0.00,1197.00,1197.00,0.00,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,1280.00,1280.00,1.22,1279.00,1282.00,0.10,100000,1
read_performance,ULID_MONOTONIC,p99_latency_us,1342.00,1343.00,3.54,1340.00,1349.00,0.26,100000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,ULID_MONOTONIC,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_iops,0.59,0.59,0.01,0.57,0.60,2.36,100000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.03,0.03,0.00,0.03,0.03,5.97,100000,1
read_performance,UUIDV1,read_throughput,829.54,827.48,4.16,820.45,830.41,0.50,100000,1
read_performance,UUIDV1,p50_latency_us,1197.00,1199.60,4.34,1197.00,1207.00,0.36,100000,1
read_performance,UUIDV1,p95_latency_us,1282.00,1287.20,10.62,1280.00,1305.00,0.82,100000,1
read_performance,UUIDV1,p99_latency_us,1353.00,1359.60,21.97,1343.00,1397.00,1.62,100000,1
read_performance,UUIDV1,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,UUIDV1,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,100000,1
read_performance,UUIDV1,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,write_iops,0.60,0.58,0.02,0.54,0.60,4.18,100000,1
read_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
