Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,810.21,810.45,810.39,809.85,810.82,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,1224.00,1225.00,1226.00,1227.00,1226.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,1305.00,1307.00,1309.00,1310.00,1308.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,1367.00,1363.00,1362.00,1362.00,1360.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_iops,0.29,0.33,0.33,0.23,0.32,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.03,0.03,0.03,0.02,0.03,10000000,1
read_performance,UUIDV4,read_throughput,788.58,793.63,789.20,779.64,781.73,10000000,1
read_performance,UUIDV4,p50_latency_us,1260.00,1251.00,1257.00,1271.00,1267.00,10000000,1
read_performance,UUIDV4,p95_latency_us,1355.00,1339.00,1357.00,1386.00,1380.00,10000000,1
read_performance,UUIDV4,p99_latency_us,1427.00,1416.00,1453.00,1503.00,1507.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.14,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.29,0.28,0.30,0.29,0.28,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.02,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.03,0.03,0.03,0.03,0.03,10000000,1
read_performance,UUIDV7,read_throughput,806.22,811.97,810.49,812.43,812.55,10000000,1
read_performance,UUIDV7,p50_latency_us,1226.00,1224.00,1226.00,1220.00,1220.00,10000000,1
read_performance,UUIDV7,p95_latency_us,1328.00,1306.00,1310.00,1303.00,1304.00,10000000,1
read_performance,UUIDV7,p99_latency_us,1463.00,1354.00,1361.00,1365.00,1370.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_iops,0.28,0.28,0.27,0.28,0.29,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.03,0.03,0.03,0.03,0.03,10000000,1
read_performance,ULID,read_throughput,812.14,812.07,812.21,812.14,811.95,10000000,1
read_performance,ULID,p50_latency_us,1220.00,1220.00,1220.00,1220.00,1220.00,10000000,1
read_performance,ULID,p95_latency_us,1303.00,1303.00,1304.00,1304.00,1303.00,10000000,1
read_performance,ULID,p99_latency_us,1364.00,1368.00,1369.00,1368.00,1368.00,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_iops,0.29,0.30,0.28,0.28,0.28,10000000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_throughput_mb,0.03,0.03,0.03,0.03,0.03,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,812.53,812.51,812.08,812.70,805.37,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,1219.00,1219.00,1220.00,1219.00,1227.00,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,1303.00,1303.00,1304.00,1303.00,1329.00,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,1366.00,1368.00,1367.00,1369.00,1470.00,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
