Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,832.50,832.68,0.34,832.36,833.05,0.04,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,1196.00,1195.80,0.45,1195.00,1196.00,0.04,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,1267.00,1266.60,0.55,1266.00,1267.00,0.04,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,1303.00,1302.80,1.30,1301.00,1304.00,0.10,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_iops,7.84,7.83,0.02,7.81,7.85,0.21,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.96,0.95,0.00,0.95,0.96,0.16,10000000,1
update_performance,UUIDV4,update_throughput,832.88,832.82,0.27,832.42,833.15,0.03,10000000,1
update_performance,UUIDV4,p50_latency_us,1196.00,1196.00,0.00,1196.00,1196.00,0.00,10000000,1
update_performance,UUIDV4,p95_latency_us,1266.00,1266.20,0.45,1266.00,1267.00,0.04,10000000,1
update_performance,UUIDV4,p99_latency_us,1303.00,1302.80,0.84,1302.00,1304.00,0.06,10000000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,8.21,8.21,0.03,8.18,8.25,0.32,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,1.00,1.00,0.00,1.00,1.01,0.36,10000000,1
update_performance,UUIDV7,update_throughput,832.65,832.96,0.53,832.58,833.81,0.06,10000000,1
update_performance,UUIDV7,p50_latency_us,1196.00,1195.80,0.45,1195.00,1196.00,0.04,10000000,1
update_performance,UUIDV7,p95_latency_us,1266.00,1265.80,0.45,1265.00,1266.00,0.04,10000000,1
update_performance,UUIDV7,p99_latency_us,1301.00,1301.20,1.79,1299.00,1303.00,0.14,10000000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.01,223.61,10000000,1
update_performance,UUIDV7,write_iops,8.19,8.19,0.02,8.17,8.21,0.19,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
update_performance,UUIDV7,write_throughput_mb,1.00,1.00,0.00,1.00,1.00,0.19,10000000,1
update_performance,ULID,update_throughput,833.46,833.35,0.32,832.88,833.67,0.04,10000000,1
update_performance,ULID,p50_latency_us,1195.00,1195.00,0.00,1195.00,1195.00,0.00,10000000,1
update_performance,ULID,p95_latency_us,1266.00,1265.60,0.55,1265.00,1266.00,0.04,10000000,1
update_performance,ULID,p99_latency_us,1302.00,1302.00,1.58,1300.00,1304.00,0.12,10000000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_iops,8.18,8.18,0.01,8.17,8.20,0.18,10000000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_throughput_mb,1.00,1.00,0.00,1.00,1.00,0.12,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,833.43,833.23,0.42,832.73,833.70,0.05,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1195.00,1195.40,0.55,1195.00,1196.00,0.05,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1265.00,1265.40,0.55,1265.00,1266.00,0.04,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,1303.00,1302.20,1.10,1301.00,1303.00,0.08,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
update_performance,ULID_MONOTONIC,write_iops,8.20,8.20,0.03,8.16,8.22,0.32,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,1.00,1.00,0.00,1.00,1.00,0.20,10000000,1
update_performance,UUIDV1,update_throughput,833.07,833.06,0.12,832.90,833.19,0.01,10000000,1
update_performance,UUIDV1,p50_latency_us,1196.00,1195.80,0.45,1195.00,1196.00,0.04,10000000,1
update_performance,UUIDV1,p95_latency_us,1266.00,1266.00,0.00,1266.00,1266.00,0.00,10000000,1
update_performance,UUIDV1,p99_latency_us,1300.00,1300.40,1.14,1299.00,1302.00,0.09,10000000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_iops,8.16,8.16,0.02,8.13,8.18,0.23,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_throughput_mb,0.99,0.99,0.00,0.99,1.00,0.20,10000000,1
