Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,833.05,832.36,832.50,833.05,832.44,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,1196.00,1196.00,1196.00,1195.00,1196.00,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,1266.00,1267.00,1267.00,1266.00,1267.00,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,1301.00,1303.00,1304.00,1302.00,1304.00,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_iops,7.84,7.84,7.85,7.83,7.81,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.96,0.96,0.96,0.95,0.95,10000000,1
update_performance,UUIDV4,update_throughput,832.77,832.88,832.88,833.15,832.42,10000000,1
update_performance,UUIDV4,p50_latency_us,1196.00,1196.00,1196.00,1196.00,1196.00,10000000,1
update_performance,UUIDV4,p95_latency_us,1266.00,1266.00,1266.00,1266.00,1267.00,10000000,1
update_performance,UUIDV4,p99_latency_us,1303.00,1302.00,1302.00,1303.00,1304.00,10000000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,8.25,8.19,8.21,8.23,8.18,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,1.01,1.00,1.00,1.00,1.00,10000000,1
update_performance,UUIDV7,update_throughput,832.61,832.65,832.58,833.14,833.81,10000000,1
update_performance,UUIDV7,p50_latency_us,1196.00,1196.00,1196.00,1196.00,1195.00,10000000,1
update_performance,UUIDV7,p95_latency_us,1266.00,1266.00,1266.00,1266.00,1265.00,10000000,1
update_performance,UUIDV7,p99_latency_us,1303.00,1303.00,1301.00,1300.00,1299.00,10000000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.01,0.00,0.00,10000000,1
update_performance,UUIDV7,write_iops,8.19,8.17,8.18,8.19,8.21,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_throughput_mb,1.00,1.00,1.00,1.00,1.00,10000000,1
update_performance,ULID,update_throughput,833.46,833.17,833.57,833.67,832.88,10000000,1
update_performance,ULID,p50_latency_us,1195.00,1195.00,1195.00,1195.00,1195.00,10000000,1
update_performance,ULID,p95_latency_us,1265.00,1266.00,1266.00,1265.00,1266.00,10000000,1
update_performance,ULID,p99_latency_us,1301.00,1302.00,1303.00,1300.00,1304.00,10000000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_iops,8.17,8.18,8.20,8.19,8.17,10000000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_throughput_mb,1.00,1.00,1.00,1.00,1.00,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,833.70,833.43,832.85,833.44,832.73,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1195.00,1195.00,1196.00,1195.00,1196.00,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1265.00,1265.00,1266.00,1265.00,1266.00,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,1301.00,1301.00,1303.00,1303.00,1303.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_iops,8.22,8.22,8.16,8.18,8.20,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,1.00,1.00,1.00,1.00,1.00,10000000,1
update_performance,UUIDV1,update_throughput,833.19,833.15,833.02,833.07,832.90,10000000,1
update_performance,UUIDV1,p50_latency_us,1195.00,1196.00,1196.00,1196.00,1196.00,10000000,1
update_performance,UUIDV1,p95_latency_us,1266.00,1266.00,1266.00,1266.00,1266.00,10000000,1
update_performance,UUIDV1,p99_latency_us,1300.00,1300.00,1299.00,1301.00,1302.00,10000000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_iops,8.16,8.13,8.18,8.16,8.17,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_throughput_mb,0.99,0.99,1.00,0.99,1.00,10000000,1
