Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,67775.95,67931.60,824.42,66889.91,69139.02,1.21,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,1451.00,1452.60,5.59,1447.00,1459.00,0.39,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,1785.00,1777.60,33.14,1737.00,1824.00,1.86,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,3101.00,3153.00,118.30,3040.00,3345.00,3.75,1000000,1
insert_performance,SEQUENTIAL,sstable_count,3.00,3.00,0.00,3.00,3.00,0.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,59.89,59.89,0.00,59.88,59.89,0.01,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_iops,534.05,535.08,6.02,526.54,542.73,1.13,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,66.48,66.58,0.73,65.53,67.50,1.10,1000000,1
insert_performance,UUIDV4,throughput,54010.07,54090.73,256.95,53799.00,54494.97,0.48,1000000,1
insert_performance,UUIDV4,p50_latency_us,1795.00,1794.80,8.29,1784.00,1807.00,0.46,1000000,1
insert_performance,UUIDV4,p95_latency_us,2210.00,2215.80,13.03,2203.00,2235.00,0.59,1000000,1
insert_performance,UUIDV4,p99_latency_us,3575.00,3565.80,77.54,3464.00,3663.00,2.17,1000000,1
insert_performance,UUIDV4,sstable_count,3.00,3.00,0.00,3.00,3.00,0.00,1000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,UUIDV4,table_size_mb,74.00,74.00,0.01,74.00,74.02,0.01,1000000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
