Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,66889.91,69139.02,68201.68,67651.43,67775.95,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,1447.00,1451.00,1448.00,1458.00,1459.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,1824.00,1737.00,1756.00,1786.00,1785.00,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,3345.00,3040.00,3099.00,3180.00,3101.00,1000000,1
insert_performance,SEQUENTIAL,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,59.88,59.88,59.89,59.89,59.89,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_iops,526.54,542.73,538.35,534.05,533.72,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,65.53,67.50,66.99,66.48,66.39,1000000,1
insert_performance,UUIDV4,throughput,54494.97,54140.25,54009.37,53799.00,54010.07,1000000,1
insert_performance,UUIDV4,p50_latency_us,1796.00,1784.00,1792.00,1795.00,1807.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,2203.00,2223.00,2235.00,2208.00,2210.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,3464.00,3575.00,3518.00,3663.00,3609.00,1000000,1
insert_performance,UUIDV4,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV4,table_size_mb,74.00,74.02,74.00,74.00,74.00,1000000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_iops,452.37,449.67,449.75,446.22,448.14,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_throughput_mb,56.31,55.94,55.94,55.50,55.71,1000000,1
insert_performance,UUIDV7,throughput,67520.71,66915.03,66120.46,66276.56,67767.11,1000000,1
insert_performance,UUIDV7,p50_latency_us,1459.00,1464.00,1473.00,1464.00,1451.00,1000000,1
insert_performance,UUIDV7,p95_latency_us,1758.00,1791.00,1816.00,1846.00,1733.00,1000000,1
insert_performance,UUIDV7,p99_latency_us,3137.00,3150.00,3225.00,3099.00,3082.00,1000000,1
insert_performance,UUIDV7,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV7,table_size_mb,66.27,66.27,66.27,66.27,66.27,1000000,1
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_iops,551.56,546.94,540.44,541.55,556.06,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_throughput_mb,68.66,68.09,67.23,67.31,69.14,1000000,1
insert_performance,ULID,throughput,64429.39,66407.84,66523.45,66251.74,66569.75,1000000,1
insert_performance,ULID,p50_latency_us,1480.00,1469.00,1472.00,1471.00,1477.00,1000000,1
insert_performance,ULID,p95_latency_us,1865.00,1769.00,1780.00,1795.00,1777.00,1000000,1
insert_performance,ULID,p99_latency_us,3365.00,3229.00,3224.00,3027.00,3222.00,1000000,1
insert_performance,ULID,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,ULID,table_size_mb,67.04,67.03,67.03,67.04,67.03,1000000,1
insert_performance,ULID,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_iops,528.94,544.95,545.79,542.09,545.48,1000000,1
