Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,217112.65,213867.99,5586.80,206696.66,218575.22,2.61,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,425.00,426.80,12.42,413.00,441.00,2.91,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,670.00,667.80,24.53,641.00,696.00,3.67,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,860.00,864.20,60.40,781.00,943.00,6.99,100000,1
insert_performance,SEQUENTIAL,page_splits,18.00,18.00,0.00,18.00,18.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,10.54,10.54,0.00,10.54,10.54,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,1.15,1.15,0.00,1.15,1.15,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,7.31,16.35,0.00,36.56,223.61,100000,1
insert_performance,SEQUENTIAL,write_iops,118.84,116.74,7.84,107.85,126.99,6.71,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.16,0.35,0.00,0.78,223.61,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,13.44,13.34,0.85,12.36,14.46,6.39,100000,1
insert_performance,UUIDV4,throughput,177566.73,174885.86,5128.45,168161.04,180036.31,2.93,100000,1
insert_performance,UUIDV4,p50_latency_us,502.00,509.00,12.63,499.00,526.00,2.48,100000,1
insert_performance,UUIDV4,p95_latency_us,756.00,774.00,37.29,737.00,827.00,4.82,100000,1
insert_performance,UUIDV4,p99_latency_us,1082.00,1062.80,123.02,864.00,1186.00,11.57,100000,1
insert_performance,UUIDV4,page_splits,87.00,87.40,0.55,87.00,88.00,0.63,100000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV4,table_size_mb,10.73,10.73,0.00,10.73,10.73,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,2.38,2.38,0.01,2.36,2.39,0.51,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,135.67,134.01,5.78,127.89,139.99,4.31,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,15.67,15.62,0.72,14.86,16.37,4.58,100000,1
insert_performance,UUIDV7,throughput,199392.76,201127.94,6608.44,194482.53,209478.40,3.29,100000,1
