Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,18300.58,18227.13,187.21,17932.70,18412.38,1.03,100000,1
read_performance,SEQUENTIAL,p50_latency_us,49.00,48.80,0.45,48.00,49.00,0.92,100000,1
read_performance,SEQUENTIAL,p95_latency_us,82.00,82.20,1.30,81.00,84.00,1.59,100000,1
read_performance,SEQUENTIAL,p99_latency_us,112.00,112.40,1.67,111.00,115.00,1.49,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.14,0.32,0.00,0.71,223.61,100000,1
read_performance,SEQUENTIAL,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.01,223.61,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_throughput,17536.85,17397.73,364.51,16937.98,17837.62,2.10,100000,1
read_performance,UUIDV4,p50_latency_us,51.00,51.20,0.84,50.00,52.00,1.63,100000,1
read_performance,UUIDV4,p95_latency_us,84.00,84.80,1.64,83.00,87.00,1.94,100000,1
read_performance,UUIDV4,p99_latency_us,133.00,132.40,2.30,130.00,135.00,1.74,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_throughput,17910.35,17830.57,277.11,17375.52,18115.95,1.55,100000,1
read_performance,UUIDV7,p50_latency_us,50.00,49.60,1.14,48.00,51.00,2.30,100000,1
read_performance,UUIDV7,p95_latency_us,84.00,84.60,1.34,83.00,86.00,1.59,100000,1
read_performance,UUIDV7,p99_latency_us,131.00,131.20,1.64,130.00,134.00,1.25,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_throughput,17904.03,17786.16,339.04,17187.95,18032.12,1.91,100000,1
read_performance,ULID,p50_latency_us,50.00,50.00,1.22,49.00,52.00,2.45,100000,1
read_performance,ULID,p95_latency_us,84.00,84.20,1.64,83.00,87.00,1.95,100000,1
read_performance,ULID,p99_latency_us,131.00,131.40,1.52,130.00,134.00,1.15,100000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_throughput,17959.49,17927.08,244.31,17634.46,18235.93,1.36,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,49.00,49.40,0.55,49.00,50.00,1.11,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,84.00,84.20,1.48,82.00,86.00,1.76,100000,1
read_performance,ULID_MONOTONIC,p99_latency_us,131.00,131.60,1.52,130.00,134.00,1.15,100000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,read_throughput,18089.32,17980.71,343.48,17461.81,18306.89,1.91,100000,1
read_performance,UUIDV1,p50_latency_us,49.00,49.00,1.22,48.00,51.00,2.50,100000,1
read_performance,UUIDV1,p95_latency_us,84.00,84.20,1.79,82.00,86.00,2.12,100000,1
read_performance,UUIDV1,p99_latency_us,131.00,131.80,1.92,130.00,135.00,1.46,100000,1
read_performance,UUIDV1,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,UUIDV1,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,OBJECTID,read_throughput,18306.59,18250.38,272.54,17862.07,18580.05,1.49,100000,1
read_performance,OBJECTID,p50_latency_us,48.00,48.60,0.89,48.00,50.00,1.84,100000,1
read_performance,OBJECTID,p95_latency_us,83.00,82.80,1.10,81.00,84.00,1.32,100000,1
read_performance,OBJECTID,p99_latency_us,113.00,113.40,1.52,112.00,115.00,1.34,100000,1
read_performance,OBJECTID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,OBJECTID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,100000,1
read_performance,OBJECTID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,OBJECTID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,OBJECTID,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,OBJECTID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,OBJECTID,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
