Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,18412.38,17932.70,18300.58,18326.08,18163.88,100000,1
read_performance,SEQUENTIAL,p50_latency_us,48.00,49.00,49.00,49.00,49.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,83.00,84.00,82.00,81.00,81.00,100000,1
read_performance,SEQUENTIAL,p99_latency_us,111.00,115.00,112.00,111.00,113.00,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.71,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.01,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_throughput,17114.36,16937.98,17561.83,17837.62,17536.85,100000,1
read_performance,UUIDV4,p50_latency_us,52.00,52.00,51.00,50.00,51.00,100000,1
read_performance,UUIDV4,p95_latency_us,86.00,87.00,84.00,83.00,84.00,100000,1
read_performance,UUIDV4,p99_latency_us,134.00,135.00,133.00,130.00,130.00,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_throughput,18115.95,17910.35,17375.52,17811.30,17939.71,100000,1
read_performance,UUIDV7,p50_latency_us,48.00,50.00,51.00,50.00,49.00,100000,1
read_performance,UUIDV7,p95_latency_us,83.00,84.00,86.00,84.00,86.00,100000,1
read_performance,UUIDV7,p99_latency_us,130.00,130.00,131.00,131.00,134.00,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_throughput,17904.03,17896.92,18032.12,17909.80,17187.95,100000,1
read_performance,ULID,p50_latency_us,50.00,50.00,49.00,49.00,52.00,100000,1
read_performance,ULID,p95_latency_us,83.00,84.00,83.00,84.00,87.00,100000,1
read_performance,ULID,p99_latency_us,130.00,131.00,131.00,131.00,134.00,100000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_throughput,18235.93,17736.18,18069.33,17959.49,17634.46,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,49.00,50.00,49.00,49.00,50.00,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,82.00,85.00,84.00,84.00,86.00,100000,1
read_performance,ULID_MONOTONIC,p99_latency_us,130.00,131.00,132.00,131.00,134.00,100000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV1,read_throughput,18089.32,17821.62,17461.81,18306.89,18223.93,100000,1
read_performance,UUIDV1,p50_latency_us,49.00,49.00,51.00,48.00,48.00,100000,1
read_performance,UUIDV1,p95_latency_us,84.00,86.00,86.00,82.00,83.00,100000,1
