Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,13397.70,13392.81,113.80,13253.66,13564.43,0.85,100000,1
update_performance,SEQUENTIAL,p50_latency_us,69.00,68.80,0.45,68.00,69.00,0.65,100000,1
update_performance,SEQUENTIAL,p95_latency_us,101.00,100.40,1.52,98.00,102.00,1.51,100000,1
update_performance,SEQUENTIAL,p99_latency_us,136.00,136.60,2.70,134.00,141.00,1.98,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.11,0.24,0.00,0.53,223.61,100000,1
update_performance,SEQUENTIAL,write_iops,122.76,121.85,1.78,119.15,123.48,1.46,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.01,0.00,0.01,223.61,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,14.44,14.37,0.19,14.09,14.58,1.35,100000,1
update_performance,UUIDV4,update_throughput,13246.45,13250.73,85.84,13133.57,13361.31,0.65,100000,1
update_performance,UUIDV4,p50_latency_us,69.00,69.20,0.45,69.00,70.00,0.65,100000,1
update_performance,UUIDV4,p95_latency_us,102.00,102.20,1.48,100.00,104.00,1.45,100000,1
update_performance,UUIDV4,p99_latency_us,146.00,145.20,1.64,143.00,147.00,1.13,100000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,120.86,120.78,1.22,119.22,121.98,1.01,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,14.21,14.20,0.11,14.03,14.33,0.78,100000,1
update_performance,UUIDV7,update_throughput,13306.40,13335.87,59.85,13278.63,13403.65,0.45,100000,1
update_performance,UUIDV7,p50_latency_us,69.00,68.80,0.45,68.00,69.00,0.65,100000,1
update_performance,UUIDV7,p95_latency_us,101.00,101.20,0.45,101.00,102.00,0.44,100000,1
update_performance,UUIDV7,p99_latency_us,144.00,144.60,0.89,144.00,146.00,0.62,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,122.22,122.30,0.40,121.89,122.95,0.32,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,14.38,14.37,0.04,14.31,14.40,0.27,100000,1
update_performance,ULID,update_throughput,13281.94,13290.85,40.27,13250.26,13342.54,0.30,100000,1
update_performance,ULID,p50_latency_us,69.00,69.00,0.00,69.00,69.00,0.00,100000,1
update_performance,ULID,p95_latency_us,102.00,102.00,0.71,101.00,103.00,0.69,100000,1
update_performance,ULID,p99_latency_us,146.00,145.80,1.92,143.00,148.00,1.32,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,122.47,122.15,0.81,121.00,123.02,0.66,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,14.38,14.37,0.08,14.29,14.46,0.56,100000,1
update_performance,ULID_MONOTONIC,update_throughput,13346.25,13319.33,48.69,13245.54,13360.96,0.37,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,69.00,69.00,0.00,69.00,69.00,0.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,102.00,101.60,0.89,100.00,102.00,0.88,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,146.00,145.60,1.14,144.00,147.00,0.78,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,120.93,121.03,0.64,120.28,121.82,0.53,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,14.30,14.26,0.08,14.13,14.34,0.56,100000,1
update_performance,UUIDV1,update_throughput,13416.82,13372.25,127.81,13157.21,13474.92,0.96,100000,1
update_performance,UUIDV1,p50_latency_us,69.00,69.00,0.71,68.00,70.00,1.02,100000,1
update_performance,UUIDV1,p95_latency_us,101.00,101.40,1.52,100.00,104.00,1.50,100000,1
update_performance,UUIDV1,p99_latency_us,143.00,144.00,2.55,142.00,148.00,1.77,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,121.58,121.00,1.24,119.10,122.11,1.03,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,14.28,14.27,0.13,14.05,14.37,0.92,100000,1
update_performance,OBJECTID,update_throughput,13449.38,13457.00,30.26,13426.41,13491.81,0.22,100000,1
