Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,197969.57,198824.96,2652.27,196696.61,203413.76,1.33,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,476.00,474.40,6.58,463.00,480.00,1.39,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,703.00,701.20,8.44,687.00,708.00,1.20,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,854.00,855.80,10.26,842.00,870.00,1.20,10000000,1
insert_performance,SEQUENTIAL,page_splits,1631.00,1631.20,6.76,1625.00,1642.00,0.41,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,1059.22,1059.22,0.01,1059.21,1059.23,0.00,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,124.01,124.01,0.02,124.00,124.04,0.01,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.05,0.11,0.00,0.24,223.61,10000000,1
insert_performance,SEQUENTIAL,write_iops,326.91,327.23,10.97,310.67,341.07,3.35,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,38.41,38.42,1.36,36.36,40.15,3.55,10000000,1
insert_performance,UUIDV4,throughput,116453.50,116562.67,830.71,115402.01,117686.02,0.71,10000000,1
insert_performance,UUIDV4,p50_latency_us,782.00,782.80,5.02,778.00,788.00,0.64,10000000,1
insert_performance,UUIDV4,p95_latency_us,1192.00,1205.00,24.02,1182.00,1232.00,1.99,10000000,1
insert_performance,UUIDV4,p99_latency_us,1660.00,1665.80,57.95,1595.00,1734.00,3.48,10000000,1
insert_performance,UUIDV4,page_splits,21261.00,21297.40,191.82,21107.00,21599.00,0.90,10000000,1
insert_performance,UUIDV4,fragmentation,0.03,0.05,0.04,0.02,0.10,80.66,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV4,table_size_mb,1070.32,1070.56,0.41,1070.21,1071.13,0.04,10000000,1
insert_performance,UUIDV4,index_size_mb,459.39,459.36,3.16,456.32,464.44,0.69,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.01,0.00,0.01,223.61,10000000,1
insert_performance,UUIDV4,write_iops,373.01,371.60,34.26,318.24,401.66,9.22,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
insert_performance,UUIDV4,write_throughput_mb,33.57,33.51,0.83,32.13,34.16,2.47,10000000,1
insert_performance,UUIDV7,throughput,185547.04,186666.91,3168.67,183338.66,190414.88,1.70,10000000,1
insert_performance,UUIDV7,p50_latency_us,494.00,491.40,8.96,481.00,501.00,1.82,10000000,1
insert_performance,UUIDV7,p95_latency_us,721.00,719.20,11.90,704.00,734.00,1.66,10000000,1
insert_performance,UUIDV7,p99_latency_us,876.00,872.20,13.81,855.00,888.00,1.58,10000000,1
insert_performance,UUIDV7,page_splits,1687.00,1689.60,11.87,1675.00,1707.00,0.70,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV7,table_size_mb,1069.99,1069.96,0.09,1069.80,1070.00,0.01,10000000,1
insert_performance,UUIDV7,index_size_mb,198.52,198.55,0.08,198.46,198.64,0.04,10000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_iops,326.13,326.60,3.23,323.04,331.17,0.99,10000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_throughput_mb,38.26,38.37,0.40,37.94,38.94,1.04,10000000,1
insert_performance,ULID,throughput,180367.50,179973.92,2058.89,176492.02,181909.13,1.14,10000000,1
insert_performance,ULID,p50_latency_us,511.00,512.60,5.03,508.00,521.00,0.98,10000000,1
insert_performance,ULID,p95_latency_us,743.00,747.00,13.87,736.00,770.00,1.86,10000000,1
insert_performance,ULID,p99_latency_us,900.00,914.60,38.27,887.00,981.00,4.18,10000000,1
insert_performance,ULID,page_splits,1682.00,1686.00,11.73,1674.00,1705.00,0.70,10000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,ULID,table_size_mb,1070.00,1069.96,0.09,1069.81,1070.00,0.01,10000000,1
insert_performance,ULID,index_size_mb,199.95,199.95,0.03,199.92,200.00,0.02,10000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.01,0.00,0.02,223.61,10000000,1
insert_performance,ULID,write_iops,321.70,321.49,9.93,309.75,336.40,3.09,10000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
insert_performance,ULID,write_throughput_mb,37.66,37.68,1.20,36.25,39.47,3.17,10000000,1
insert_performance,ULID_MONOTONIC,throughput,186093.96,185236.51,3459.52,179174.65,187524.70,1.87,10000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,498.00,500.20,7.92,495.00,514.00,1.58,10000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,729.00,736.00,23.92,721.00,778.00,3.25,10000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,892.00,908.00,49.50,873.00,994.00,5.45,10000000,1
insert_performance,ULID_MONOTONIC,page_splits,1691.00,1703.60,27.78,1679.00,1747.00,1.63,10000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,1069.99,1069.91,0.10,1069.79,1069.99,0.01,10000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,187.60,187.62,0.13,187.49,187.82,0.07,10000000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_iops,316.87,313.02,10.25,299.83,323.33,3.27,10000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,37.18,36.67,1.26,35.07,37.90,3.44,10000000,1
insert_performance,UUIDV1,throughput,188689.89,188524.41,1147.71,186633.32,189504.01,0.61,10000000,1
insert_performance,UUIDV1,p50_latency_us,494.00,495.00,3.54,492.00,501.00,0.71,10000000,1
insert_performance,UUIDV1,p95_latency_us,720.00,721.00,5.00,716.00,728.00,0.69,10000000,1
insert_performance,UUIDV1,p99_latency_us,868.00,870.60,8.53,860.00,882.00,0.98,10000000,1
insert_performance,UUIDV1,page_splits,1670.00,1672.00,10.46,1660.00,1688.00,0.63,10000000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV1,table_size_mb,1069.99,1069.99,0.00,1069.99,1070.00,0.00,10000000,1
insert_performance,UUIDV1,index_size_mb,234.45,234.43,0.04,234.39,234.46,0.02,10000000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,write_iops,306.68,308.26,5.19,304.01,317.16,1.68,10000000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,write_throughput_mb,35.94,36.10,0.62,35.52,37.15,1.72,10000000,1
insert_performance,OBJECTID,throughput,195765.71,197472.06,2526.55,195616.45,200932.48,1.28,10000000,1
