Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,197969.57,196696.61,198537.89,203413.76,197506.97,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,476.00,480.00,476.00,463.00,477.00,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,703.00,707.00,701.00,687.00,708.00,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,870.00,853.00,854.00,842.00,860.00,10000000,1
insert_performance,SEQUENTIAL,page_splits,1632.00,1642.00,1626.00,1631.00,1625.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,1059.21,1059.22,1059.22,1059.21,1059.23,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,124.00,124.00,124.03,124.01,124.04,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.24,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_iops,310.67,326.47,331.03,341.07,326.91,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,36.36,38.31,38.87,40.15,38.41,10000000,1
insert_performance,UUIDV4,throughput,116382.30,116889.51,115402.01,116453.50,117686.02,10000000,1
insert_performance,UUIDV4,p50_latency_us,788.00,782.00,788.00,778.00,778.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,1189.00,1192.00,1230.00,1232.00,1182.00,10000000,1
insert_performance,UUIDV4,p99_latency_us,1627.00,1660.00,1713.00,1734.00,1595.00,10000000,1
insert_performance,UUIDV4,page_splits,21107.00,21171.00,21261.00,21349.00,21599.00,10000000,1
insert_performance,UUIDV4,fragmentation,0.10,0.03,0.08,0.02,0.02,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV4,table_size_mb,1071.13,1070.32,1070.86,1070.21,1070.27,10000000,1
insert_performance,UUIDV4,index_size_mb,457.14,459.39,459.51,456.32,464.44,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.01,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_iops,363.82,401.28,373.01,318.24,401.66,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_throughput_mb,33.52,34.16,32.13,33.57,34.15,10000000,1
insert_performance,UUIDV7,throughput,184415.25,183338.66,190414.88,189618.74,185547.04,10000000,1
insert_performance,UUIDV7,p50_latency_us,498.00,501.00,481.00,483.00,494.00,10000000,1
insert_performance,UUIDV7,p95_latency_us,726.00,734.00,704.00,711.00,721.00,10000000,1
insert_performance,UUIDV7,p99_latency_us,881.00,888.00,855.00,861.00,876.00,10000000,1
insert_performance,UUIDV7,page_splits,1675.00,1687.00,1685.00,1694.00,1707.00,10000000,1
