Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,17510.78,17583.20,173.73,17398.03,17795.17,0.99,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,52.00,51.60,0.55,51.00,52.00,1.06,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,83.00,83.60,0.89,83.00,85.00,1.07,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,109.00,109.00,1.22,108.00,111.00,1.12,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.03,0.06,0.00,0.14,223.61,10000000,1
read_performance,SEQUENTIAL,write_iops,0.68,0.72,0.07,0.64,0.79,9.82,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.02,0.02,0.01,0.01,0.03,32.44,10000000,1
read_performance,UUIDV4,read_throughput,16463.84,16395.48,138.07,16197.85,16508.74,0.84,10000000,1
read_performance,UUIDV4,p50_latency_us,55.00,55.20,0.84,54.00,56.00,1.52,10000000,1
read_performance,UUIDV4,p95_latency_us,89.00,88.80,0.45,88.00,89.00,0.50,10000000,1
read_performance,UUIDV4,p99_latency_us,134.00,135.00,1.41,134.00,137.00,1.05,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.03,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.03,10000000,1
read_performance,UUIDV4,fragmentation,0.09,0.08,0.04,0.02,0.12,51.12,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.10,0.10,0.00,0.09,0.10,0.78,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,0.78,10000000,1
read_performance,UUIDV7,read_throughput,16854.89,16914.67,205.25,16655.09,17181.98,1.21,10000000,1
read_performance,UUIDV7,p50_latency_us,53.00,53.20,0.84,52.00,54.00,1.57,10000000,1
read_performance,UUIDV7,p95_latency_us,87.00,86.80,0.45,86.00,87.00,0.52,10000000,1
read_performance,UUIDV7,p99_latency_us,133.00,132.20,1.64,130.00,134.00,1.24,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_iops,0.50,0.51,0.07,0.46,0.62,12.93,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,23.06,10000000,1
read_performance,ULID,read_throughput,16908.40,16874.88,152.04,16641.32,17055.95,0.90,10000000,1
read_performance,ULID,p50_latency_us,53.00,53.20,0.45,53.00,54.00,0.84,10000000,1
read_performance,ULID,p95_latency_us,87.00,87.00,1.22,86.00,89.00,1.41,10000000,1
read_performance,ULID,p99_latency_us,133.00,133.20,1.64,132.00,136.00,1.23,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_iops,0.52,0.52,0.04,0.46,0.56,7.38,10000000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,20.69,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,17050.46,16951.87,400.80,16492.00,17411.99,2.36,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,52.00,52.60,0.89,52.00,54.00,1.70,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,87.00,87.60,2.41,85.00,91.00,2.75,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,136.00,137.40,5.18,132.00,145.00,3.77,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_iops,0.48,0.51,0.08,0.45,0.64,15.30,10000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.01,0.01,0.01,0.01,0.02,60.66,10000000,1
read_performance,UUIDV1,read_throughput,16959.95,16937.80,231.48,16597.27,17224.33,1.37,10000000,1
read_performance,UUIDV1,p50_latency_us,52.00,52.60,0.89,52.00,54.00,1.70,10000000,1
read_performance,UUIDV1,p95_latency_us,87.00,87.60,0.89,87.00,89.00,1.02,10000000,1
read_performance,UUIDV1,p99_latency_us,137.00,136.80,3.35,133.00,141.00,2.45,10000000,1
read_performance,UUIDV1,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV1,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,write_iops,0.52,0.53,0.04,0.48,0.59,7.46,10000000,1
read_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
