Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,13052.51,12752.68,570.46,12066.37,13238.56,4.47,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,70.00,71.40,2.88,69.00,75.00,4.03,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,106.00,110.80,8.04,104.00,121.00,7.26,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,145.00,152.80,13.99,140.00,168.00,9.16,10000000,1
update_performance,SEQUENTIAL,fragmentation,3.88,4.03,0.40,3.65,4.47,9.90,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.02,0.05,0.00,0.10,223.61,10000000,1
update_performance,SEQUENTIAL,write_iops,146.97,159.67,44.05,132.01,237.37,27.59,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,16.46,18.00,5.33,14.72,27.41,29.59,10000000,1
update_performance,UUIDV4,update_throughput,11530.03,11921.14,573.52,11490.69,12622.16,4.81,10000000,1
update_performance,UUIDV4,p50_latency_us,79.00,76.40,3.58,72.00,79.00,4.68,10000000,1
update_performance,UUIDV4,p95_latency_us,128.00,122.00,8.75,111.00,129.00,7.17,10000000,1
update_performance,UUIDV4,p99_latency_us,182.00,174.80,12.85,158.00,186.00,7.35,10000000,1
update_performance,UUIDV4,fragmentation,3.14,3.17,0.36,2.76,3.68,11.40,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,206.47,200.87,10.86,188.79,210.80,5.41,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,20.99,21.64,0.99,20.87,22.97,4.56,10000000,1
update_performance,UUIDV7,update_throughput,12897.09,12713.30,483.58,11862.81,13047.74,3.80,10000000,1
update_performance,UUIDV7,p50_latency_us,71.00,71.60,2.51,70.00,76.00,3.51,10000000,1
update_performance,UUIDV7,p95_latency_us,108.00,110.60,7.02,106.00,123.00,6.35,10000000,1
update_performance,UUIDV7,p99_latency_us,154.00,156.80,10.52,148.00,175.00,6.71,10000000,1
update_performance,UUIDV7,fragmentation,4.40,4.50,0.27,4.19,4.81,6.05,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_iops,162.17,162.41,24.55,127.77,196.81,15.12,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_throughput_mb,18.30,18.33,2.95,14.20,22.49,16.10,10000000,1
update_performance,ULID,update_throughput,11932.23,11926.92,74.84,11817.13,12018.10,0.63,10000000,1
update_performance,ULID,p50_latency_us,76.00,75.80,0.45,75.00,76.00,0.59,10000000,1
update_performance,ULID,p95_latency_us,122.00,122.20,1.30,121.00,124.00,1.07,10000000,1
update_performance,ULID,p99_latency_us,174.00,174.20,1.64,173.00,177.00,0.94,10000000,1
update_performance,ULID,fragmentation,4.83,4.82,0.01,4.80,4.84,0.31,10000000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_iops,130.71,130.91,1.40,129.60,132.92,1.07,10000000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_throughput_mb,14.50,14.56,0.20,14.39,14.85,1.36,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,11996.75,12078.73,207.76,11937.13,12440.02,1.72,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,75.00,74.80,1.64,72.00,76.00,2.20,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,122.00,120.80,3.27,116.00,124.00,2.71,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,175.00,174.20,5.26,168.00,181.00,3.02,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,4.78,4.79,0.03,4.75,4.84,0.71,10000000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_iops,126.68,133.50,15.41,123.18,160.53,11.54,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,14.02,14.83,1.86,13.59,18.09,12.54,10000000,1
update_performance,UUIDV1,update_throughput,12612.36,12567.36,575.08,11933.51,13152.00,4.58,10000000,1
update_performance,UUIDV1,p50_latency_us,73.00,72.40,3.29,69.00,76.00,4.54,10000000,1
update_performance,UUIDV1,p95_latency_us,111.00,113.40,8.62,105.00,123.00,7.60,10000000,1
update_performance,UUIDV1,p99_latency_us,157.00,161.00,13.23,148.00,176.00,8.22,10000000,1
update_performance,UUIDV1,fragmentation,4.76,4.56,0.30,4.22,4.80,6.48,10000000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_iops,162.08,152.36,26.07,121.82,183.06,17.11,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_throughput_mb,18.28,17.13,3.13,13.46,20.84,18.29,10000000,1
update_performance,OBJECTID,update_throughput,13373.10,13410.31,84.81,13323.94,13512.74,0.63,10000000,1
update_performance,OBJECTID,p50_latency_us,69.00,69.00,0.00,69.00,69.00,0.00,10000000,1
update_performance,OBJECTID,p95_latency_us,101.00,100.80,0.84,100.00,102.00,0.83,10000000,1
update_performance,OBJECTID,p99_latency_us,134.00,133.80,2.17,131.00,137.00,1.62,10000000,1
update_performance,OBJECTID,fragmentation,3.73,3.76,0.18,3.58,4.06,4.82,10000000,1
update_performance,OBJECTID,read_iops,0.00,0.01,0.01,0.00,0.03,223.61,10000000,1
update_performance,OBJECTID,write_iops,216.00,200.99,53.84,143.95,260.25,26.79,10000000,1
update_performance,OBJECTID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
update_performance,OBJECTID,write_throughput_mb,24.83,22.99,6.51,16.10,30.13,28.31,10000000,1
