Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,426812.31,433975.35,434048.17,432656.90,431183.44,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,1195.00,1162.00,1167.00,1171.00,1173.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,2483.00,2410.00,2443.00,2378.00,2446.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,25228.00,26966.00,26306.00,27157.00,26944.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,164.00,163.00,163.00,163.00,162.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,105.70,105.66,105.67,105.67,105.66,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,12.48,12.48,12.48,12.47,12.48,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.82,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_iops,268.02,274.22,272.04,276.98,272.93,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.01,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,32.75,33.51,33.45,33.69,33.46,1000000,8
insert_performance,UUIDV4,throughput,333962.18,322990.02,319522.67,332065.11,331585.63,1000000,8
insert_performance,UUIDV4,p50_latency_us,1280.00,1289.00,1301.00,1279.00,1306.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,2605.00,2803.00,2681.00,2607.00,2728.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,39057.00,39437.00,44454.00,38081.00,38208.00,1000000,8
insert_performance,UUIDV4,page_splits,1475.00,1375.00,1518.00,1618.00,1526.00,1000000,8
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV4,table_size_mb,106.89,106.90,106.88,106.88,106.85,1000000,8
insert_performance,UUIDV4,index_size_mb,26.18,26.31,26.73,26.02,25.24,1000000,8
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_iops,288.68,278.76,273.10,284.08,285.24,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,35.11,34.05,33.23,34.76,34.86,1000000,8
insert_performance,UUIDV7,throughput,397343.14,407303.58,412239.51,393249.97,406446.22,1000000,8
insert_performance,UUIDV7,p50_latency_us,1211.00,1204.00,1181.00,1216.00,1207.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,2517.00,2524.00,2452.00,2581.00,2590.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,26328.00,25470.00,24879.00,25342.00,23110.00,1000000,8
insert_performance,UUIDV7,page_splits,169.00,168.00,167.00,167.00,167.00,1000000,8
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV7,table_size_mb,106.82,106.82,106.80,106.82,106.81,1000000,8
insert_performance,UUIDV7,index_size_mb,19.18,19.20,19.16,19.20,19.19,1000000,8
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_iops,308.97,300.37,303.32,301.38,303.53,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,37.97,36.77,37.27,36.76,37.28,1000000,8
insert_performance,ULID,throughput,397356.53,398848.67,401529.08,396881.33,400153.29,1000000,8
insert_performance,ULID,p50_latency_us,1212.00,1189.00,1193.00,1214.00,1209.00,1000000,8
insert_performance,ULID,p95_latency_us,2594.00,2537.00,2494.00,2479.00,2494.00,1000000,8
insert_performance,ULID,p99_latency_us,28251.00,29604.00,28328.00,27160.00,27680.00,1000000,8
insert_performance,ULID,page_splits,169.00,168.00,169.00,167.00,169.00,1000000,8
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID,table_size_mb,106.82,106.83,106.84,106.82,106.83,1000000,8
insert_performance,ULID,index_size_mb,19.32,19.31,19.30,19.31,19.32,1000000,8
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_iops,305.03,304.48,301.68,301.84,309.59,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_throughput_mb,37.46,37.26,37.04,37.01,37.86,1000000,8
