Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,132576.85,131325.48,3421.37,125762.19,134858.34,2.61,100000,8
insert_performance,SEQUENTIAL,p50_latency_us,5517.00,5526.60,154.95,5340.00,5769.00,2.80,100000,8
insert_performance,SEQUENTIAL,p95_latency_us,8810.00,8861.40,473.69,8491.00,9662.00,5.35,100000,8
insert_performance,SEQUENTIAL,p99_latency_us,12246.00,12452.00,774.76,11613.00,13687.00,6.22,100000,8
insert_performance,SEQUENTIAL,page_splits,8274.00,8274.40,14.01,8260.00,8289.00,0.17,100000,8
insert_performance,SEQUENTIAL,fragmentation,12.51,12.52,0.36,12.18,13.05,2.87,100000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,8
insert_performance,SEQUENTIAL,table_size_mb,147.75,147.54,0.83,146.73,148.72,0.56,100000,8
insert_performance,SEQUENTIAL,index_size_mb,147.75,147.54,0.83,146.73,148.72,0.56,100000,8
insert_performance,SEQUENTIAL,read_iops,3.53,2.98,1.23,0.78,3.63,41.43,100000,8
insert_performance,SEQUENTIAL,write_iops,5539.32,4593.59,2115.72,814.65,5699.44,46.06,100000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.06,0.05,0.02,0.02,0.06,36.02,100000,8
insert_performance,SEQUENTIAL,write_throughput_mb,455.59,376.89,176.45,61.73,468.15,46.82,100000,8
insert_performance,UUIDV4,throughput,121548.99,120516.08,3846.90,114502.65,124539.18,3.19,100000,8
insert_performance,UUIDV4,p50_latency_us,5890.00,5979.80,156.48,5878.00,6244.00,2.62,100000,8
insert_performance,UUIDV4,p95_latency_us,10403.00,10033.60,883.38,9024.00,11096.00,8.80,100000,8
insert_performance,UUIDV4,p99_latency_us,14555.00,14380.40,1270.27,12298.00,15605.00,8.83,100000,8
insert_performance,UUIDV4,page_splits,10118.00,10112.60,25.04,10074.00,10138.00,0.25,100000,8
insert_performance,UUIDV4,fragmentation,12.88,12.94,0.12,12.82,13.12,0.93,100000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,8
insert_performance,UUIDV4,table_size_mb,180.97,180.78,0.45,179.97,180.98,0.25,100000,8
insert_performance,UUIDV4,index_size_mb,180.97,180.78,0.45,179.97,180.98,0.25,100000,8
insert_performance,UUIDV4,read_iops,3.29,3.27,0.10,3.11,3.38,3.14,100000,8
insert_performance,UUIDV4,write_iops,6155.11,6136.68,162.71,5884.87,6310.79,2.65,100000,8
insert_performance,UUIDV4,read_throughput_mb,0.05,0.05,0.00,0.05,0.05,3.14,100000,8
insert_performance,UUIDV4,write_throughput_mb,537.08,533.36,16.73,507.63,551.30,3.14,100000,8
insert_performance,UUIDV7,throughput,116351.88,117502.09,4088.64,113743.02,123257.37,3.48,100000,8
insert_performance,UUIDV7,p50_latency_us,6246.00,6251.60,214.36,5982.00,6567.00,3.43,100000,8
insert_performance,UUIDV7,p95_latency_us,9819.00,9974.60,521.92,9499.00,10575.00,5.23,100000,8
insert_performance,UUIDV7,p99_latency_us,16792.00,16223.60,2643.89,12032.00,18815.00,16.30,100000,8
insert_performance,UUIDV7,page_splits,9156.00,9152.40,15.21,9126.00,9164.00,0.17,100000,8
insert_performance,UUIDV7,fragmentation,12.93,12.89,0.10,12.71,12.96,0.80,100000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,8
insert_performance,UUIDV7,table_size_mb,163.88,163.70,0.45,162.89,163.94,0.28,100000,8
insert_performance,UUIDV7,index_size_mb,163.88,163.70,0.45,162.89,163.94,0.28,100000,8
insert_performance,UUIDV7,read_iops,3.15,3.19,0.11,3.09,3.35,3.51,100000,8
insert_performance,UUIDV7,write_iops,5344.03,5388.72,153.29,5230.98,5615.28,2.84,100000,8
insert_performance,UUIDV7,read_throughput_mb,0.05,0.05,0.00,0.05,0.05,3.51,100000,8
insert_performance,UUIDV7,write_throughput_mb,443.98,448.99,15.59,433.92,470.46,3.47,100000,8
insert_performance,ULID,throughput,119874.22,119178.64,3113.24,115631.26,123105.78,2.61,100000,8
insert_performance,ULID,p50_latency_us,6242.00,6280.00,159.58,6055.00,6460.00,2.54,100000,8
insert_performance,ULID,p95_latency_us,9796.00,9746.80,477.02,9161.00,10313.00,4.89,100000,8
insert_performance,ULID,p99_latency_us,15407.00,15388.40,1178.50,13871.00,17149.00,7.66,100000,8
insert_performance,ULID,page_splits,10152.00,10144.60,28.28,10110.00,10171.00,0.28,100000,8
insert_performance,ULID,fragmentation,12.96,12.98,0.09,12.90,13.13,0.69,100000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,8
insert_performance,ULID,table_size_mb,181.95,181.58,0.55,180.97,182.00,0.30,100000,8
insert_performance,ULID,index_size_mb,181.95,181.58,0.55,180.97,182.00,0.30,100000,8
insert_performance,ULID,read_iops,3.26,3.24,0.08,3.15,3.34,2.50,100000,8
insert_performance,ULID,write_iops,6118.42,6079.07,146.68,5911.89,6266.03,2.41,100000,8
insert_performance,ULID,read_throughput_mb,0.05,0.05,0.00,0.05,0.05,2.50,100000,8
insert_performance,ULID,write_throughput_mb,533.05,529.82,13.18,514.60,546.24,2.49,100000,8
insert_performance,ULID_MONOTONIC,throughput,127284.70,127808.57,2070.45,125676.61,131143.12,1.62,100000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,5808.00,5725.20,142.72,5522.00,5851.00,2.49,100000,8
