Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,132576.85,130842.48,125762.19,132587.51,134858.34,100000,8
insert_performance,SEQUENTIAL,p50_latency_us,5478.00,5529.00,5769.00,5517.00,5340.00,100000,8
insert_performance,SEQUENTIAL,p95_latency_us,8491.00,8822.00,9662.00,8810.00,8522.00,100000,8
insert_performance,SEQUENTIAL,p99_latency_us,12246.00,12593.00,13687.00,12121.00,11613.00,100000,8
insert_performance,SEQUENTIAL,page_splits,8261.00,8289.00,8288.00,8274.00,8260.00,100000,8
insert_performance,SEQUENTIAL,fragmentation,12.18,12.51,13.05,12.67,12.20,100000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,8
insert_performance,SEQUENTIAL,table_size_mb,146.73,147.77,148.72,147.75,146.75,100000,8
insert_performance,SEQUENTIAL,index_size_mb,146.73,147.77,148.72,147.75,146.75,100000,8
insert_performance,SEQUENTIAL,read_iops,0.78,3.53,3.39,3.55,3.63,100000,8
insert_performance,SEQUENTIAL,write_iops,814.65,5545.32,5369.21,5539.32,5699.44,100000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.02,0.06,0.05,0.06,0.06,100000,8
insert_performance,SEQUENTIAL,write_throughput_mb,61.73,455.59,441.02,457.97,468.15,100000,8
insert_performance,UUIDV4,throughput,121548.99,114502.65,122626.16,124539.18,119363.42,100000,8
insert_performance,UUIDV4,p50_latency_us,5878.00,6244.00,5884.00,5890.00,6003.00,100000,8
insert_performance,UUIDV4,p95_latency_us,10434.00,11096.00,9211.00,9024.00,10403.00,100000,8
insert_performance,UUIDV4,p99_latency_us,15605.00,14555.00,12298.00,15143.00,14301.00,100000,8
insert_performance,UUIDV4,page_splits,10129.00,10118.00,10138.00,10104.00,10074.00,100000,8
insert_performance,UUIDV4,fragmentation,12.87,12.99,12.82,13.12,12.88,100000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,8
insert_performance,UUIDV4,table_size_mb,180.97,180.97,180.98,180.98,179.97,100000,8
insert_performance,UUIDV4,index_size_mb,180.97,180.97,180.98,180.98,179.97,100000,8
insert_performance,UUIDV4,read_iops,3.29,3.11,3.32,3.38,3.24,100000,8
insert_performance,UUIDV4,write_iops,6155.11,5884.87,6237.32,6310.79,6095.29,100000,8
insert_performance,UUIDV4,read_throughput_mb,0.05,0.05,0.05,0.05,0.05,100000,8
insert_performance,UUIDV4,write_throughput_mb,537.08,507.63,542.91,551.30,527.87,100000,8
insert_performance,UUIDV7,throughput,114084.66,123257.37,113743.02,120073.51,116351.88,100000,8
insert_performance,UUIDV7,p50_latency_us,6305.00,5982.00,6567.00,6158.00,6246.00,100000,8
insert_performance,UUIDV7,p95_latency_us,10479.00,9501.00,10575.00,9499.00,9819.00,100000,8
insert_performance,UUIDV7,p99_latency_us,16792.00,17927.00,18815.00,12032.00,15552.00,100000,8
insert_performance,UUIDV7,page_splits,9126.00,9161.00,9164.00,9155.00,9156.00,100000,8
insert_performance,UUIDV7,fragmentation,12.71,12.94,12.88,12.93,12.96,100000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,8
insert_performance,UUIDV7,table_size_mb,162.89,163.94,163.88,163.88,163.91,100000,8
insert_performance,UUIDV7,index_size_mb,162.89,163.94,163.88,163.88,163.91,100000,8
insert_performance,UUIDV7,read_iops,3.10,3.35,3.09,3.27,3.15,100000,8
insert_performance,UUIDV7,write_iops,5288.66,5615.28,5230.98,5464.67,5344.03,100000,8
insert_performance,UUIDV7,read_throughput_mb,0.05,0.05,0.05,0.05,0.05,100000,8
insert_performance,UUIDV7,write_throughput_mb,436.93,470.46,433.92,459.64,443.98,100000,8
insert_performance,ULID,throughput,119874.22,123105.78,115631.26,120843.32,116438.63,100000,8
insert_performance,ULID,p50_latency_us,6238.00,6055.00,6460.00,6242.00,6405.00,100000,8
insert_performance,ULID,p95_latency_us,9796.00,9161.00,10313.00,9383.00,10081.00,100000,8
insert_performance,ULID,p99_latency_us,15501.00,15407.00,17149.00,13871.00,15014.00,100000,8
insert_performance,ULID,page_splits,10171.00,10110.00,10152.00,10120.00,10170.00,100000,8
insert_performance,ULID,fragmentation,12.92,12.99,13.13,12.90,12.96,100000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,8
insert_performance,ULID,table_size_mb,181.95,180.97,182.00,180.98,182.00,100000,8
insert_performance,ULID,index_size_mb,181.95,180.97,182.00,180.98,182.00,100000,8
insert_performance,ULID,read_iops,3.26,3.34,3.15,3.29,3.17,100000,8
insert_performance,ULID,write_iops,6118.42,6266.03,5911.89,6149.17,5949.85,100000,8
insert_performance,ULID,read_throughput_mb,0.05,0.05,0.05,0.05,0.05,100000,8
insert_performance,ULID,write_throughput_mb,533.05,546.24,514.60,536.92,518.28,100000,8
insert_performance,ULID_MONOTONIC,throughput,131143.12,127284.70,128168.39,126770.01,125676.61,100000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,5629.00,5851.00,5522.00,5816.00,5808.00,100000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,8892.00,8513.00,8947.00,9107.00,8608.00,100000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,13575.00,15253.00,13115.00,13304.00,14018.00,100000,8
insert_performance,ULID_MONOTONIC,page_splits,8177.00,8243.00,8178.00,8185.00,8197.00,100000,8
insert_performance,ULID_MONOTONIC,fragmentation,12.62,13.17,12.66,12.55,13.01,100000,8
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,8
insert_performance,ULID_MONOTONIC,table_size_mb,145.86,147.88,145.88,145.84,146.86,100000,8
insert_performance,ULID_MONOTONIC,index_size_mb,145.86,147.88,145.88,145.84,146.86,100000,8
insert_performance,ULID_MONOTONIC,read_iops,3.54,3.44,3.47,3.43,3.40,100000,8
insert_performance,ULID_MONOTONIC,write_iops,5570.97,5348.04,5475.14,5443.56,5354.55,100000,8
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.06,0.05,0.05,0.05,0.05,100000,8
insert_performance,ULID_MONOTONIC,write_throughput_mb,456.78,445.05,447.81,443.37,438.83,100000,8
insert_performance,UUIDV1,throughput,126533.98,130307.86,125261.80,126970.32,126756.60,100000,8
insert_performance,UUIDV1,p50_latency_us,5947.00,5575.00,5787.00,5837.00,5823.00,100000,8
insert_performance,UUIDV1,p95_latency_us,8781.00,8704.00,9042.00,9329.00,8681.00,100000,8
insert_performance,UUIDV1,p99_latency_us,14259.00,14369.00,15075.00,12447.00,13041.00,100000,8
insert_performance,UUIDV1,page_splits,8826.00,8792.00,8762.00,8777.00,8902.00,100000,8
insert_performance,UUIDV1,fragmentation,12.36,12.59,12.96,12.81,12.63,100000,8
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,8
insert_performance,UUIDV1,table_size_mb,156.91,156.83,156.88,156.86,158.83,100000,8
insert_performance,UUIDV1,index_size_mb,156.91,156.83,156.88,156.86,158.83,100000,8
insert_performance,UUIDV1,read_iops,3.42,3.50,3.39,3.44,3.41,100000,8
insert_performance,UUIDV1,write_iops,5543.85,5694.90,5541.05,5619.14,5595.77,100000,8
insert_performance,UUIDV1,read_throughput_mb,0.05,0.05,0.05,0.05,0.05,100000,8
insert_performance,UUIDV1,write_throughput_mb,465.02,475.39,460.56,467.23,465.08,100000,8
