Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,868.43,869.40,8.95,858.36,882.11,1.03,100000,1
update_performance,SEQUENTIAL,p50_latency_us,1022.00,1022.60,2.19,1020.00,1026.00,0.21,100000,1
update_performance,SEQUENTIAL,p95_latency_us,1443.00,1440.20,13.59,1422.00,1459.00,0.94,100000,1
update_performance,SEQUENTIAL,p99_latency_us,3205.00,3118.00,665.45,2142.00,3998.00,21.34,100000,1
update_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.00,0.92,0.92,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.05,0.05,0.00,0.05,0.05,1.03,100000,1
update_performance,SEQUENTIAL,write_iops,2906.16,2913.68,37.57,2871.00,2968.27,1.29,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1.03,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,14.80,14.82,0.14,14.69,15.02,0.92,100000,1
update_performance,UUIDV4,update_throughput,862.11,862.62,7.59,852.19,872.95,0.88,100000,1
update_performance,UUIDV4,p50_latency_us,1022.00,1022.40,4.28,1017.00,1028.00,0.42,100000,1
update_performance,UUIDV4,p95_latency_us,1445.00,1442.40,11.17,1427.00,1457.00,0.77,100000,1
update_performance,UUIDV4,p99_latency_us,3587.00,3584.80,178.50,3306.00,3763.00,4.98,100000,1
update_performance,UUIDV4,fragmentation,13.07,13.16,0.29,12.94,13.67,2.23,100000,1
update_performance,UUIDV4,read_iops,0.05,0.05,0.00,0.05,0.05,0.88,100000,1
update_performance,UUIDV4,write_iops,2950.54,2943.99,21.22,2908.18,2964.25,0.72,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.88,100000,1
update_performance,UUIDV4,write_throughput_mb,15.79,15.80,0.13,15.60,15.96,0.82,100000,1
update_performance,UUIDV7,update_throughput,871.00,872.21,7.59,861.74,880.16,0.87,100000,1
update_performance,UUIDV7,p50_latency_us,1018.00,1019.40,5.13,1013.00,1027.00,0.50,100000,1
update_performance,UUIDV7,p95_latency_us,1428.00,1432.20,9.44,1424.00,1447.00,0.66,100000,1
update_performance,UUIDV7,p99_latency_us,3203.00,3144.60,523.31,2562.00,3752.00,16.64,100000,1
update_performance,UUIDV7,fragmentation,0.97,0.97,0.00,0.97,0.97,0.00,100000,1
update_performance,UUIDV7,read_iops,0.05,0.05,0.00,0.05,0.05,0.87,100000,1
update_performance,UUIDV7,write_iops,2932.13,2929.09,22.51,2904.73,2956.01,0.77,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.87,100000,1
update_performance,UUIDV7,write_throughput_mb,14.89,14.93,0.10,14.82,15.07,0.65,100000,1
update_performance,ULID,update_throughput,869.81,870.08,12.10,858.43,886.40,1.39,100000,1
update_performance,ULID,p50_latency_us,1012.00,1012.20,1.79,1010.00,1014.00,0.18,100000,1
update_performance,ULID,p95_latency_us,1430.00,1430.20,12.58,1416.00,1446.00,0.88,100000,1
update_performance,ULID,p99_latency_us,3650.00,3557.80,510.68,2790.00,4124.00,14.35,100000,1
update_performance,ULID,fragmentation,12.90,12.95,0.12,12.83,13.12,0.90,100000,1
update_performance,ULID,read_iops,0.05,0.05,0.00,0.05,0.05,1.39,100000,1
update_performance,ULID,write_iops,2966.84,2973.54,39.25,2934.58,3022.79,1.32,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1.39,100000,1
update_performance,ULID,write_throughput_mb,16.41,16.42,0.23,16.17,16.72,1.42,100000,1
update_performance,ULID_MONOTONIC,update_throughput,870.70,867.70,10.03,854.53,880.29,1.16,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1014.00,1014.20,2.05,1011.00,1016.00,0.20,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1427.00,1430.20,10.47,1419.00,1444.00,0.73,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,3583.00,3639.60,289.78,3241.00,3999.00,7.96,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.97,0.97,0.00,0.97,0.97,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.05,0.05,0.00,0.05,0.05,1.16,100000,1
update_performance,ULID_MONOTONIC,write_iops,2901.57,2900.60,30.56,2858.44,2942.54,1.05,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1.16,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,14.79,14.81,0.18,14.59,15.08,1.20,100000,1
update_performance,UUIDV1,update_throughput,874.54,872.86,4.53,866.11,877.85,0.52,100000,1
update_performance,UUIDV1,p50_latency_us,1009.00,1009.80,1.10,1009.00,1011.00,0.11,100000,1
update_performance,UUIDV1,p95_latency_us,1419.00,1421.40,5.77,1416.00,1429.00,0.41,100000,1
update_performance,UUIDV1,p99_latency_us,3667.00,3701.80,222.77,3500.00,4025.00,6.02,100000,1
update_performance,UUIDV1,fragmentation,0.97,0.97,0.00,0.97,0.97,0.00,100000,1
update_performance,UUIDV1,read_iops,0.05,0.05,0.00,0.05,0.05,0.52,100000,1
update_performance,UUIDV1,write_iops,2913.01,2914.25,14.81,2898.56,2930.24,0.51,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.52,100000,1
update_performance,UUIDV1,write_throughput_mb,14.91,14.92,0.07,14.85,15.02,0.50,100000,1
