Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,882.11,873.28,858.36,868.43,864.80,100000,1
update_performance,SEQUENTIAL,p50_latency_us,1022.00,1026.00,1020.00,1022.00,1023.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,1422.00,1434.00,1443.00,1443.00,1459.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,2142.00,2987.00,3998.00,3205.00,3258.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.92,0.92,0.92,100000,1
update_performance,SEQUENTIAL,read_iops,0.05,0.05,0.05,0.05,0.05,100000,1
update_performance,SEQUENTIAL,write_iops,2968.27,2931.19,2871.00,2906.16,2891.76,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,15.02,14.89,14.69,14.80,14.71,100000,1
update_performance,UUIDV4,update_throughput,852.19,872.95,865.59,860.26,862.11,100000,1
update_performance,UUIDV4,p50_latency_us,1028.00,1017.00,1020.00,1022.00,1025.00,100000,1
update_performance,UUIDV4,p95_latency_us,1457.00,1427.00,1437.00,1446.00,1445.00,100000,1
update_performance,UUIDV4,p99_latency_us,3763.00,3306.00,3553.00,3715.00,3587.00,100000,1
update_performance,UUIDV4,fragmentation,13.16,13.67,13.07,12.98,12.94,100000,1
update_performance,UUIDV4,read_iops,0.05,0.05,0.05,0.05,0.05,100000,1
update_performance,UUIDV4,write_iops,2908.18,2964.25,2950.54,2944.97,2952.03,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,15.60,15.96,15.85,15.79,15.79,100000,1
update_performance,UUIDV7,update_throughput,861.74,869.10,871.00,880.16,879.02,100000,1
update_performance,UUIDV7,p50_latency_us,1027.00,1013.00,1021.00,1018.00,1018.00,100000,1
update_performance,UUIDV7,p95_latency_us,1447.00,1426.00,1436.00,1424.00,1428.00,100000,1
update_performance,UUIDV7,p99_latency_us,3539.00,3752.00,3203.00,2562.00,2667.00,100000,1
update_performance,UUIDV7,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
update_performance,UUIDV7,read_iops,0.05,0.05,0.05,0.05,0.05,100000,1
update_performance,UUIDV7,write_iops,2907.81,2904.73,2932.13,2956.01,2944.78,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,14.82,14.89,14.88,14.98,15.07,100000,1
update_performance,ULID,update_throughput,877.21,858.43,886.40,858.55,869.81,100000,1
update_performance,ULID,p50_latency_us,1012.00,1014.00,1010.00,1014.00,1011.00,100000,1
update_performance,ULID,p95_latency_us,1420.00,1446.00,1416.00,1439.00,1430.00,100000,1
update_performance,ULID,p99_latency_us,3369.00,3856.00,2790.00,4124.00,3650.00,100000,1
update_performance,ULID,fragmentation,12.90,12.89,13.03,13.12,12.83,100000,1
update_performance,ULID,read_iops,0.05,0.05,0.05,0.05,0.05,100000,1
update_performance,ULID,write_iops,3004.67,2934.58,3022.79,2938.83,2966.84,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,16.58,16.22,16.72,16.17,16.41,100000,1
update_performance,ULID_MONOTONIC,update_throughput,854.53,871.90,880.29,870.70,861.09,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1016.00,1014.00,1011.00,1014.00,1016.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1444.00,1423.00,1419.00,1427.00,1438.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,3999.00,3583.00,3241.00,3546.00,3829.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.05,0.05,0.05,0.05,0.05,100000,1
update_performance,ULID_MONOTONIC,write_iops,2858.44,2910.17,2942.54,2901.57,2890.28,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,14.59,14.79,15.08,14.84,14.74,100000,1
update_performance,UUIDV1,update_throughput,870.77,875.01,866.11,874.54,877.85,100000,1
update_performance,UUIDV1,p50_latency_us,1011.00,1009.00,1011.00,1009.00,1009.00,100000,1
update_performance,UUIDV1,p95_latency_us,1429.00,1419.00,1426.00,1417.00,1416.00,100000,1
update_performance,UUIDV1,p99_latency_us,3667.00,3500.00,4025.00,3814.00,3503.00,100000,1
update_performance,UUIDV1,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
update_performance,UUIDV1,read_iops,0.05,0.05,0.05,0.05,0.05,100000,1
update_performance,UUIDV1,write_iops,2901.04,2930.24,2898.56,2913.01,2928.39,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,14.91,14.98,14.86,14.85,15.02,100000,1
