Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,16239.52,16234.92,74.08,16156.94,16315.87,0.46,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,57.00,57.40,0.55,57.00,58.00,0.95,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,78.00,78.20,0.45,78.00,79.00,0.57,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,101.00,101.20,0.45,101.00,102.00,0.44,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.12,0.12,0.00,0.12,0.12,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,1143.32,1146.47,6.31,1141.23,1154.39,0.55,10000000,1
read_performance,SEQUENTIAL,write_iops,464.29,465.97,6.29,461.82,476.94,1.35,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,17.86,17.91,0.10,17.83,18.04,0.55,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,9.97,9.94,0.11,9.79,10.09,1.15,10000000,1
read_performance,UUIDV4,read_throughput,15331.87,15407.49,261.95,15100.48,15781.25,1.70,10000000,1
read_performance,UUIDV4,p50_latency_us,60.00,59.80,0.84,59.00,61.00,1.40,10000000,1
read_performance,UUIDV4,p95_latency_us,82.00,81.60,1.14,80.00,83.00,1.40,10000000,1
read_performance,UUIDV4,p99_latency_us,110.00,109.80,2.39,107.00,113.00,2.17,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,10000000,1
read_performance,UUIDV4,fragmentation,12.68,12.68,0.00,12.68,12.69,0.03,10000000,1
read_performance,UUIDV4,read_iops,904.26,909.16,10.82,899.27,921.44,1.19,10000000,1
read_performance,UUIDV4,write_iops,1624.44,1656.15,57.70,1597.25,1720.38,3.48,10000000,1
read_performance,UUIDV4,read_throughput_mb,14.13,14.21,0.17,14.05,14.40,1.19,10000000,1
read_performance,UUIDV4,write_throughput_mb,27.65,28.19,1.83,26.74,31.35,6.48,10000000,1
read_performance,UUIDV7,read_throughput,15600.72,15646.66,133.35,15490.01,15800.08,0.85,10000000,1
read_performance,UUIDV7,p50_latency_us,60.00,59.60,0.55,59.00,60.00,0.92,10000000,1
read_performance,UUIDV7,p95_latency_us,81.00,80.80,0.84,80.00,82.00,1.04,10000000,1
read_performance,UUIDV7,p99_latency_us,106.00,105.00,2.00,102.00,107.00,1.90,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.18,0.18,0.00,0.18,0.18,0.00,10000000,1
read_performance,UUIDV7,read_iops,1102.37,1104.59,8.55,1093.83,1113.47,0.77,10000000,1
read_performance,UUIDV7,write_iops,460.70,459.09,4.00,452.29,462.18,0.87,10000000,1
read_performance,UUIDV7,read_throughput_mb,17.22,17.26,0.13,17.09,17.40,0.77,10000000,1
read_performance,UUIDV7,write_throughput_mb,9.76,9.78,0.05,9.74,9.84,0.48,10000000,1
read_performance,ULID,read_throughput,15699.29,15237.35,702.61,14366.28,15811.05,4.61,10000000,1
read_performance,ULID,p50_latency_us,60.00,61.00,2.35,59.00,64.00,3.84,10000000,1
read_performance,ULID,p95_latency_us,81.00,85.00,6.04,80.00,93.00,7.11,10000000,1
read_performance,ULID,p99_latency_us,105.00,111.00,9.77,103.00,124.00,8.80,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,fragmentation,12.73,12.73,0.00,12.73,12.73,0.02,10000000,1
read_performance,ULID,read_iops,1383.56,1347.79,59.26,1273.13,1402.38,4.40,10000000,1
read_performance,ULID,write_iops,428.17,430.77,56.10,357.34,514.71,13.02,10000000,1
read_performance,ULID,read_throughput_mb,21.62,21.06,0.93,19.89,21.91,4.40,10000000,1
read_performance,ULID,write_throughput_mb,9.16,9.22,1.23,7.62,11.06,13.30,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,15368.64,15388.80,153.72,15184.09,15615.64,1.00,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,60.00,60.20,0.45,60.00,61.00,0.74,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,83.00,83.00,1.58,81.00,85.00,1.90,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,109.00,109.80,3.70,105.00,114.00,3.37,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.18,0.18,0.00,0.18,0.18,0.00,10000000,1
