Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,16315.87,16163.07,16239.52,16156.94,16299.22,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,57.00,58.00,57.00,58.00,57.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,78.00,78.00,79.00,78.00,78.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,101.00,101.00,101.00,102.00,101.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.12,0.12,0.12,0.12,0.12,10000000,1
read_performance,SEQUENTIAL,read_iops,1154.39,1143.32,1141.23,1141.26,1152.13,10000000,1
read_performance,SEQUENTIAL,write_iops,476.94,461.82,461.82,465.01,464.29,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,18.04,17.86,17.83,17.83,18.00,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,10.09,9.79,9.97,9.98,9.87,10000000,1
read_performance,UUIDV4,read_throughput,15331.87,15100.48,15543.77,15781.25,15280.09,10000000,1
read_performance,UUIDV4,p50_latency_us,60.00,61.00,59.00,59.00,60.00,10000000,1
read_performance,UUIDV4,p95_latency_us,82.00,83.00,81.00,80.00,82.00,10000000,1
read_performance,UUIDV4,p99_latency_us,110.00,113.00,108.00,107.00,111.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.93,0.93,0.93,0.93,0.93,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.93,0.93,0.93,0.93,0.93,10000000,1
read_performance,UUIDV4,fragmentation,12.68,12.68,12.69,12.68,12.68,10000000,1
read_performance,UUIDV4,read_iops,904.26,900.59,899.27,920.22,921.44,10000000,1
read_performance,UUIDV4,write_iops,1624.44,1597.25,1720.38,1622.59,1716.08,10000000,1
read_performance,UUIDV4,read_throughput_mb,14.13,14.07,14.05,14.38,14.40,10000000,1
read_performance,UUIDV4,write_throughput_mb,27.97,27.25,27.65,26.74,31.35,10000000,1
read_performance,UUIDV7,read_throughput,15571.89,15800.08,15490.01,15600.72,15770.58,10000000,1
read_performance,UUIDV7,p50_latency_us,60.00,59.00,60.00,60.00,59.00,10000000,1
read_performance,UUIDV7,p95_latency_us,82.00,80.00,81.00,81.00,80.00,10000000,1
read_performance,UUIDV7,p99_latency_us,106.00,104.00,107.00,106.00,102.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,fragmentation,0.18,0.18,0.18,0.18,0.18,10000000,1
read_performance,UUIDV7,read_iops,1100.15,1113.47,1093.83,1102.37,1113.15,10000000,1
read_performance,UUIDV7,write_iops,461.45,452.29,460.70,462.18,458.83,10000000,1
read_performance,UUIDV7,read_throughput_mb,17.19,17.40,17.09,17.22,17.39,10000000,1
read_performance,UUIDV7,write_throughput_mb,9.82,9.74,9.76,9.84,9.74,10000000,1
read_performance,ULID,read_throughput,15699.29,15729.43,14580.69,15811.05,14366.28,10000000,1
read_performance,ULID,p50_latency_us,60.00,59.00,63.00,59.00,64.00,10000000,1
read_performance,ULID,p95_latency_us,80.00,81.00,90.00,81.00,93.00,10000000,1
read_performance,ULID,p99_latency_us,105.00,104.00,119.00,103.00,124.00,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,fragmentation,12.73,12.73,12.73,12.73,12.73,10000000,1
read_performance,ULID,read_iops,1383.56,1385.17,1294.72,1402.38,1273.13,10000000,1
read_performance,ULID,write_iops,514.71,357.34,428.17,434.43,419.23,10000000,1
read_performance,ULID,read_throughput_mb,21.62,21.64,20.23,21.91,19.89,10000000,1
read_performance,ULID,write_throughput_mb,11.06,7.62,9.16,9.25,9.01,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,15368.38,15184.09,15407.24,15615.64,15368.64,10000000,1
