Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,37757.84,37012.68,2052.65,34554.98,39142.06,5.55,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,2404.00,2425.80,33.72,2398.00,2467.00,1.39,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,3707.00,4548.40,1330.05,3488.00,6216.00,29.24,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,7685.00,7291.80,2068.58,4460.00,9636.00,28.37,1000000,1
insert_performance,SEQUENTIAL,page_splits,71510.00,71510.00,0.00,71510.00,71510.00,0.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.16,0.16,0.00,0.16,0.16,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,1118.00,1118.00,0.00,1118.00,1118.00,0.00,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,1118.00,1118.00,0.00,1118.00,1118.00,0.00,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.11,0.11,0.01,0.10,0.12,5.23,1000000,1
insert_performance,SEQUENTIAL,write_iops,3916.54,3834.26,129.69,3684.37,3937.17,3.38,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,5.23,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,163.94,159.75,6.89,151.44,165.18,4.32,1000000,1
insert_performance,UUIDV4,throughput,26444.35,26616.65,357.69,26290.56,27021.82,1.34,1000000,1
insert_performance,UUIDV4,p50_latency_us,3107.00,3101.20,21.25,3078.00,3125.00,0.69,1000000,1
insert_performance,UUIDV4,p95_latency_us,7918.00,7929.20,135.90,7776.00,8116.00,1.71,1000000,1
insert_performance,UUIDV4,p99_latency_us,11899.00,11896.80,379.49,11493.00,12404.00,3.19,1000000,1
insert_performance,UUIDV4,page_splits,101066.00,101053.00,41.94,100993.00,101094.00,0.04,1000000,1
insert_performance,UUIDV4,fragmentation,12.78,12.78,0.02,12.75,12.79,0.12,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,UUIDV4,table_size_mb,1803.70,1803.86,0.81,1802.69,1804.69,0.05,1000000,1
insert_performance,UUIDV4,index_size_mb,1803.70,1803.86,0.81,1802.69,1804.69,0.05,1000000,1
insert_performance,UUIDV4,read_iops,0.08,0.08,0.00,0.08,0.08,1.34,1000000,1
insert_performance,UUIDV4,write_iops,4524.65,4496.59,67.65,4411.14,4569.91,1.50,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1.34,1000000,1
insert_performance,UUIDV4,write_throughput_mb,180.88,180.88,2.39,178.17,183.55,1.32,1000000,1
