Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,39142.06,38483.06,37757.84,34554.98,35125.45,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,2398.00,2404.00,2402.00,2467.00,2458.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,3488.00,3562.00,3707.00,6216.00,5769.00,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,4460.00,6027.00,7685.00,9636.00,8651.00,1000000,1
insert_performance,SEQUENTIAL,page_splits,71510.00,71510.00,71510.00,71510.00,71510.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.16,0.16,0.16,0.16,0.16,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,1118.00,1118.00,1118.00,1118.00,1118.00,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,1118.00,1118.00,1118.00,1118.00,1118.00,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.12,0.12,0.11,0.10,0.11,1000000,1
insert_performance,SEQUENTIAL,write_iops,3916.54,3932.42,3937.17,3684.37,3700.80,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,165.18,165.13,163.94,151.44,153.04,1000000,1
insert_performance,UUIDV4,throughput,26290.56,27021.82,26444.35,26985.17,26341.38,1000000,1
insert_performance,UUIDV4,p50_latency_us,3116.00,3107.00,3080.00,3078.00,3125.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,8116.00,7776.00,8005.00,7918.00,7831.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,12118.00,11570.00,12404.00,11493.00,11899.00,1000000,1
insert_performance,UUIDV4,page_splits,101066.00,101084.00,101028.00,101094.00,100993.00,1000000,1
insert_performance,UUIDV4,fragmentation,12.75,12.79,12.79,12.78,12.77,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV4,table_size_mb,1803.70,1804.58,1803.62,1804.69,1802.69,1000000,1
insert_performance,UUIDV4,index_size_mb,1803.70,1804.58,1803.62,1804.69,1802.69,1000000,1
insert_performance,UUIDV4,read_iops,0.08,0.08,0.08,0.08,0.08,1000000,1
insert_performance,UUIDV4,write_iops,4411.14,4569.91,4524.65,4537.19,4440.08,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_throughput_mb,178.17,183.55,180.88,182.95,178.85,1000000,1
insert_performance,UUIDV7,throughput,33705.29,32662.97,34055.99,31585.51,36684.50,1000000,1
insert_performance,UUIDV7,p50_latency_us,2588.00,2610.00,2579.00,2632.00,2539.00,1000000,1
insert_performance,UUIDV7,p95_latency_us,5931.00,6424.00,5011.00,7072.00,3745.00,1000000,1
insert_performance,UUIDV7,p99_latency_us,8814.00,9390.00,9053.00,10373.00,6147.00,1000000,1
insert_performance,UUIDV7,page_splits,71546.00,71546.00,71546.00,71546.00,71546.00,1000000,1
insert_performance,UUIDV7,fragmentation,0.25,0.25,0.25,0.25,0.25,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV7,table_size_mb,1119.00,1119.00,1119.00,1119.00,1119.00,1000000,1
insert_performance,UUIDV7,index_size_mb,1119.00,1119.00,1119.00,1119.00,1119.00,1000000,1
insert_performance,UUIDV7,read_iops,0.10,0.10,0.10,0.09,0.11,1000000,1
insert_performance,UUIDV7,write_iops,3754.83,3591.04,3704.38,3454.99,3868.99,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_throughput_mb,150.20,144.48,149.91,139.40,158.63,1000000,1
insert_performance,ULID,throughput,28548.05,28125.27,28395.17,28024.87,27773.17,1000000,1
insert_performance,ULID,p50_latency_us,2836.00,2896.00,2885.00,2899.00,2925.00,1000000,1
insert_performance,ULID,p95_latency_us,7731.00,7686.00,7580.00,7662.00,7722.00,1000000,1
insert_performance,ULID,p99_latency_us,11426.00,11608.00,11336.00,11773.00,11424.00,1000000,1
insert_performance,ULID,page_splits,102777.00,102662.00,102832.00,102593.00,102958.00,1000000,1
insert_performance,ULID,fragmentation,12.77,12.79,12.79,12.81,12.78,1000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,ULID,table_size_mb,1835.00,1834.00,1836.98,1832.98,1839.00,1000000,1
insert_performance,ULID,index_size_mb,1835.00,1834.00,1836.98,1832.98,1839.00,1000000,1
insert_performance,ULID,read_iops,0.09,0.08,0.08,0.08,0.08,1000000,1
insert_performance,ULID,write_iops,4660.13,4533.10,4604.92,4546.23,4464.25,1000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_throughput_mb,192.85,188.54,191.15,188.61,186.19,1000000,1
insert_performance,ULID_MONOTONIC,throughput,32834.38,32179.12,34321.32,34664.76,34308.26,1000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,2575.00,2580.00,2566.00,2579.00,2580.00,1000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,6829.00,6988.00,4543.00,4357.00,4742.00,1000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,10273.00,10424.00,8600.00,8225.00,8389.00,1000000,1
