Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,130546.70,119244.12,21557.60,88369.20,138289.74,18.08,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,5759.00,6129.20,747.13,5592.00,7367.00,12.19,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,9653.00,12050.60,4035.20,8455.00,17506.00,33.49,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,13063.00,18433.20,9533.99,10598.00,33658.00,51.72,1000000,8
insert_performance,SEQUENTIAL,page_splits,82930.00,82974.20,109.94,82846.00,83116.00,0.13,1000000,8
insert_performance,SEQUENTIAL,fragmentation,12.65,12.67,0.05,12.62,12.73,0.37,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1481.98,1481.79,2.39,1478.98,1485.00,0.16,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,1481.98,1481.79,2.39,1478.98,1485.00,0.16,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.37,0.35,0.06,0.26,0.41,17.62,1000000,8
insert_performance,SEQUENTIAL,write_iops,8163.80,7935.85,837.13,6685.11,8712.14,10.55,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.01,0.01,0.00,0.00,0.01,17.62,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,528.76,503.72,74.44,396.16,571.58,14.78,1000000,8
insert_performance,UUIDV4,throughput,73106.82,84466.16,18472.80,68392.90,106845.98,21.87,1000000,8
insert_performance,UUIDV4,p50_latency_us,9103.00,8488.60,1652.16,6621.00,10387.00,19.46,1000000,8
insert_performance,UUIDV4,p95_latency_us,22189.00,19222.80,4566.34,13574.00,22867.00,23.75,1000000,8
insert_performance,UUIDV4,p99_latency_us,33297.00,28204.20,8272.86,17970.00,35410.00,29.33,1000000,8
insert_performance,UUIDV4,page_splits,101109.00,101095.80,119.00,100910.00,101230.00,0.12,1000000,8
insert_performance,UUIDV4,fragmentation,12.77,12.77,0.02,12.75,12.79,0.14,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV4,table_size_mb,1804.64,1804.66,1.88,1801.67,1806.69,0.10,1000000,8
insert_performance,UUIDV4,index_size_mb,1804.64,1804.66,1.88,1801.67,1806.69,0.10,1000000,8
insert_performance,UUIDV4,read_iops,0.22,0.25,0.05,0.20,0.32,21.69,1000000,8
insert_performance,UUIDV4,write_iops,8069.75,8643.46,962.87,7724.81,9732.51,11.14,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,21.69,1000000,8
insert_performance,UUIDV4,write_throughput_mb,441.58,494.38,85.38,418.51,596.44,17.27,1000000,8
insert_performance,UUIDV7,throughput,95729.56,94719.08,3302.16,89937.03,98704.89,3.49,1000000,8
insert_performance,UUIDV7,p50_latency_us,7042.00,7071.80,222.44,6837.00,7440.00,3.15,1000000,8
insert_performance,UUIDV7,p95_latency_us,17305.00,17022.20,1275.61,15018.00,18280.00,7.49,1000000,8
insert_performance,UUIDV7,p99_latency_us,23041.00,23206.80,673.10,22396.00,23966.00,2.90,1000000,8
insert_performance,UUIDV7,page_splits,92223.00,92095.80,374.42,91474.00,92375.00,0.41,1000000,8
insert_performance,UUIDV7,fragmentation,12.73,12.73,0.01,12.72,12.74,0.07,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV7,table_size_mb,1646.00,1644.00,6.63,1633.00,1649.00,0.40,1000000,8
insert_performance,UUIDV7,index_size_mb,1646.00,1644.00,6.63,1633.00,1649.00,0.40,1000000,8
insert_performance,UUIDV7,read_iops,0.28,0.28,0.01,0.27,0.29,3.46,1000000,8
insert_performance,UUIDV7,write_iops,7851.89,7790.67,145.92,7617.62,7965.66,1.87,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,3.46,1000000,8
insert_performance,UUIDV7,write_throughput_mb,462.62,464.08,12.13,447.23,480.92,2.61,1000000,8
insert_performance,ULID,throughput,76480.40,76795.13,5372.81,70869.18,84317.63,7.00,1000000,8
insert_performance,ULID,p50_latency_us,8958.00,8737.20,1007.95,7664.00,9815.00,11.54,1000000,8
insert_performance,ULID,p95_latency_us,21862.00,21238.20,1415.97,18997.00,22553.00,6.67,1000000,8
insert_performance,ULID,p99_latency_us,32598.00,30476.60,3841.31,24382.00,33759.00,12.60,1000000,8
insert_performance,ULID,page_splits,101426.00,101428.00,128.20,101275.00,101619.00,0.13,1000000,8
insert_performance,ULID,fragmentation,12.81,12.81,0.03,12.78,12.85,0.22,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,ULID,table_size_mb,1811.00,1811.60,2.41,1809.00,1815.00,0.13,1000000,8
insert_performance,ULID,index_size_mb,1811.00,1811.60,2.41,1809.00,1815.00,0.13,1000000,8
insert_performance,ULID,read_iops,0.23,0.23,0.02,0.21,0.25,6.95,1000000,8
insert_performance,ULID,write_iops,8433.49,8350.59,482.22,7758.24,8813.70,5.77,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,6.95,1000000,8
insert_performance,ULID,write_throughput_mb,463.40,462.50,28.89,428.57,498.32,6.25,1000000,8
insert_performance,ULID_MONOTONIC,throughput,95227.45,98232.30,7209.17,90538.80,109153.72,7.34,1000000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,6900.00,6797.60,303.14,6332.00,7089.00,4.46,1000000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,16602.00,16455.20,1590.64,14293.00,18497.00,9.67,1000000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,21905.00,23610.00,3341.26,21631.00,29492.00,14.15,1000000,8
insert_performance,ULID_MONOTONIC,page_splits,82378.00,82407.00,76.37,82324.00,82514.00,0.09,1000000,8
insert_performance,ULID_MONOTONIC,fragmentation,12.76,12.76,0.01,12.75,12.78,0.10,1000000,8
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,table_size_mb,1471.00,1471.60,1.52,1470.00,1474.00,0.10,1000000,8
insert_performance,ULID_MONOTONIC,index_size_mb,1471.00,1471.60,1.52,1470.00,1474.00,0.10,1000000,8
insert_performance,ULID_MONOTONIC,read_iops,0.28,0.29,0.02,0.27,0.32,7.28,1000000,8
insert_performance,ULID_MONOTONIC,write_iops,7007.07,7152.48,408.71,6731.53,7799.16,5.71,1000000,8
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.01,7.28,1000000,8
insert_performance,ULID_MONOTONIC,write_throughput_mb,422.21,432.93,27.93,407.69,476.60,6.45,1000000,8
insert_performance,UUIDV1,throughput,100375.44,97986.98,6373.62,91045.48,105908.43,6.50,1000000,8
insert_performance,UUIDV1,p50_latency_us,6899.00,6884.60,260.73,6582.00,7284.00,3.79,1000000,8
insert_performance,UUIDV1,p95_latency_us,15637.00,16259.80,1716.00,14501.00,18266.00,10.55,1000000,8
insert_performance,UUIDV1,p99_latency_us,20917.00,22717.80,4313.85,18774.00,29783.00,18.99,1000000,8
insert_performance,UUIDV1,page_splits,88283.00,88313.20,145.06,88176.00,88558.00,0.16,1000000,8
insert_performance,UUIDV1,fragmentation,12.76,12.75,0.02,12.73,12.77,0.16,1000000,8
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV1,table_size_mb,1576.00,1577.00,2.35,1575.00,1581.00,0.15,1000000,8
insert_performance,UUIDV1,index_size_mb,1576.00,1577.00,2.35,1575.00,1581.00,0.15,1000000,8
insert_performance,UUIDV1,read_iops,0.30,0.29,0.02,0.27,0.31,6.46,1000000,8
insert_performance,UUIDV1,write_iops,7542.38,7493.51,238.92,7109.74,7767.19,3.19,1000000,8
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,6.46,1000000,8
insert_performance,UUIDV1,write_throughput_mb,461.19,453.28,21.90,425.46,476.68,4.83,1000000,8
