Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,130546.70,138289.74,133912.97,88369.20,105101.98,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,5759.00,5632.00,5592.00,7367.00,6296.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,9653.00,8455.00,9443.00,17506.00,15196.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,13063.00,10598.00,12978.00,33658.00,21869.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,83058.00,82921.00,82846.00,83116.00,82930.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,12.65,12.62,12.64,12.71,12.73,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1482.98,1480.00,1478.98,1485.00,1481.98,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,1482.98,1480.00,1478.98,1485.00,1481.98,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.37,0.41,0.40,0.26,0.31,1000000,8
insert_performance,SEQUENTIAL,write_iops,8163.80,8585.34,8712.14,6685.11,7532.86,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.01,0.01,0.01,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,528.76,571.58,562.30,396.16,459.79,1000000,8
insert_performance,UUIDV4,throughput,73106.82,106845.98,102223.64,71761.46,68392.90,1000000,8
insert_performance,UUIDV4,p50_latency_us,9103.00,6621.00,6893.00,9439.00,10387.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,22189.00,13574.00,14937.00,22867.00,22547.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,35410.00,17970.00,20500.00,33297.00,33844.00,1000000,8
insert_performance,UUIDV4,page_splits,101075.00,101230.00,101109.00,100910.00,101155.00,1000000,8
insert_performance,UUIDV4,fragmentation,12.79,12.75,12.75,12.78,12.77,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV4,table_size_mb,1804.61,1806.69,1804.64,1801.67,1805.70,1000000,8
insert_performance,UUIDV4,index_size_mb,1804.61,1806.69,1804.64,1801.67,1805.70,1000000,8
insert_performance,UUIDV4,read_iops,0.22,0.32,0.30,0.21,0.20,1000000,8
insert_performance,UUIDV4,write_iops,8048.86,9732.51,9641.36,8069.75,7724.81,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,441.58,596.44,577.86,437.52,418.51,1000000,8
insert_performance,UUIDV7,throughput,98704.89,93230.25,95993.66,95729.56,89937.03,1000000,8
insert_performance,UUIDV7,p50_latency_us,6998.00,7042.00,6837.00,7042.00,7440.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,15018.00,17855.00,17305.00,16653.00,18280.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,22396.00,23041.00,23966.00,23829.00,22802.00,1000000,8
insert_performance,UUIDV7,page_splits,92375.00,92372.00,91474.00,92035.00,92223.00,1000000,8
insert_performance,UUIDV7,fragmentation,12.73,12.74,12.72,12.73,12.72,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV7,table_size_mb,1649.00,1649.00,1633.00,1643.00,1646.00,1000000,8
insert_performance,UUIDV7,index_size_mb,1649.00,1649.00,1633.00,1643.00,1646.00,1000000,8
insert_performance,UUIDV7,read_iops,0.29,0.28,0.29,0.28,0.27,1000000,8
insert_performance,UUIDV7,write_iops,7965.66,7851.89,7856.20,7617.62,7662.00,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,480.92,461.82,467.78,462.62,447.23,1000000,8
insert_performance,ULID,throughput,76480.40,79533.79,84317.63,72774.65,70869.18,1000000,8
insert_performance,ULID,p50_latency_us,8958.00,7709.00,7664.00,9540.00,9815.00,1000000,8
insert_performance,ULID,p95_latency_us,20744.00,22035.00,18997.00,21862.00,22553.00,1000000,8
insert_performance,ULID,p99_latency_us,29038.00,32606.00,24382.00,33759.00,32598.00,1000000,8
insert_performance,ULID,page_splits,101426.00,101461.00,101359.00,101619.00,101275.00,1000000,8
insert_performance,ULID,fragmentation,12.78,12.85,12.78,12.81,12.81,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID,table_size_mb,1811.00,1813.00,1810.00,1815.00,1809.00,1000000,8
insert_performance,ULID,index_size_mb,1811.00,1813.00,1810.00,1815.00,1809.00,1000000,8
insert_performance,ULID,read_iops,0.23,0.24,0.25,0.22,0.21,1000000,8
insert_performance,ULID,write_iops,8433.49,8813.70,8796.16,7951.35,7758.24,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_throughput_mb,463.40,482.31,498.32,439.91,428.57,1000000,8
insert_performance,ULID_MONOTONIC,throughput,94929.62,90538.80,101311.91,109153.72,95227.45,1000000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,6900.00,6996.00,6671.00,6332.00,7089.00,1000000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,17234.00,18497.00,15650.00,14293.00,16602.00,1000000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,23151.00,29492.00,21631.00,21871.00,21905.00,1000000,8
insert_performance,ULID_MONOTONIC,page_splits,82324.00,82455.00,82378.00,82364.00,82514.00,1000000,8
insert_performance,ULID_MONOTONIC,fragmentation,12.76,12.75,12.75,12.77,12.78,1000000,8
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID_MONOTONIC,table_size_mb,1470.00,1472.00,1471.00,1471.00,1474.00,1000000,8
insert_performance,ULID_MONOTONIC,index_size_mb,1470.00,1472.00,1471.00,1471.00,1474.00,1000000,8
insert_performance,ULID_MONOTONIC,read_iops,0.28,0.27,0.30,0.32,0.28,1000000,8
insert_performance,ULID_MONOTONIC,write_iops,6731.53,6956.71,7267.94,7799.16,7007.07,1000000,8
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.01,0.00,1000000,8
insert_performance,ULID_MONOTONIC,write_throughput_mb,414.39,407.69,443.78,476.60,422.21,1000000,8
insert_performance,UUIDV1,throughput,91045.48,105908.43,100375.44,100785.00,91820.57,1000000,8
insert_performance,UUIDV1,p50_latency_us,7284.00,6582.00,6899.00,6744.00,6914.00,1000000,8
insert_performance,UUIDV1,p95_latency_us,18266.00,14501.00,14998.00,15637.00,17897.00,1000000,8
insert_performance,UUIDV1,p99_latency_us,23615.00,18774.00,20917.00,20500.00,29783.00,1000000,8
insert_performance,UUIDV1,page_splits,88283.00,88176.00,88302.00,88558.00,88247.00,1000000,8
insert_performance,UUIDV1,fragmentation,12.73,12.77,12.76,12.73,12.76,1000000,8
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV1,table_size_mb,1576.00,1575.00,1577.00,1581.00,1576.00,1000000,8
insert_performance,UUIDV1,index_size_mb,1576.00,1575.00,1577.00,1581.00,1576.00,1000000,8
insert_performance,UUIDV1,read_iops,0.27,0.31,0.30,0.30,0.27,1000000,8
insert_performance,UUIDV1,write_iops,7109.74,7554.82,7542.38,7767.19,7493.42,1000000,8
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV1,write_throughput_mb,425.46,476.68,461.19,467.78,435.28,1000000,8
