Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,38828.63,38809.06,404.04,38328.41,39407.24,1.04,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,2494.00,2489.60,25.78,2462.00,2528.00,1.04,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,3033.00,3023.00,47.73,2947.00,3067.00,1.58,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,3526.00,3560.00,208.52,3338.00,3892.00,5.86,100000,1
insert_performance,SEQUENTIAL,page_splits,273.00,273.00,0.00,273.00,273.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,89.78,89.78,0.00,89.78,89.78,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,5.78,5.78,0.00,5.78,5.78,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,2.16,2.16,0.00,2.16,2.16,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,1.04,2.31,0.00,5.18,223.61,100000,1
insert_performance,SEQUENTIAL,write_iops,795.58,794.67,7.00,785.35,803.86,0.88,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.02,0.04,0.00,0.09,223.61,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,14.38,14.39,0.14,14.22,14.60,0.96,100000,1
insert_performance,UUIDV4,throughput,34082.52,34046.27,444.79,33524.28,34668.07,1.31,100000,1
insert_performance,UUIDV4,p50_latency_us,2836.00,2831.20,23.51,2798.00,2859.00,0.83,100000,1
insert_performance,UUIDV4,p95_latency_us,3441.00,3413.20,56.67,3324.00,3456.00,1.66,100000,1
insert_performance,UUIDV4,p99_latency_us,4414.00,4548.20,557.93,4019.00,5395.00,12.27,100000,1
insert_performance,UUIDV4,page_splits,527.00,528.40,6.69,520.00,537.00,1.27,100000,1
insert_performance,UUIDV4,fragmentation,49.81,49.68,0.58,48.69,50.19,1.17,100000,1
insert_performance,UUIDV4,avg_leaf_density,65.64,65.48,0.83,64.42,66.52,1.26,100000,1
insert_performance,UUIDV4,table_size_mb,6.55,6.55,0.00,6.55,6.55,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,4.15,4.16,0.05,4.09,4.23,1.26,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
