Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,3740.89,3742.19,3744.26,3750.39,3741.51,100000,1
update_performance,SEQUENTIAL,p50_latency_us,255.00,256.00,256.00,255.00,256.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,325.00,322.00,323.00,322.00,317.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,2342.00,2320.00,2340.00,2333.00,2341.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,7439.34,7442.11,7446.47,7458.50,7440.92,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,30.30,30.31,30.32,30.37,30.29,100000,1
update_performance,UUIDV4,update_throughput,3617.71,3649.76,3640.10,3680.30,3664.19,100000,1
update_performance,UUIDV4,p50_latency_us,257.00,257.00,257.00,257.00,257.00,100000,1
update_performance,UUIDV4,p95_latency_us,331.00,332.00,328.00,326.00,328.00,100000,1
update_performance,UUIDV4,p99_latency_us,2646.00,2575.00,2632.00,2612.00,2675.00,100000,1
update_performance,UUIDV4,fragmentation,49.82,49.15,49.56,50.00,49.53,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,7196.88,7258.41,7238.67,7318.36,7286.10,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,29.31,29.57,29.48,29.81,29.68,100000,1
update_performance,UUIDV7,update_throughput,3671.93,3680.84,3695.60,3653.46,3673.01,100000,1
update_performance,UUIDV7,p50_latency_us,256.00,257.00,257.00,257.00,257.00,100000,1
update_performance,UUIDV7,p95_latency_us,325.00,324.00,321.00,323.00,325.00,100000,1
update_performance,UUIDV7,p99_latency_us,2614.00,2540.00,2601.00,2600.00,2613.00,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,7301.29,7319.66,7348.03,7266.22,7304.40,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,29.75,29.82,29.93,29.60,29.75,100000,1
update_performance,ULID,update_throughput,3658.98,3641.61,3632.58,3590.48,3554.51,100000,1
update_performance,ULID,p50_latency_us,259.00,259.00,259.00,260.00,266.00,100000,1
update_performance,ULID,p95_latency_us,326.00,329.00,328.00,333.00,343.00,100000,1
update_performance,ULID,p99_latency_us,2404.00,2440.00,2393.00,2458.00,2462.00,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,7278.78,7243.50,7227.23,7142.17,7069.55,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,29.79,29.50,29.58,29.09,28.80,100000,1
update_performance,ULID_MONOTONIC,update_throughput,3587.15,3581.43,3584.43,3591.20,3577.91,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,265.00,266.00,266.00,265.00,266.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,338.00,337.00,337.00,336.00,338.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,2514.00,2446.00,2499.00,2461.00,2467.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,7132.29,7122.71,7127.15,7139.36,7116.35,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,29.06,29.15,29.03,29.08,29.13,100000,1
update_performance,UUIDV1,update_throughput,3545.69,3626.26,3623.50,3621.97,3623.07,100000,1
update_performance,UUIDV1,p50_latency_us,263.00,263.00,262.00,262.00,262.00,100000,1
update_performance,UUIDV1,p95_latency_us,334.00,332.00,335.00,330.00,333.00,100000,1
update_performance,UUIDV1,p99_latency_us,3427.00,3416.00,3387.00,3388.00,3366.00,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,7049.89,7211.42,7204.98,7202.24,7203.73,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,28.72,29.49,29.46,29.34,29.34,100000,1
