Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,6415.28,6253.07,6277.16,6237.20,6390.35,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,164.00,167.00,166.00,166.00,165.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,2897.00,2861.00,2883.00,2923.00,2821.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,3627.00,3640.00,3626.00,3772.00,3473.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.54,0.54,0.54,0.54,0.53,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.70,0.70,0.70,0.70,0.70,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,6472.04,6303.04,6346.91,6383.08,6694.62,10000000,1
read_performance,SEQUENTIAL,write_iops,12.07,12.44,12.29,13.68,45.43,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,56.46,55.05,55.36,55.32,60.71,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,1.32,1.33,1.31,1.33,4.89,10000000,1
read_performance,UUIDV4,read_throughput,6639.68,6595.68,6590.82,6590.75,6627.50,10000000,1
read_performance,UUIDV4,p50_latency_us,165.00,164.00,164.00,164.00,163.00,10000000,1
read_performance,UUIDV4,p95_latency_us,3845.00,3746.00,3755.00,3850.00,3869.00,10000000,1
read_performance,UUIDV4,p99_latency_us,5060.00,4852.00,4953.00,5024.00,5109.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.53,0.53,0.53,0.53,0.53,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.67,0.67,0.68,0.67,0.67,10000000,1
read_performance,UUIDV4,fragmentation,49.79,49.76,49.86,49.71,49.76,10000000,1
read_performance,UUIDV4,read_iops,6301.43,6266.57,6308.73,6268.70,6322.27,10000000,1
read_performance,UUIDV4,write_iops,337.82,351.02,334.21,425.88,371.04,10000000,1
read_performance,UUIDV4,read_throughput_mb,74.45,73.93,74.35,73.96,74.43,10000000,1
read_performance,UUIDV4,write_throughput_mb,24.85,26.11,24.19,35.04,28.71,10000000,1
read_performance,UUIDV7,read_throughput,6231.33,6180.12,6075.16,6297.48,6242.24,10000000,1
read_performance,UUIDV7,p50_latency_us,166.00,167.00,167.00,166.00,166.00,10000000,1
read_performance,UUIDV7,p95_latency_us,3035.00,3102.00,3109.00,3111.00,3061.00,10000000,1
read_performance,UUIDV7,p99_latency_us,3776.00,3885.00,3946.00,3852.00,3880.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,0.53,0.53,0.53,0.53,0.53,10000000,1
read_performance,UUIDV7,index_hit_ratio,0.69,0.69,0.69,0.69,0.69,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,6277.93,6129.19,6437.67,6274.50,6243.22,10000000,1
read_performance,UUIDV7,write_iops,139.18,119.14,12.12,127.59,109.62,10000000,1
read_performance,UUIDV7,read_throughput_mb,56.64,54.96,55.73,56.28,56.16,10000000,1
read_performance,UUIDV7,write_throughput_mb,7.49,7.42,1.26,7.58,6.37,10000000,1
read_performance,ULID,read_throughput,5952.16,5963.90,5940.48,6047.09,5960.91,10000000,1
read_performance,ULID,p50_latency_us,171.00,170.00,170.00,169.00,170.00,10000000,1
read_performance,ULID,p95_latency_us,2930.00,2906.00,2977.00,2874.00,2953.00,10000000,1
read_performance,ULID,p99_latency_us,3704.00,3731.00,3665.00,3572.00,3733.00,10000000,1
read_performance,ULID,cache_hit_ratio,0.58,0.58,0.58,0.56,0.58,10000000,1
read_performance,ULID,index_hit_ratio,0.75,0.75,0.75,0.75,0.75,10000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,read_iops,6452.06,6487.02,6457.74,6746.55,6462.58,10000000,1
read_performance,ULID,write_iops,15.09,16.35,17.94,25.57,18.37,10000000,1
read_performance,ULID,read_throughput_mb,54.74,54.94,54.76,59.29,56.36,10000000,1
read_performance,ULID,write_throughput_mb,1.42,1.42,1.42,2.22,1.31,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,5896.66,6048.01,5907.26,6010.24,5952.23,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,171.00,169.00,171.00,169.00,171.00,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,2904.00,2945.00,2902.00,2966.00,2905.00,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,3666.00,3721.00,3665.00,3715.00,3684.00,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,0.58,0.58,0.58,0.58,0.58,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,0.75,0.75,0.75,0.75,0.75,10000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,read_iops,6441.54,6477.35,6431.91,6499.59,6444.13,10000000,1
read_performance,ULID_MONOTONIC,write_iops,11.69,18.51,15.07,18.73,15.91,10000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,56.02,55.03,55.83,55.25,54.70,10000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,1.19,1.46,1.48,1.45,1.41,10000000,1
read_performance,UUIDV1,read_throughput,6242.08,6329.60,6261.41,6457.67,6344.36,10000000,1
read_performance,UUIDV1,p50_latency_us,165.00,166.00,165.00,162.00,165.00,10000000,1
read_performance,UUIDV1,p95_latency_us,4015.00,3956.00,3931.00,3977.00,3917.00,10000000,1
read_performance,UUIDV1,p99_latency_us,4910.00,4861.00,4802.00,4808.00,4714.00,10000000,1
read_performance,UUIDV1,cache_hit_ratio,0.58,0.53,0.58,0.58,0.53,10000000,1
read_performance,UUIDV1,index_hit_ratio,0.74,0.68,0.75,0.75,0.68,10000000,1
read_performance,UUIDV1,fragmentation,1.88,2.28,1.10,1.24,1.45,10000000,1
read_performance,UUIDV1,read_iops,6658.82,6558.16,6564.32,6910.01,6625.92,10000000,1
read_performance,UUIDV1,write_iops,363.78,322.63,342.80,296.75,287.36,10000000,1
read_performance,UUIDV1,read_throughput_mb,78.42,77.48,77.38,80.57,81.35,10000000,1
read_performance,UUIDV1,write_throughput_mb,33.52,29.35,31.56,26.39,25.54,10000000,1
