Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,104410.57,102507.37,101379.04,96021.00,90845.19,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,4073.00,4148.00,4144.00,4002.00,4918.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,49572.00,45387.00,45753.00,45505.00,28981.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,51368.00,50960.00,51811.00,55330.00,57407.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,2741.00,2741.00,2741.00,2741.00,2741.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,90.01,90.01,90.01,90.01,90.01,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1116.40,1116.41,1116.39,1116.41,1116.40,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,21.45,21.45,21.45,21.45,21.45,1000000,8
insert_performance,SEQUENTIAL,read_iops,20.57,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_iops,3115.72,4023.99,4014.20,3794.55,3088.19,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.55,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,213.82,337.00,335.70,318.26,292.76,1000000,8
insert_performance,UUIDV4,throughput,83738.59,80589.96,83133.10,82906.76,84906.76,1000000,8
insert_performance,UUIDV4,p50_latency_us,5318.00,5406.00,5393.00,5389.00,5316.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,32697.00,31214.00,32387.00,31443.00,31072.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,62742.00,64893.00,44926.00,47072.00,48859.00,1000000,8
insert_performance,UUIDV4,page_splits,4782.00,4831.00,4796.00,4911.00,4808.00,1000000,8
insert_performance,UUIDV4,fragmentation,49.99,49.75,49.80,49.86,49.76,1000000,8
insert_performance,UUIDV4,avg_leaf_density,72.49,71.75,72.28,70.58,72.09,1000000,8
insert_performance,UUIDV4,table_size_mb,1116.40,1116.39,1116.40,1116.38,1116.40,1000000,8
