Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,29760.47,29904.41,737.53,29124.35,30916.86,2.47,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,2868.00,2877.40,60.57,2809.00,2973.00,2.11,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,4500.00,4520.20,136.76,4373.00,4736.00,3.03,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,4875.00,4937.80,285.24,4701.00,5412.00,5.78,100000,1
insert_performance,SEQUENTIAL,page_splits,18.00,18.00,0.00,18.00,18.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,10.54,10.54,0.00,10.54,10.54,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,1.15,1.15,0.00,1.15,1.15,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,12.11,12.30,1.22,10.59,13.82,9.90,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,2.27,2.26,0.09,2.14,2.39,4.05,100000,1
insert_performance,UUIDV4,throughput,24432.88,24468.68,549.77,23964.14,25368.25,2.25,100000,1
insert_performance,UUIDV4,p50_latency_us,3273.00,3322.20,98.69,3239.00,3481.00,2.97,100000,1
insert_performance,UUIDV4,p95_latency_us,4864.00,4949.00,165.57,4787.00,5154.00,3.35,100000,1
insert_performance,UUIDV4,p99_latency_us,5841.00,5758.80,270.63,5392.00,6051.00,4.70,100000,1
insert_performance,UUIDV4,page_splits,98.00,104.20,14.50,96.00,130.00,13.91,100000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV4,table_size_mb,10.73,10.73,0.00,10.73,10.73,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,2.43,2.43,0.04,2.39,2.50,1.68,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,12.46,12.35,0.39,11.72,12.68,3.13,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,2.46,2.48,0.07,2.41,2.58,2.70,100000,1
insert_performance,UUIDV7,throughput,26587.20,26459.90,472.12,25816.94,26892.57,1.78,100000,1
insert_performance,UUIDV7,p50_latency_us,2995.00,3047.00,147.38,2925.00,3287.00,4.84,100000,1
insert_performance,UUIDV7,p95_latency_us,4521.00,4640.80,191.31,4487.00,4910.00,4.12,100000,1
insert_performance,UUIDV7,p99_latency_us,4980.00,5117.80,280.09,4882.00,5428.00,5.47,100000,1
insert_performance,UUIDV7,page_splits,18.00,18.00,0.00,18.00,18.00,0.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV7,table_size_mb,10.69,10.69,0.00,10.69,10.69,0.00,100000,1
insert_performance,UUIDV7,index_size_mb,1.92,1.92,0.00,1.92,1.92,0.11,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,12.59,12.45,0.58,11.86,13.21,4.63,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,2.39,2.39,0.04,2.33,2.44,1.77,100000,1
insert_performance,ULID,throughput,26361.22,26087.16,650.59,25311.89,26694.92,2.49,100000,1
insert_performance,ULID,p50_latency_us,3060.00,3096.80,93.07,3025.00,3252.00,3.01,100000,1
insert_performance,ULID,p95_latency_us,4768.00,4749.60,86.70,4645.00,4864.00,1.83,100000,1
insert_performance,ULID,p99_latency_us,5241.00,5278.00,197.31,5021.00,5570.00,3.74,100000,1
insert_performance,ULID,page_splits,18.00,18.00,0.00,18.00,18.00,0.00,100000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,ULID,table_size_mb,10.69,10.69,0.00,10.69,10.69,0.00,100000,1
insert_performance,ULID,index_size_mb,1.92,1.92,0.00,1.92,1.92,0.00,100000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_iops,11.76,11.61,1.02,9.96,12.73,8.75,100000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_throughput_mb,2.43,2.42,0.05,2.37,2.47,1.89,100000,1
insert_performance,ULID_MONOTONIC,throughput,28080.41,28119.56,295.37,27822.70,28588.55,1.05,100000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,2987.00,2998.20,35.86,2959.00,3043.00,1.20,100000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,4560.00,4548.60,111.59,4437.00,4719.00,2.45,100000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,4989.00,4982.00,65.30,4914.00,5082.00,1.31,100000,1
insert_performance,ULID_MONOTONIC,page_splits,18.00,18.00,0.00,18.00,18.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,table_size_mb,10.69,10.69,0.00,10.69,10.69,0.00,100000,1
insert_performance,ULID_MONOTONIC,index_size_mb,1.86,1.86,0.00,1.86,1.86,0.09,100000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_iops,12.56,12.67,0.90,11.69,13.93,7.13,100000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,2.36,2.33,0.10,2.16,2.41,4.15,100000,1
insert_performance,UUIDV1,throughput,28520.90,28540.42,405.97,28068.38,29088.35,1.42,100000,1
insert_performance,UUIDV1,p50_latency_us,2961.00,2969.40,34.97,2922.00,3004.00,1.18,100000,1
insert_performance,UUIDV1,p95_latency_us,4626.00,4590.20,92.87,4426.00,4648.00,2.02,100000,1
insert_performance,UUIDV1,p99_latency_us,5059.00,5031.20,85.73,4887.00,5108.00,1.70,100000,1
insert_performance,UUIDV1,page_splits,18.00,18.00,0.00,18.00,18.00,0.00,100000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV1,table_size_mb,10.69,10.69,0.00,10.69,10.69,0.00,100000,1
insert_performance,UUIDV1,index_size_mb,2.32,2.32,0.00,2.32,2.32,0.00,100000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,write_iops,11.55,11.78,0.78,11.11,13.11,6.60,100000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,write_throughput_mb,2.22,2.20,0.09,2.05,2.27,3.92,100000,1
insert_performance,OBJECTID,throughput,29315.65,29726.10,1580.94,28262.81,32393.96,5.32,100000,1
insert_performance,OBJECTID,p50_latency_us,2852.00,2942.80,201.46,2777.00,3280.00,6.85,100000,1
insert_performance,OBJECTID,p95_latency_us,4337.00,4496.20,225.01,4323.00,4752.00,5.00,100000,1
insert_performance,OBJECTID,p99_latency_us,4870.00,4956.40,285.28,4661.00,5279.00,5.76,100000,1
insert_performance,OBJECTID,page_splits,18.00,18.00,0.00,18.00,18.00,0.00,100000,1
insert_performance,OBJECTID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,OBJECTID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,OBJECTID,table_size_mb,10.58,10.58,0.00,10.58,10.58,0.00,100000,1
insert_performance,OBJECTID,index_size_mb,0.96,0.96,0.00,0.96,0.96,0.18,100000,1
insert_performance,OBJECTID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,OBJECTID,write_iops,13.24,12.86,1.02,11.41,14.05,7.90,100000,1
insert_performance,OBJECTID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,OBJECTID,write_throughput_mb,2.32,2.34,0.11,2.20,2.50,4.75,100000,1
