Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,263630.06,273309.94,262842.91,265041.93,275802.56,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,355.00,345.00,360.00,346.00,328.00,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,558.00,538.00,546.00,544.00,534.00,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,671.00,632.00,651.00,676.00,614.00,100000,1
insert_performance,SEQUENTIAL,page_splits,6.00,6.00,6.00,6.00,6.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,1.37,1.37,1.37,1.37,1.37,100000,1
insert_performance,SEQUENTIAL,index_size_mb,1.15,1.15,1.15,1.15,1.15,100000,1
insert_performance,SEQUENTIAL,read_iops,25.79,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,45.13,37.79,47.26,47.52,37.98,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.50,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,4.39,3.63,4.51,4.53,3.67,100000,1
insert_performance,UUIDV4,throughput,219471.16,216039.95,216678.53,221146.92,212619.74,100000,1
insert_performance,UUIDV4,p50_latency_us,394.00,412.00,415.00,407.00,420.00,100000,1
insert_performance,UUIDV4,p95_latency_us,639.00,643.00,613.00,620.00,646.00,100000,1
insert_performance,UUIDV4,p99_latency_us,734.00,794.00,710.00,719.00,752.00,100000,1
insert_performance,UUIDV4,page_splits,75.00,75.00,75.00,75.00,75.00,100000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV4,table_size_mb,2.96,2.96,2.96,2.96,2.96,100000,1
insert_performance,UUIDV4,index_size_mb,2.38,2.38,2.39,2.38,2.36,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,53.66,52.91,53.10,56.16,63.08,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,5.91,5.74,5.81,5.97,6.86,100000,1
insert_performance,UUIDV7,throughput,243404.67,248552.15,251944.12,247731.25,251852.17,100000,1
insert_performance,UUIDV7,p50_latency_us,372.00,366.00,358.00,367.00,355.00,100000,1
insert_performance,UUIDV7,p95_latency_us,587.00,552.00,546.00,561.00,546.00,100000,1
insert_performance,UUIDV7,p99_latency_us,687.00,684.00,674.00,650.00,671.00,100000,1
insert_performance,UUIDV7,page_splits,6.00,6.00,6.00,6.00,6.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV7,table_size_mb,2.47,2.47,2.47,2.47,2.47,100000,1
insert_performance,UUIDV7,index_size_mb,1.88,1.89,1.88,1.89,1.89,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,58.55,59.82,60.26,59.32,60.26,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,5.96,6.00,6.31,6.09,6.32,100000,1
insert_performance,ULID,throughput,245939.66,249679.75,243038.00,240346.59,251983.31,100000,1
insert_performance,ULID,p50_latency_us,364.00,356.00,378.00,380.00,352.00,100000,1
insert_performance,ULID,p95_latency_us,572.00,550.00,568.00,580.00,552.00,100000,1
insert_performance,ULID,p99_latency_us,672.00,664.00,726.00,682.00,716.00,100000,1
insert_performance,ULID,page_splits,6.00,6.00,6.00,6.00,6.00,100000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
