Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,19329.60,19475.65,501.06,18879.86,20061.98,2.57,100000,1
read_performance,SEQUENTIAL,p50_latency_us,45.00,44.40,0.89,43.00,45.00,2.01,100000,1
read_performance,SEQUENTIAL,p95_latency_us,80.00,79.40,0.89,78.00,80.00,1.13,100000,1
read_performance,SEQUENTIAL,p99_latency_us,101.00,101.60,1.95,99.00,104.00,1.92,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.15,0.33,0.00,0.75,223.61,100000,1
read_performance,SEQUENTIAL,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.01,223.61,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_throughput,18468.36,18466.61,355.61,17899.43,18794.08,1.93,100000,1
read_performance,UUIDV4,p50_latency_us,47.00,47.60,0.89,47.00,49.00,1.88,100000,1
read_performance,UUIDV4,p95_latency_us,81.00,81.20,1.10,80.00,83.00,1.35,100000,1
read_performance,UUIDV4,p99_latency_us,116.00,116.80,2.59,114.00,120.00,2.22,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_throughput,18658.61,18764.96,266.77,18513.54,19196.21,1.42,100000,1
read_performance,UUIDV7,p50_latency_us,46.00,46.20,0.45,46.00,47.00,0.97,100000,1
read_performance,UUIDV7,p95_latency_us,80.00,80.20,0.84,79.00,81.00,1.04,100000,1
read_performance,UUIDV7,p99_latency_us,115.00,115.60,2.41,113.00,119.00,2.08,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
