Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,3063.61,3318.92,3100.51,3086.69,3153.89,100000,1
read_performance,SEQUENTIAL,p50_latency_us,301.00,286.00,298.00,297.00,300.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,453.00,440.00,453.00,453.00,451.00,100000,1
read_performance,SEQUENTIAL,p99_latency_us,694.00,671.00,702.00,694.00,687.00,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.33,0.32,0.09,0.15,0.31,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.01,0.00,0.00,0.01,100000,1
read_performance,UUIDV4,read_throughput,2977.94,2844.69,2875.08,2958.49,2954.19,100000,1
read_performance,UUIDV4,p50_latency_us,303.00,305.00,306.00,302.00,300.00,100000,1
read_performance,UUIDV4,p95_latency_us,482.00,574.00,576.00,478.00,549.00,100000,1
read_performance,UUIDV4,p99_latency_us,842.00,910.00,894.00,878.00,886.00,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.29,0.11,0.25,0.11,0.23,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.00,0.01,0.00,0.01,100000,1
read_performance,UUIDV7,read_throughput,3017.14,2936.20,3041.18,3039.22,2946.77,100000,1
read_performance,UUIDV7,p50_latency_us,297.00,301.00,297.00,297.00,303.00,100000,1
read_performance,UUIDV7,p95_latency_us,485.00,529.00,499.00,478.00,482.00,100000,1
read_performance,UUIDV7,p99_latency_us,839.00,877.00,856.00,843.00,838.00,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,0.12,0.26,0.12,0.29,0.23,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,0.00,0.01,0.00,0.01,0.01,100000,1
read_performance,ULID,read_throughput,2876.19,2912.89,2879.50,2908.12,2917.17,100000,1
read_performance,ULID,p50_latency_us,306.00,302.00,306.00,301.00,304.00,100000,1
read_performance,ULID,p95_latency_us,588.00,555.00,564.00,545.00,518.00,100000,1
read_performance,ULID,p99_latency_us,917.00,900.00,897.00,885.00,873.00,100000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_iops,0.25,0.14,0.25,0.14,0.25,100000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_throughput_mb,0.01,0.00,0.01,0.00,0.01,100000,1
read_performance,ULID_MONOTONIC,read_throughput,2984.91,2980.77,2945.32,2902.12,2918.87,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,299.00,303.00,302.00,304.00,305.00,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,567.00,476.00,500.00,541.00,526.00,100000,1
read_performance,ULID_MONOTONIC,p99_latency_us,899.00,850.00,854.00,896.00,858.00,100000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_iops,0.09,0.29,0.20,0.20,0.25,100000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.00,0.01,0.01,0.01,0.01,100000,1
read_performance,UUIDV1,read_throughput,2895.84,2890.38,2879.85,2981.18,2904.81,100000,1
read_performance,UUIDV1,p50_latency_us,305.00,304.00,304.00,301.00,304.00,100000,1
read_performance,UUIDV1,p95_latency_us,574.00,554.00,574.00,499.00,540.00,100000,1
read_performance,UUIDV1,p99_latency_us,902.00,920.00,908.00,864.00,893.00,100000,1
read_performance,UUIDV1,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
