Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,13716.14,13727.11,67.72,13674.61,13843.57,0.49,100000,1
update_performance,SEQUENTIAL,p50_latency_us,68.00,68.00,0.00,68.00,68.00,0.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,98.00,97.40,0.89,96.00,98.00,0.92,100000,1
update_performance,SEQUENTIAL,p99_latency_us,119.00,119.20,1.30,118.00,121.00,1.09,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.11,0.24,0.00,0.53,223.61,100000,1
update_performance,SEQUENTIAL,write_iops,29.70,29.66,0.27,29.21,29.90,0.91,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.01,0.00,0.01,223.61,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,3.33,3.32,0.04,3.26,3.35,1.08,100000,1
update_performance,UUIDV4,update_throughput,13826.63,13766.58,102.31,13642.56,13849.84,0.74,100000,1
update_performance,UUIDV4,p50_latency_us,68.00,68.00,0.00,68.00,68.00,0.00,100000,1
update_performance,UUIDV4,p95_latency_us,97.00,97.20,0.84,96.00,98.00,0.86,100000,1
update_performance,UUIDV4,p99_latency_us,126.00,126.00,3.16,122.00,130.00,2.51,100000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,29.66,29.71,0.11,29.61,29.88,0.38,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,3.35,3.35,0.02,3.32,3.36,0.48,100000,1
update_performance,UUIDV7,update_throughput,13699.74,13704.81,74.94,13616.74,13822.90,0.55,100000,1
update_performance,UUIDV7,p50_latency_us,68.00,68.00,0.00,68.00,68.00,0.00,100000,1
update_performance,UUIDV7,p95_latency_us,97.00,97.20,0.84,96.00,98.00,0.86,100000,1
update_performance,UUIDV7,p99_latency_us,127.00,126.60,2.07,124.00,129.00,1.64,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,29.58,29.49,0.22,29.19,29.74,0.74,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,3.30,3.29,0.03,3.25,3.32,0.83,100000,1
update_performance,ULID,update_throughput,13795.73,13762.74,145.98,13590.90,13934.24,1.06,100000,1
update_performance,ULID,p50_latency_us,68.00,68.00,0.71,67.00,69.00,1.04,100000,1
update_performance,ULID,p95_latency_us,96.00,96.60,1.34,95.00,98.00,1.39,100000,1
update_performance,ULID,p99_latency_us,127.00,127.40,3.05,124.00,131.00,2.39,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,29.34,29.41,0.23,29.24,29.81,0.79,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,3.31,3.30,0.03,3.25,3.33,1.04,100000,1
update_performance,ULID_MONOTONIC,update_throughput,13630.40,13614.53,67.97,13540.44,13698.17,0.50,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,68.00,68.20,0.45,68.00,69.00,0.66,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,98.00,98.60,0.89,98.00,100.00,0.91,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,130.00,131.20,5.89,124.00,139.00,4.49,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,29.52,29.52,0.05,29.46,29.58,0.16,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,3.25,3.25,0.02,3.22,3.28,0.74,100000,1
update_performance,UUIDV1,update_throughput,13624.84,13662.46,83.13,13588.12,13783.46,0.61,100000,1
update_performance,UUIDV1,p50_latency_us,68.00,68.20,0.45,68.00,69.00,0.66,100000,1
update_performance,UUIDV1,p95_latency_us,98.00,97.80,0.84,97.00,99.00,0.86,100000,1
update_performance,UUIDV1,p99_latency_us,128.00,128.00,2.55,125.00,131.00,1.99,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,29.52,29.59,0.39,29.12,30.13,1.31,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,3.27,3.28,0.04,3.26,3.35,1.16,100000,1
