Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,13485.77,13652.93,13570.23,13548.37,13534.36,100000,1
update_performance,SEQUENTIAL,p50_latency_us,68.00,68.00,68.00,68.00,68.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,100.00,98.00,100.00,100.00,100.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,129.00,120.00,129.00,129.00,125.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,29.29,29.89,29.63,29.39,29.96,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,3.26,3.28,3.31,3.27,3.29,100000,1
update_performance,UUIDV4,update_throughput,13407.47,13486.01,13451.20,13329.61,13385.62,100000,1
update_performance,UUIDV4,p50_latency_us,68.00,68.00,68.00,69.00,69.00,100000,1
update_performance,UUIDV4,p95_latency_us,102.00,100.00,101.00,101.00,101.00,100000,1
update_performance,UUIDV4,p99_latency_us,141.00,142.00,139.00,141.00,135.00,100000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,30.16,29.50,29.45,29.98,30.20,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,3.28,3.25,3.25,3.25,3.27,100000,1
update_performance,UUIDV7,update_throughput,13552.78,13584.06,13522.03,13499.12,13659.83,100000,1
update_performance,UUIDV7,p50_latency_us,68.00,68.00,68.00,68.00,68.00,100000,1
update_performance,UUIDV7,p95_latency_us,99.00,99.00,100.00,100.00,99.00,100000,1
update_performance,UUIDV7,p99_latency_us,135.00,136.00,135.00,135.00,136.00,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,29.53,29.79,29.23,29.93,30.27,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,3.22,3.31,3.22,3.28,3.36,100000,1
update_performance,ULID,update_throughput,13530.85,13432.32,13384.80,13527.96,13504.06,100000,1
update_performance,ULID,p50_latency_us,68.00,69.00,69.00,68.00,68.00,100000,1
update_performance,ULID,p95_latency_us,99.00,101.00,101.00,100.00,100.00,100000,1
update_performance,ULID,p99_latency_us,135.00,136.00,135.00,135.00,140.00,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,30.02,29.31,29.84,29.86,30.08,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,3.31,3.22,3.28,3.30,3.29,100000,1
update_performance,ULID_MONOTONIC,update_throughput,13536.29,13481.20,13436.58,13625.68,13190.63,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,68.00,68.00,68.00,68.00,69.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,100.00,100.00,100.00,99.00,103.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,141.00,138.00,138.00,132.00,137.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,30.19,30.15,29.71,29.19,30.24,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,3.32,3.30,3.30,3.27,3.20,100000,1
update_performance,UUIDV1,update_throughput,13490.37,13675.41,13557.43,13430.45,13537.92,100000,1
update_performance,UUIDV1,p50_latency_us,68.00,68.00,68.00,68.00,68.00,100000,1
update_performance,UUIDV1,p95_latency_us,100.00,98.00,100.00,101.00,100.00,100000,1
update_performance,UUIDV1,p99_latency_us,139.00,134.00,134.00,138.00,140.00,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,29.57,29.52,29.77,29.31,29.88,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,3.28,3.30,3.28,3.22,3.29,100000,1
