Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,209391.73,209350.89,679.10,208449.50,210273.52,0.32,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,448.00,448.60,1.52,447.00,451.00,0.34,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,660.00,659.20,3.42,655.00,664.00,0.52,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,823.00,824.00,4.36,820.00,831.00,0.53,10000000,1
insert_performance,SEQUENTIAL,page_splits,1647.00,1644.40,5.94,1634.00,1648.00,0.36,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,1059.03,1059.03,0.01,1059.02,1059.04,0.00,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,124.01,124.01,0.02,123.98,124.03,0.01,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.05,0.11,0.00,0.25,223.61,10000000,1
insert_performance,SEQUENTIAL,write_iops,336.03,332.00,11.82,311.30,341.14,3.56,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,39.28,38.84,1.40,36.37,39.85,3.61,10000000,1
insert_performance,UUIDV4,throughput,121964.05,121892.68,444.71,121341.01,122537.56,0.36,10000000,1
insert_performance,UUIDV4,p50_latency_us,738.00,738.60,4.28,734.00,743.00,0.58,10000000,1
insert_performance,UUIDV4,p95_latency_us,1153.00,1159.20,15.42,1148.00,1186.00,1.33,10000000,1
insert_performance,UUIDV4,p99_latency_us,1807.00,1800.20,36.97,1742.00,1835.00,2.05,10000000,1
insert_performance,UUIDV4,page_splits,20942.00,21050.80,274.96,20724.00,21432.00,1.31,10000000,1
insert_performance,UUIDV4,fragmentation,0.06,0.07,0.04,0.02,0.13,63.68,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV4,table_size_mb,1070.70,1070.77,0.46,1070.28,1071.45,0.04,10000000,1
insert_performance,UUIDV4,index_size_mb,467.66,466.65,2.36,463.44,468.96,0.51,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_iops,359.07,359.73,25.15,337.24,399.92,6.99,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_throughput_mb,35.64,35.74,0.50,35.30,36.57,1.39,10000000,1
insert_performance,UUIDV7,throughput,198127.57,197055.42,2743.67,193790.36,199511.55,1.39,10000000,1
insert_performance,UUIDV7,p50_latency_us,461.00,463.80,6.72,458.00,472.00,1.45,10000000,1
insert_performance,UUIDV7,p95_latency_us,672.00,674.80,9.20,666.00,686.00,1.36,10000000,1
insert_performance,UUIDV7,p99_latency_us,840.00,844.00,13.93,826.00,860.00,1.65,10000000,1
insert_performance,UUIDV7,page_splits,1668.00,1682.00,32.02,1657.00,1737.00,1.90,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV7,table_size_mb,1070.00,1069.96,0.09,1069.80,1070.00,0.01,10000000,1
insert_performance,UUIDV7,index_size_mb,198.34,198.35,0.05,198.27,198.41,0.03,10000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_iops,348.00,347.44,7.59,337.25,357.73,2.18,10000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_throughput_mb,40.79,40.71,0.91,39.46,41.90,2.23,10000000,1
insert_performance,ULID,throughput,190495.98,190219.34,631.29,189207.78,190706.61,0.33,10000000,1
insert_performance,ULID,p50_latency_us,483.00,483.60,2.07,482.00,487.00,0.43,10000000,1
insert_performance,ULID,p95_latency_us,695.00,696.80,3.42,694.00,701.00,0.49,10000000,1
insert_performance,ULID,p99_latency_us,868.00,866.60,4.72,861.00,873.00,0.54,10000000,1
insert_performance,ULID,page_splits,1685.00,1690.20,12.83,1682.00,1713.00,0.76,10000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,ULID,table_size_mb,1070.00,1070.00,0.00,1070.00,1070.00,0.00,10000000,1
insert_performance,ULID,index_size_mb,199.72,199.72,0.02,199.69,199.75,0.01,10000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_iops,345.18,339.84,11.19,325.54,349.81,3.29,10000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_throughput_mb,40.37,39.74,1.33,38.07,40.97,3.35,10000000,1
insert_performance,ULID_MONOTONIC,throughput,196909.08,197330.98,841.98,196609.23,198404.50,0.43,10000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,468.00,467.60,1.52,466.00,469.00,0.32,10000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,683.00,679.60,5.13,674.00,684.00,0.75,10000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,852.00,848.40,9.10,834.00,858.00,1.07,10000000,1
insert_performance,ULID_MONOTONIC,page_splits,1675.00,1679.80,10.94,1672.00,1699.00,0.65,10000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,1069.99,1069.99,0.01,1069.98,1070.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,186.74,186.76,0.10,186.66,186.87,0.05,10000000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_iops,332.67,338.89,11.88,329.04,353.61,3.51,10000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,38.87,39.63,1.41,38.48,41.38,3.56,10000000,1
insert_performance,UUIDV1,throughput,199259.32,197065.38,8095.17,183622.64,203921.19,4.11,10000000,1
insert_performance,UUIDV1,p50_latency_us,466.00,467.40,12.36,455.00,486.00,2.64,10000000,1
insert_performance,UUIDV1,p95_latency_us,674.00,680.60,18.60,664.00,710.00,2.73,10000000,1
insert_performance,UUIDV1,p99_latency_us,840.00,866.00,44.57,835.00,938.00,5.15,10000000,1
insert_performance,UUIDV1,page_splits,1664.00,1662.80,33.45,1615.00,1708.00,2.01,10000000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV1,table_size_mb,1069.99,1069.99,0.01,1069.98,1069.99,0.00,10000000,1
insert_performance,UUIDV1,index_size_mb,234.32,234.33,0.03,234.31,234.38,0.01,10000000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,write_iops,331.71,330.61,11.05,315.50,343.89,3.34,10000000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
