Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,209022.07,210273.52,209617.64,209391.73,208449.50,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,449.00,447.00,448.00,448.00,451.00,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,664.00,655.00,657.00,660.00,660.00,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,831.00,820.00,821.00,825.00,823.00,10000000,1
insert_performance,SEQUENTIAL,page_splits,1634.00,1647.00,1648.00,1648.00,1645.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,1059.03,1059.02,1059.02,1059.03,1059.04,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,123.98,124.01,124.03,124.01,124.02,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.25,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_iops,311.30,336.92,336.03,341.14,334.59,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,36.37,39.51,39.28,39.85,39.18,10000000,1
insert_performance,UUIDV4,throughput,122537.56,121972.01,121964.05,121341.01,121648.78,10000000,1
insert_performance,UUIDV4,p50_latency_us,734.00,735.00,738.00,743.00,743.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,1153.00,1186.00,1158.00,1151.00,1148.00,10000000,1
insert_performance,UUIDV4,p99_latency_us,1827.00,1807.00,1835.00,1790.00,1742.00,10000000,1
insert_performance,UUIDV4,page_splits,20942.00,21214.00,21432.00,20724.00,20942.00,10000000,1
insert_performance,UUIDV4,fragmentation,0.04,0.02,0.08,0.13,0.06,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV4,table_size_mb,1070.47,1070.28,1070.94,1071.45,1070.70,10000000,1
insert_performance,UUIDV4,index_size_mb,467.66,468.96,468.26,463.44,464.92,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_iops,339.73,362.68,337.24,359.07,399.92,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_throughput_mb,35.64,35.74,35.30,35.44,36.57,10000000,1
insert_performance,UUIDV7,throughput,193790.36,199511.55,198127.57,199397.01,194450.58,10000000,1
insert_performance,UUIDV7,p50_latency_us,472.00,458.00,461.00,458.00,470.00,10000000,1
insert_performance,UUIDV7,p95_latency_us,686.00,667.00,672.00,666.00,683.00,10000000,1
insert_performance,UUIDV7,p99_latency_us,856.00,826.00,840.00,838.00,860.00,10000000,1
insert_performance,UUIDV7,page_splits,1657.00,1668.00,1666.00,1737.00,1682.00,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV7,table_size_mb,1070.00,1069.80,1070.00,1070.00,1069.99,10000000,1
insert_performance,UUIDV7,index_size_mb,198.39,198.34,198.34,198.27,198.41,10000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_iops,357.73,348.00,343.93,350.26,337.25,10000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_throughput_mb,41.90,40.79,40.31,41.10,39.46,10000000,1
insert_performance,ULID,throughput,190006.84,190495.98,189207.78,190679.48,190706.61,10000000,1
insert_performance,ULID,p50_latency_us,484.00,483.00,487.00,482.00,482.00,10000000,1
insert_performance,ULID,p95_latency_us,700.00,694.00,701.00,695.00,694.00,10000000,1
insert_performance,ULID,p99_latency_us,873.00,863.00,868.00,861.00,868.00,10000000,1
insert_performance,ULID,page_splits,1713.00,1685.00,1685.00,1686.00,1682.00,10000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,ULID,table_size_mb,1070.00,1070.00,1070.00,1070.00,1070.00,10000000,1
insert_performance,ULID,index_size_mb,199.72,199.71,199.75,199.73,199.69,10000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_iops,325.54,349.81,345.18,330.18,348.50,10000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_throughput_mb,38.07,40.97,40.37,38.56,40.72,10000000,1
insert_performance,ULID_MONOTONIC,throughput,198404.50,196665.39,198066.71,196909.08,196609.23,10000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,466.00,469.00,466.00,468.00,469.00,10000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,674.00,683.00,674.00,683.00,684.00,10000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,846.00,852.00,834.00,852.00,858.00,10000000,1
insert_performance,ULID_MONOTONIC,page_splits,1672.00,1699.00,1675.00,1675.00,1678.00,10000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,1069.98,1069.99,1070.00,1069.99,1069.99,10000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,186.66,186.74,186.67,186.84,186.87,10000000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_iops,332.67,349.85,353.61,329.27,329.04,10000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,38.87,40.93,41.38,38.48,38.49,10000000,1
insert_performance,UUIDV1,throughput,203921.19,199259.32,183622.64,196103.16,202420.59,10000000,1
insert_performance,UUIDV1,p50_latency_us,455.00,466.00,486.00,472.00,458.00,10000000,1
insert_performance,UUIDV1,p95_latency_us,664.00,674.00,710.00,687.00,668.00,10000000,1
insert_performance,UUIDV1,p99_latency_us,835.00,840.00,938.00,881.00,836.00,10000000,1
insert_performance,UUIDV1,page_splits,1664.00,1655.00,1615.00,1708.00,1672.00,10000000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV1,table_size_mb,1069.98,1069.98,1069.99,1069.99,1069.99,10000000,1
insert_performance,UUIDV1,index_size_mb,234.31,234.34,234.38,234.32,234.32,10000000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,write_iops,343.89,331.71,315.50,324.56,337.38,10000000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV1,write_throughput_mb,40.30,38.79,36.79,37.86,39.43,10000000,1
