Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,18138.96,18328.77,396.83,17979.43,18977.62,2.17,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,48.00,48.20,0.84,47.00,49.00,1.74,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,83.00,82.40,0.89,81.00,83.00,1.09,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,100.00,100.00,1.00,99.00,101.00,1.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.04,0.08,0.00,0.18,223.61,10000000,1
read_performance,SEQUENTIAL,write_iops,0.81,0.72,0.16,0.49,0.87,22.06,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.02,0.02,0.01,0.01,0.03,52.68,10000000,1
read_performance,UUIDV4,read_throughput,16970.42,16925.45,151.44,16751.70,17085.25,0.89,10000000,1
read_performance,UUIDV4,p50_latency_us,52.00,52.40,0.55,52.00,53.00,1.05,10000000,1
read_performance,UUIDV4,p95_latency_us,87.00,86.60,0.55,86.00,87.00,0.63,10000000,1
read_performance,UUIDV4,p99_latency_us,127.00,127.40,0.55,127.00,128.00,0.43,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.08,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.08,10000000,1
read_performance,UUIDV4,fragmentation,0.02,0.04,0.03,0.00,0.08,87.48,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.10,0.19,0.14,0.10,0.40,71.21,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.02,0.01,0.01,0.04,83.36,10000000,1
read_performance,UUIDV7,read_throughput,17400.27,17381.71,309.35,16889.09,17728.98,1.78,10000000,1
read_performance,UUIDV7,p50_latency_us,50.00,50.60,0.89,50.00,52.00,1.77,10000000,1
read_performance,UUIDV7,p95_latency_us,85.00,85.20,1.30,84.00,87.00,1.53,10000000,1
read_performance,UUIDV7,p99_latency_us,126.00,128.20,4.92,126.00,137.00,3.84,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_iops,0.54,0.55,0.05,0.51,0.64,9.56,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.01,0.01,0.01,0.01,0.03,40.90,10000000,1
read_performance,ULID,read_throughput,17512.37,17546.45,221.21,17277.37,17888.13,1.26,10000000,1
read_performance,ULID,p50_latency_us,50.00,50.20,0.84,49.00,51.00,1.67,10000000,1
read_performance,ULID,p95_latency_us,85.00,84.60,0.55,84.00,85.00,0.65,10000000,1
read_performance,ULID,p99_latency_us,123.00,123.60,1.52,122.00,126.00,1.23,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_iops,0.51,0.53,0.05,0.48,0.61,9.35,10000000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_throughput_mb,0.01,0.01,0.00,0.01,0.02,30.24,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,17661.02,17608.10,210.67,17374.82,17885.98,1.20,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,50.00,49.80,0.84,49.00,51.00,1.68,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,84.00,84.20,0.45,84.00,85.00,0.53,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,123.00,123.00,0.71,122.00,124.00,0.57,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
