Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,18977.62,18423.60,18138.96,18124.24,17979.43,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,47.00,48.00,48.00,49.00,49.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,81.00,82.00,83.00,83.00,83.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,100.00,99.00,101.00,99.00,101.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,0.18,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_iops,0.62,0.82,0.49,0.81,0.87,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.02,0.01,0.03,0.03,10000000,1
read_performance,UUIDV4,read_throughput,16970.42,17085.25,17039.37,16751.70,16780.49,10000000,1
read_performance,UUIDV4,p50_latency_us,52.00,52.00,52.00,53.00,53.00,10000000,1
read_performance,UUIDV4,p95_latency_us,86.00,87.00,86.00,87.00,87.00,10000000,1
read_performance,UUIDV4,p99_latency_us,127.00,128.00,127.00,128.00,127.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,fragmentation,0.00,0.08,0.02,0.07,0.02,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.10,0.40,0.26,0.10,0.10,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.04,0.02,0.01,0.01,10000000,1
read_performance,UUIDV7,read_throughput,17400.27,16889.09,17519.76,17370.47,17728.98,10000000,1
read_performance,UUIDV7,p50_latency_us,51.00,52.00,50.00,50.00,50.00,10000000,1
read_performance,UUIDV7,p95_latency_us,86.00,87.00,84.00,85.00,84.00,10000000,1
read_performance,UUIDV7,p99_latency_us,126.00,137.00,126.00,126.00,126.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_iops,0.54,0.52,0.64,0.54,0.51,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.01,0.01,0.03,0.01,0.01,10000000,1
read_performance,ULID,read_throughput,17888.13,17277.37,17575.62,17512.37,17478.77,10000000,1
read_performance,ULID,p50_latency_us,49.00,51.00,50.00,50.00,51.00,10000000,1
read_performance,ULID,p95_latency_us,84.00,85.00,85.00,85.00,84.00,10000000,1
read_performance,ULID,p99_latency_us,122.00,126.00,124.00,123.00,123.00,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_iops,0.48,0.50,0.54,0.51,0.61,10000000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_throughput_mb,0.01,0.01,0.01,0.01,0.02,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,17420.90,17661.02,17885.98,17374.82,17697.77,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,50.00,50.00,49.00,51.00,49.00,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,85.00,84.00,84.00,84.00,84.00,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,123.00,122.00,124.00,123.00,123.00,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_iops,0.54,0.55,0.52,0.47,0.45,10000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,10000000,1
read_performance,UUIDV1,read_throughput,17916.61,17890.95,17530.71,17919.33,17461.58,10000000,1
read_performance,UUIDV1,p50_latency_us,49.00,50.00,50.00,49.00,50.00,10000000,1
read_performance,UUIDV1,p95_latency_us,83.00,83.00,85.00,84.00,85.00,10000000,1
read_performance,UUIDV1,p99_latency_us,121.00,123.00,124.00,124.00,126.00,10000000,1
read_performance,UUIDV1,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV1,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,write_iops,0.62,0.76,0.47,0.48,0.54,10000000,1
read_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV1,write_throughput_mb,0.03,0.03,0.01,0.01,0.01,10000000,1
