Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,13702.09,13697.13,83.35,13603.63,13818.61,0.61,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,68.00,67.80,0.45,67.00,68.00,0.66,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,99.00,98.40,0.89,97.00,99.00,0.91,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,121.00,121.40,1.82,119.00,124.00,1.50,10000000,1
update_performance,SEQUENTIAL,fragmentation,3.37,3.41,0.08,3.33,3.51,2.46,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.02,0.05,0.00,0.11,223.61,10000000,1
update_performance,SEQUENTIAL,write_iops,167.55,185.58,45.99,160.24,267.60,24.78,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,223.61,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,18.94,21.04,5.43,18.02,30.72,25.80,10000000,1
update_performance,UUIDV4,update_throughput,13299.65,13322.20,52.37,13269.33,13397.88,0.39,10000000,1
update_performance,UUIDV4,p50_latency_us,69.00,69.40,0.55,69.00,70.00,0.79,10000000,1
update_performance,UUIDV4,p95_latency_us,102.00,101.80,0.45,101.00,102.00,0.44,10000000,1
update_performance,UUIDV4,p99_latency_us,141.00,140.60,0.55,140.00,141.00,0.39,10000000,1
update_performance,UUIDV4,fragmentation,4.66,4.68,0.06,4.60,4.75,1.34,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,217.44,218.04,5.69,212.50,227.11,2.61,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,23.45,23.49,0.19,23.27,23.75,0.80,10000000,1
update_performance,UUIDV7,update_throughput,13543.40,13536.13,40.03,13489.72,13575.27,0.30,10000000,1
update_performance,UUIDV7,p50_latency_us,68.00,68.20,0.45,68.00,69.00,0.66,10000000,1
update_performance,UUIDV7,p95_latency_us,100.00,99.60,0.55,99.00,100.00,0.55,10000000,1
update_performance,UUIDV7,p99_latency_us,135.00,134.80,1.30,133.00,136.00,0.97,10000000,1
update_performance,UUIDV7,fragmentation,3.96,3.93,0.10,3.82,4.05,2.44,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_iops,162.03,166.33,14.14,152.09,184.08,8.50,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_throughput_mb,18.24,18.76,1.69,17.07,20.85,8.99,10000000,1
update_performance,ULID,update_throughput,13499.38,13507.53,46.00,13457.40,13578.54,0.34,10000000,1
update_performance,ULID,p50_latency_us,69.00,68.80,0.45,68.00,69.00,0.65,10000000,1
update_performance,ULID,p95_latency_us,100.00,99.60,0.89,98.00,100.00,0.90,10000000,1
update_performance,ULID,p99_latency_us,136.00,136.00,1.58,134.00,138.00,1.16,10000000,1
update_performance,ULID,fragmentation,4.14,4.12,0.06,4.02,4.16,1.34,10000000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_iops,163.81,175.39,28.85,160.48,226.89,16.45,10000000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_throughput_mb,18.43,19.82,3.44,18.03,25.96,17.36,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,13525.70,13500.83,60.79,13431.60,13573.58,0.45,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,68.00,68.40,0.55,68.00,69.00,0.80,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,100.00,100.40,0.55,100.00,101.00,0.55,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,135.00,136.20,2.17,134.00,139.00,1.59,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,3.93,3.94,0.07,3.85,4.04,1.73,10000000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_iops,177.58,170.95,13.54,156.16,183.63,7.92,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,20.12,19.31,1.61,17.56,20.77,8.31,10000000,1
update_performance,UUIDV1,update_throughput,13545.57,13535.35,60.68,13474.79,13615.04,0.45,10000000,1
update_performance,UUIDV1,p50_latency_us,68.00,68.20,0.45,68.00,69.00,0.66,10000000,1
update_performance,UUIDV1,p95_latency_us,100.00,99.80,0.84,99.00,101.00,0.84,10000000,1
update_performance,UUIDV1,p99_latency_us,136.00,135.40,2.70,131.00,138.00,2.00,10000000,1
update_performance,UUIDV1,fragmentation,3.87,3.92,0.19,3.74,4.25,4.96,10000000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_iops,181.79,182.16,4.05,178.36,188.86,2.22,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_throughput_mb,20.60,20.66,0.47,20.23,21.45,2.29,10000000,1
