Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,13818.61,13702.09,13723.79,13603.63,13637.51,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,67.00,68.00,68.00,68.00,68.00,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,97.00,99.00,98.00,99.00,99.00,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,119.00,121.00,121.00,124.00,122.00,10000000,1
update_performance,SEQUENTIAL,fragmentation,3.49,3.35,3.37,3.51,3.33,10000000,1
update_performance,SEQUENTIAL,read_iops,0.11,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_iops,169.29,267.60,163.20,167.55,160.24,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,19.10,30.72,18.42,18.94,18.02,10000000,1
update_performance,UUIDV4,update_throughput,13299.65,13353.21,13397.88,13290.92,13269.33,10000000,1
update_performance,UUIDV4,p50_latency_us,70.00,69.00,69.00,70.00,69.00,10000000,1
update_performance,UUIDV4,p95_latency_us,102.00,102.00,101.00,102.00,102.00,10000000,1
update_performance,UUIDV4,p99_latency_us,140.00,141.00,140.00,141.00,141.00,10000000,1
update_performance,UUIDV4,fragmentation,4.65,4.66,4.75,4.60,4.73,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,214.12,212.50,217.44,219.03,227.11,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,23.39,23.45,23.60,23.75,23.27,10000000,1
update_performance,UUIDV7,update_throughput,13572.67,13499.57,13575.27,13489.72,13543.40,10000000,1
update_performance,UUIDV7,p50_latency_us,68.00,69.00,68.00,68.00,68.00,10000000,1
update_performance,UUIDV7,p95_latency_us,100.00,100.00,99.00,100.00,99.00,10000000,1
update_performance,UUIDV7,p99_latency_us,136.00,134.00,135.00,136.00,133.00,10000000,1
update_performance,UUIDV7,fragmentation,3.96,3.96,4.05,3.84,3.82,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_iops,184.08,155.25,162.03,152.09,178.20,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_throughput_mb,20.85,17.43,18.24,17.07,20.21,10000000,1
update_performance,ULID,update_throughput,13457.40,13578.54,13481.64,13520.68,13499.38,10000000,1
update_performance,ULID,p50_latency_us,69.00,69.00,68.00,69.00,69.00,10000000,1
update_performance,ULID,p95_latency_us,100.00,98.00,100.00,100.00,100.00,10000000,1
update_performance,ULID,p99_latency_us,137.00,135.00,138.00,134.00,136.00,10000000,1
update_performance,ULID,fragmentation,4.02,4.16,4.14,4.14,4.12,10000000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_iops,160.80,163.81,164.97,226.89,160.48,10000000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_throughput_mb,18.12,18.43,18.55,25.96,18.03,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,13573.58,13431.60,13529.49,13525.70,13443.76,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,68.00,69.00,68.00,68.00,69.00,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,100.00,101.00,100.00,100.00,101.00,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,135.00,139.00,135.00,134.00,138.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,3.92,3.94,3.93,4.04,3.85,10000000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_iops,180.94,156.16,156.46,183.63,177.58,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,20.51,17.58,17.56,20.77,20.12,10000000,1
update_performance,UUIDV1,update_throughput,13474.99,13545.57,13474.79,13566.38,13615.04,10000000,1
update_performance,UUIDV1,p50_latency_us,68.00,68.00,69.00,68.00,68.00,10000000,1
update_performance,UUIDV1,p95_latency_us,101.00,100.00,100.00,99.00,99.00,10000000,1
update_performance,UUIDV1,p99_latency_us,136.00,137.00,138.00,135.00,131.00,10000000,1
update_performance,UUIDV1,fragmentation,3.90,3.87,3.84,4.25,3.74,10000000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_iops,182.11,181.79,179.67,188.86,178.36,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_throughput_mb,20.64,20.60,20.38,21.45,20.23,10000000,1
