Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,207622.21,203183.13,11091.61,190899.89,215473.80,5.46,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,443.00,452.40,23.89,425.00,479.00,5.28,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,689.00,718.40,61.93,660.00,801.00,8.62,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,847.00,916.40,133.98,807.00,1118.00,14.62,1000000,1
insert_performance,SEQUENTIAL,page_splits,165.00,165.40,0.55,165.00,166.00,0.33,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,105.71,105.71,0.00,105.70,105.71,0.00,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,12.46,12.46,0.00,12.46,12.46,0.02,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_iops,137.97,135.34,7.88,126.15,144.79,5.82,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,16.71,16.26,0.95,15.17,17.33,5.82,1000000,1
insert_performance,UUIDV4,throughput,148450.14,148531.55,3121.73,144616.83,152680.22,2.10,1000000,1
insert_performance,UUIDV4,p50_latency_us,613.00,612.00,11.66,598.00,629.00,1.91,1000000,1
insert_performance,UUIDV4,p95_latency_us,940.00,954.40,30.58,919.00,989.00,3.20,1000000,1
insert_performance,UUIDV4,p99_latency_us,1329.00,1343.20,60.92,1275.00,1430.00,4.54,1000000,1
insert_performance,UUIDV4,page_splits,1783.00,1804.00,117.69,1641.00,1949.00,6.52,1000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,UUIDV4,table_size_mb,106.86,106.86,0.00,106.86,106.86,0.00,1000000,1
insert_performance,UUIDV4,index_size_mb,27.66,27.86,0.55,27.37,28.79,1.99,1000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_iops,133.48,133.70,2.34,131.06,137.14,1.75,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_throughput_mb,15.84,15.87,0.30,15.50,16.29,1.91,1000000,1
insert_performance,UUIDV7,throughput,196337.09,196909.35,5049.94,190304.61,202892.16,2.56,1000000,1
insert_performance,UUIDV7,p50_latency_us,458.00,456.20,12.40,441.00,472.00,2.72,1000000,1
insert_performance,UUIDV7,p95_latency_us,700.00,699.60,27.26,672.00,735.00,3.90,1000000,1
insert_performance,UUIDV7,p99_latency_us,843.00,861.40,63.67,800.00,937.00,7.39,1000000,1
insert_performance,UUIDV7,page_splits,169.00,169.60,1.34,168.00,171.00,0.79,1000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,UUIDV7,table_size_mb,106.82,106.82,0.00,106.82,106.82,0.00,1000000,1
insert_performance,UUIDV7,index_size_mb,19.60,19.60,0.01,19.59,19.62,0.05,1000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_iops,154.94,154.30,4.69,148.04,158.80,3.04,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_throughput_mb,18.67,18.58,0.55,17.84,19.11,2.98,1000000,1
insert_performance,ULID,throughput,189650.36,192827.10,8285.64,184177.82,201726.89,4.30,1000000,1
insert_performance,ULID,p50_latency_us,477.00,471.40,20.45,449.00,494.00,4.34,1000000,1
insert_performance,ULID,p95_latency_us,729.00,712.40,37.91,671.00,756.00,5.32,1000000,1
insert_performance,ULID,p99_latency_us,885.00,864.20,58.05,796.00,922.00,6.72,1000000,1
insert_performance,ULID,page_splits,168.00,169.20,2.17,167.00,172.00,1.28,1000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,ULID,table_size_mb,106.82,106.82,0.00,106.82,106.82,0.00,1000000,1
insert_performance,ULID,index_size_mb,19.73,19.72,0.01,19.71,19.74,0.07,1000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_iops,150.31,152.46,5.16,146.73,157.96,3.38,1000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_throughput_mb,18.05,18.37,0.70,17.61,19.13,3.84,1000000,1
insert_performance,ULID_MONOTONIC,throughput,190363.51,189726.03,2216.87,186960.69,192510.05,1.17,1000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,480.00,479.80,5.85,471.00,486.00,1.22,1000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,731.00,737.40,14.42,722.00,758.00,1.95,1000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,900.00,910.80,45.52,873.00,983.00,5.00,1000000,1
insert_performance,ULID_MONOTONIC,page_splits,168.00,169.60,2.61,168.00,174.00,1.54,1000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,106.82,106.81,0.00,106.81,106.82,0.00,1000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,18.47,18.48,0.02,18.46,18.51,0.13,1000000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,write_iops,137.82,138.50,2.29,136.18,142.30,1.65,1000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,16.60,16.62,0.24,16.30,16.97,1.44,1000000,1
insert_performance,UUIDV1,throughput,192033.46,193541.89,4275.26,189923.02,200866.29,2.21,1000000,1
