Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,257937.52,259255.44,267692.97,256344.01,257467.59,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,353.00,350.00,341.00,356.00,355.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,569.00,557.00,544.00,572.00,561.00,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,689.00,701.00,659.00,698.00,683.00,1000000,1
insert_performance,SEQUENTIAL,page_splits,52.00,52.00,52.00,51.00,52.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,13.62,13.62,13.62,13.62,13.62,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,12.46,12.46,12.46,12.46,12.46,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_iops,48.65,48.92,49.09,46.90,48.04,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,5.10,5.18,5.33,5.05,5.12,1000000,1
insert_performance,UUIDV4,throughput,185342.57,186581.79,188857.40,185028.72,187004.38,1000000,1
insert_performance,UUIDV4,p50_latency_us,479.00,477.00,469.00,480.00,475.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,752.00,745.00,744.00,758.00,746.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,1123.00,1068.00,1070.00,1099.00,1180.00,1000000,1
insert_performance,UUIDV4,page_splits,1625.00,1410.00,1395.00,1068.00,1507.00,1000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV4,table_size_mb,29.68,29.67,29.68,29.68,29.68,1000000,1
insert_performance,UUIDV4,index_size_mb,26.18,26.11,26.16,24.73,26.76,1000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_iops,59.41,60.38,60.50,59.18,59.22,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_throughput_mb,6.67,6.79,6.83,6.68,6.81,1000000,1
insert_performance,UUIDV7,throughput,241665.36,244934.07,243824.26,243594.56,242733.98,1000000,1
insert_performance,UUIDV7,p50_latency_us,368.00,357.00,363.00,360.00,364.00,1000000,1
insert_performance,UUIDV7,p95_latency_us,572.00,560.00,571.00,569.00,574.00,1000000,1
insert_performance,UUIDV7,p99_latency_us,702.00,711.00,694.00,706.00,694.00,1000000,1
insert_performance,UUIDV7,page_splits,56.00,56.00,56.00,57.00,56.00,1000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV7,table_size_mb,24.71,24.71,24.71,24.71,24.71,1000000,1
insert_performance,UUIDV7,index_size_mb,19.56,19.54,19.55,19.55,19.54,1000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_iops,64.36,64.48,65.20,63.72,65.11,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_throughput_mb,7.32,7.34,7.28,7.25,7.37,1000000,1
insert_performance,ULID,throughput,236416.70,237040.81,235747.97,236538.30,235597.89,1000000,1
insert_performance,ULID,p50_latency_us,376.00,373.00,380.00,376.00,379.00,1000000,1
insert_performance,ULID,p95_latency_us,590.00,584.00,594.00,586.00,596.00,1000000,1
insert_performance,ULID,p99_latency_us,718.00,735.00,734.00,731.00,744.00,1000000,1
insert_performance,ULID,page_splits,56.00,56.00,56.00,56.00,56.00,1000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,ULID,table_size_mb,24.71,24.71,24.71,24.71,24.71,1000000,1
insert_performance,ULID,index_size_mb,19.66,19.68,19.66,19.65,19.67,1000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_iops,65.72,65.74,65.15,64.91,65.31,1000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_throughput_mb,7.44,7.34,7.43,7.46,7.43,1000000,1
insert_performance,ULID_MONOTONIC,throughput,248820.98,250193.80,247004.13,256494.43,246983.56,1000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,354.00,356.00,362.00,347.00,360.00,1000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,566.00,564.00,571.00,553.00,567.00,1000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,695.00,683.00,684.00,679.00,699.00,1000000,1
insert_performance,ULID_MONOTONIC,page_splits,56.00,56.00,56.00,56.00,56.00,1000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,19.83,19.83,19.83,19.83,19.83,1000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,18.11,18.08,18.12,18.06,18.09,1000000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,write_iops,58.34,58.77,58.48,58.15,58.41,1000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,6.62,6.67,6.55,6.71,6.50,1000000,1
insert_performance,UUIDV1,throughput,248482.71,249919.44,248170.99,250177.45,248889.93,1000000,1
insert_performance,UUIDV1,p50_latency_us,362.00,361.00,365.00,360.00,364.00,1000000,1
insert_performance,UUIDV1,p95_latency_us,565.00,569.00,569.00,561.00,569.00,1000000,1
insert_performance,UUIDV1,p99_latency_us,688.00,698.00,703.00,678.00,700.00,1000000,1
insert_performance,UUIDV1,page_splits,56.00,56.00,56.00,56.00,56.00,1000000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV1,table_size_mb,14.86,14.86,14.86,14.86,14.86,1000000,1
insert_performance,UUIDV1,index_size_mb,23.17,23.17,23.17,23.17,23.17,1000000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV1,write_iops,52.98,53.79,53.89,53.87,54.50,1000000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV1,write_throughput_mb,5.92,5.95,6.02,6.01,6.04,1000000,1
read_performance,SEQUENTIAL,read_throughput,18797.39,18765.31,18531.94,18787.64,18517.03,1000000,1
read_performance,SEQUENTIAL,p50_latency_us,48.00,48.00,49.00,48.00,48.00,1000000,1
read_performance,SEQUENTIAL,p95_latency_us,80.00,81.00,81.00,81.00,81.00,1000000,1
read_performance,SEQUENTIAL,p99_latency_us,98.00,98.00,98.00,98.00,99.00,1000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,SEQUENTIAL,read_iops,0.02,0.00,0.00,0.00,0.00,1000000,1
read_performance,SEQUENTIAL,write_iops,0.46,0.20,0.45,0.22,0.45,1000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.00,0.01,0.01,0.01,1000000,1
read_performance,UUIDV4,read_throughput,17520.39,17501.37,17266.88,17338.80,16942.96,1000000,1
read_performance,UUIDV4,p50_latency_us,51.00,52.00,52.00,52.00,53.00,1000000,1
read_performance,UUIDV4,p95_latency_us,84.00,84.00,85.00,85.00,86.00,1000000,1
read_performance,UUIDV4,p99_latency_us,123.00,121.00,123.00,122.00,124.00,1000000,1
