Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,65359.00,65313.20,731.38,64334.00,66084.00,1.12,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,1496.00,1501.40,12.07,1496.00,1523.00,0.80,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,1824.00,1824.40,52.18,1759.00,1891.00,2.86,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,2477.00,2503.80,339.36,2184.00,3020.00,13.55,100000,1
insert_performance,SEQUENTIAL,page_splits,305.00,305.00,0.00,305.00,305.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,13.31,13.31,0.00,13.31,13.31,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,5.52,5.52,0.00,5.52,5.52,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,5.52,5.52,0.00,5.52,5.52,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,1.89,1.89,0.02,1.86,1.91,1.21,100000,1
insert_performance,SEQUENTIAL,write_iops,2642.77,2633.88,62.52,2561.05,2705.77,2.37,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.03,0.03,0.00,0.03,0.03,1.21,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,22.95,22.92,0.39,22.44,23.32,1.71,100000,1
insert_performance,UUIDV4,throughput,54814.00,54397.20,690.72,53640.00,54986.00,1.27,100000,1
insert_performance,UUIDV4,p50_latency_us,1791.00,1765.80,34.51,1728.00,1791.00,1.95,100000,1
insert_performance,UUIDV4,p95_latency_us,2184.00,2168.40,21.36,2145.00,2184.00,0.99,100000,1
insert_performance,UUIDV4,p99_latency_us,3020.00,2978.60,115.14,2810.00,3075.00,3.87,100000,1
insert_performance,UUIDV4,page_splits,513.00,514.20,11.37,503.00,531.00,2.21,100000,1
insert_performance,UUIDV4,fragmentation,15.60,15.40,1.87,12.64,17.24,12.12,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV4,table_size_mb,9.52,9.52,0.00,9.52,9.52,0.00,100000,1
