Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,37212.64,34719.49,35828.12,36216.25,36388.08,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,2526.00,2755.00,2666.00,2623.00,2580.00,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,3529.00,3604.00,3505.00,3596.00,3541.00,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,4644.00,4877.00,5038.00,5522.00,5122.00,100000,1
insert_performance,SEQUENTIAL,page_splits,7151.00,7151.00,7151.00,7151.00,7151.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.92,0.92,0.92,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,112.66,112.66,112.66,112.66,112.66,100000,1
insert_performance,SEQUENTIAL,index_size_mb,112.66,112.66,112.66,112.66,112.66,100000,1
insert_performance,SEQUENTIAL,read_iops,4852.52,1.01,1.04,1.05,1.06,100000,1
insert_performance,SEQUENTIAL,write_iops,1874.96,2165.84,2225.86,2222.39,2219.73,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,75.77,0.02,0.02,0.02,0.02,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,103.75,116.75,120.30,121.64,122.02,100000,1
insert_performance,UUIDV4,throughput,30708.79,30945.57,30620.68,31878.32,32806.19,100000,1
insert_performance,UUIDV4,p50_latency_us,3093.00,3128.00,3141.00,2975.00,2858.00,100000,1
insert_performance,UUIDV4,p95_latency_us,4325.00,4195.00,4376.00,4233.00,4162.00,100000,1
insert_performance,UUIDV4,p99_latency_us,6091.00,5695.00,5733.00,5556.00,6403.00,100000,1
insert_performance,UUIDV4,page_splits,10095.00,10134.00,10163.00,10151.00,10062.00,100000,1
insert_performance,UUIDV4,fragmentation,13.18,12.85,13.10,13.17,12.98,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV4,table_size_mb,180.97,180.98,181.98,181.95,179.95,100000,1
insert_performance,UUIDV4,index_size_mb,180.97,180.98,181.98,181.95,179.95,100000,1
insert_performance,UUIDV4,read_iops,0.90,0.90,0.89,0.93,0.96,100000,1
insert_performance,UUIDV4,write_iops,2488.75,2515.11,2469.28,2573.76,2648.92,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.01,0.01,0.01,0.01,0.01,100000,1
insert_performance,UUIDV4,write_throughput_mb,149.13,150.31,148.77,154.77,159.23,100000,1
insert_performance,UUIDV7,throughput,37528.57,31860.56,36425.44,36085.45,34037.54,100000,1
insert_performance,UUIDV7,p50_latency_us,2506.00,2608.00,2552.00,2589.00,2578.00,100000,1
insert_performance,UUIDV7,p95_latency_us,3483.00,7288.00,3755.00,3796.00,4679.00,100000,1
insert_performance,UUIDV7,p99_latency_us,5180.00,9243.00,6137.00,5235.00,9298.00,100000,1
insert_performance,UUIDV7,page_splits,7155.00,7155.00,7155.00,7155.00,7155.00,100000,1
insert_performance,UUIDV7,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV7,table_size_mb,112.72,112.72,112.72,112.72,112.72,100000,1
insert_performance,UUIDV7,index_size_mb,112.72,112.72,112.72,112.72,112.72,100000,1
insert_performance,UUIDV7,read_iops,1.09,0.93,1.06,1.05,0.99,100000,1
insert_performance,UUIDV7,write_iops,2286.75,1946.01,2224.82,2224.50,2107.08,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.02,0.01,0.02,0.02,0.02,100000,1
insert_performance,UUIDV7,write_throughput_mb,126.60,107.99,122.93,121.82,115.11,100000,1
insert_performance,ULID,throughput,32816.00,31398.06,33460.04,31835.64,35065.85,100000,1
insert_performance,ULID,p50_latency_us,2861.00,2917.00,2848.00,3004.00,2690.00,100000,1
insert_performance,ULID,p95_latency_us,4293.00,4122.00,4010.00,4179.00,3876.00,100000,1
insert_performance,ULID,p99_latency_us,5670.00,6033.00,5216.00,5982.00,5125.00,100000,1
insert_performance,ULID,page_splits,10277.00,10235.00,10236.00,10285.00,10273.00,100000,1
insert_performance,ULID,fragmentation,12.96,12.87,12.80,12.92,12.97,100000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,ULID,table_size_mb,183.92,182.94,182.89,183.94,183.91,100000,1
insert_performance,ULID,index_size_mb,183.92,182.94,182.89,183.94,183.91,100000,1
insert_performance,ULID,read_iops,0.96,0.92,0.97,0.93,1.36,100000,1
insert_performance,ULID,write_iops,2600.25,2482.70,2627.66,2513.44,2740.01,100000,1
insert_performance,ULID,read_throughput_mb,0.01,0.01,0.02,0.01,0.02,100000,1
insert_performance,ULID,write_throughput_mb,159.02,152.36,162.22,154.71,169.73,100000,1
insert_performance,ULID_MONOTONIC,throughput,37296.22,36642.40,36236.79,35880.73,35694.17,100000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,2526.00,2540.00,2586.00,2588.00,2605.00,100000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,3466.00,3697.00,3651.00,3822.00,3943.00,100000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,4933.00,5495.00,5644.00,6129.00,5512.00,100000,1
insert_performance,ULID_MONOTONIC,page_splits,7155.00,7155.00,7155.00,7155.00,7155.00,100000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
